code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
17,Meghalaya,17088,6082,8470,14552,18578,9011,6862,15873,20216,10247,6846,17093,21462,12237,5886,18123,22076,11601,6993,18594,22408,12811,5994,18805,22678,12112,6813,18925,22963,12255,6661,18916,23182,11614,7367,18981,23430,11396,7670,19066,23576,13571,5543,19114,23703,11005,8187,19192
18,Assam,126325,28557,75893,104450,130935,54797,52626,107423,136177,56914,52949,109863,139635,66948,45296,112244,142710,58301,55899,114200,144015,62978,52591,115569,146365,60479,56381,116860,148564,65336,51042,116378,150627,62413,54916,117329,152840,59330,58818,118148,154902,73047,46249,119296,157244,47303,72817,120120
19,West Bengal,480142,213214,238759,451973,500010,321596,139486,461082,511502,332871,135507,468378,521022,364490,111679,476169,529985,329185,154092,483277,536002,355979,132805,488784,543072,345509,148407,493916,550247,366358,128956,495314,558638,364619,137054,501673,568213,343480,164733,508213,575661,400044,113434,513478,582519,309372,208659,518031
20,Jharkhand,120029,41166,69312,110478,124262,72001,40981,112982,127212,73289,41425,114714,129431,84966,31628,116594,131933,76030,42433,118463,133208,83320,36490,119810,135208,77173,44486,121659,137094,82956,38771,121727,139370,84088,39479,123567,141663,75782,49318,125100,143606,89545,36897,126442,146064,64816,62853,127669
21,Odisha,186559,75404,90288,165692,195689,105290,64547,169837,200801,107707,65145,172852,205957,126142,50410,176552,211137,109068,71012,180080,214949,126293,56668,182961,218841,120935,65018,185953,222034,127070,58712,185782,223141,126902,61360,188262,220757,119357,71198,190555,218783,143361,48963,192324,218115,111427,82261,193688
22,Chattisgarh,94342,25807,60601,86408,98062,49453,38244,87697,98284,50933,38093,89026,99303,60697,29591,90288,100790,51304,40112,91416,101382,59609,32749,92358,101856,51189,42248,93437,101556,57598,35476,93074,101564,55863,37846,93709,99909,51529,42927,94456,100881,62422,32785,95207,102281,41207,54667,95874
23,Madhya Pradesh,307116,104736,182307,287043,319200,193818,98352,292170,322204,196216,99937,296153,325000,224045,76034,300079,327986,196206,107783,303989,328946,220025,87547,307572,332480,200845,111063,311908,334405,218058,93641,311699,335747,216039,98550,314589,338656,199418,118502,317920,341978,242399,78386,320785,346732,163377,160494,323871
24,Gujrat,763767,321428,401732,723160,790674,565218,169877,735095,801034,563877,180317,744194,811485,613437,138338,751775,819064,556651,204356,761007,823883,614476,153310,767786,827687,547550,226074,773624,833066,603739,170481,774220,838229,594756,187889,782645,846900,571108,217388,788496,854421,661347,133989,795336,864165,521541,280890,802431
25,Daman and Diu,5554,2005,3193,5198,5631,3544,1715,5259,5679,3499,1801,5300,5745,3960,1388,5348,5805,3362,2038,5400,5864,3886,1552,5438,5907,3472,2018,5490,5920,3647,1827,5474,5942,3560,1938,5498,5969,3322,2181,5503,5972,4042,1455,5497,6007,3112,2411,5523
26,Dadra and Nagar Haveli,7237,2472,4305,6777,7379,4494,2363,6857,7494,4551,2377,6928,7598,5003,1998,7001,7702,4320,2753,7073,7783,5028,2098,7126,7895,4492,2707,7199,7953,4772,2421,7193,7963,4719,2551,7270,8057,4422,2887,7309,8066,5517,1830,7347,8172,4090,3312,7402
27,Maharastra,1232934,482101,634904,1117005,1268548,771718,363786,1135504,1291465,783942,365850,1149792,1304709,858057,303171,1161228,1322652,728353,444530,1172883,1322160,847451,335647,1183098,1336822,783560,408766,1192326,1349209,839408,349274,1188682,1349417,830474,370438,1200912,1347780,750943,459945,1210888,1364152,927675,292787,1220462,1384075,718062,510648,1228710
29,Karnataka,617485,195567,356528,552095,636289,395763,164780,560543,650458,402115,166645,568760,663657,444551,133309,577860,677316,402088,184944,587032,682420,444087,150477,594564,691854,417683,185028,602711,698331,440879,162542,603421,700400,436829,174659,611488,698615,406813,212116,618929,701194,503036,122764,625800,706472,374899,256640,631539
30,Goa,27947,9495,16289,25784,28752,16053,10094,26147,29346,16448,10037,26485,29813,18214,8622,26836,30274,15660,11527,27187,30576,18211,9241,27452,30975,16857,10866,27723,31465,17280,10636,27916,31956,17446,10810,28256,32499,16216,12418,28634,32886,19796,9085,28881,33254,15871,13202,29073
31,Lakshadweep,269,32,139,171,272,59,113,172,277,60,113,173,279,60,113,173,280,59,114,173,281,66,109,175,284,57,120,177,284,68,105,173,203,70,86,156,197,59,94,153,202,82,75,157,210,61,100,161
32,Kerala,252153,84905,154054,238959,258924,150374,92772,243146,263762,150902,95303,246205,267922,146964,102564,249528,271146,107133,144974,252107,273181,167335,87311,254646,276472,142046,115164,257210,279758,161244,97341,258585,281909,157990,102703,260693,285037,143591,119062,262653,287794,192669,71943,264612,291194,130752,136384,267136
33,Tamil Nadu,812490,305086,385443,690529,835051,490520,210629,701149,852643,498870,210505,709375,868359,547547,171322,718869,879806,497659,229488,727147,882248,548063,186813,734876,877145,500862,241817,742679,875890,536845,204475,741320,865402,500468,247110,747578,863602,500278,252135,752413,853803,603737,155474,759211,867754,428146,338271,766417
34,Puducherry,18797,6729,9638,16367,19351,11037,5575,16612,19723,11294,5451,16745,19929,12401,4542,16943,20172,10882,6184,17066,20242,12663,4516,17179,20402,11218,6134,17352,20463,11813,5431,17244,20448,10979,6327,17306,20536,10136,7158,17294,20618,13304,4100,17404,20839,9462,8062,17524
35,Andaman and Nicobar Island,4376,648,2727,3375,4455,1067,2349,3416,4559,1207,2240,3447,4602,1463,1997,3460,4626,1167,2314,3481,4663,1379,2122,3501,4719,1191,2338,3529,4722,1273,2209,3482,4471,1263,2218,3481,4344,1282,2191,3473,4029,1490,1964,3454,3923,1193,2247,3440
36,Telangana,265527,92872,145382,238254,275203,150189,93086,243275,282140,152268,95307,247575,288291,172595,79710,252305,293969,144053,112500,256553,298180,170367,89989,260356,302892,161549,102553,264102,305036,173665,90604,264269,305678,169651,97283,266934,308055,161704,107661,269365,313476,199345,73320,272665,319463,146426,129176,275602
37,Andhra Pradesh,240045,93259,119171,212430,247611,150291,65478,215769,252576,151822,66686,218508,256692,171406,50371,221777,257705,146891,78466,225357,256988,160692,67643,228335,259488,157429,74696,232125,264815,167020,67340,234360,268317,159880,77844,237724,271955,156149,83761,239910,276045,189178,53453,242631,279089,130838,114034,244872
38,Ladakh,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
97,Other Territory,54,17,29,46,56,31,16,47,60,39,12,51,62,44,9,53,62,37,15,52,62,48,3,51,62,42,8,50,62,42,7,49,62,39,10,49,64,30,21,51,66,49,3,52,66,34,18,52
