code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,54507,9587,46128,55715,53973,13356,42770,56126,85686,56293,31717,88010,56418,42435,15785,58220,59030,44923,15789,60712,93037,74661,19768,94429,60457,48475,12944,61419,62407,49219,14018,63237,99346,81067,18860,99927,63719,50788,13420,64208,65133,52148,13715,65863,104274,78639,25715,104354
2,Himachal Pradesh,44420,7833,34919,42752,44517,9674,33196,42870,92010,62949,26681,89630,44191,31396,10659,42055,44492,32162,10904,43066,93894,74259,17658,91917,43295,32985,8971,41956,43932,33293,9341,42634,95802,77048,16438,93486,43808,33275,8914,42189,44164,33834,8957,42791,97423,73400,21209,94609
3,Punjab,160461,35591,115172,150763,161190,36496,115616,152112,320319,238436,71611,310047,159828,123198,27324,150522,162180,123165,30300,153465,327297,263554,51639,315193,160729,126171,24929,151100,162572,127019,26030,153049,333129,270140,49014,319154,161987,125305,26774,152079,163270,127021,27076,154097,336608,260201,62304,322505
4,Chandigarh,15343,4007,11218,15225,15350,4403,10846,15249,26465,18827,7489,26316,15442,12336,2904,15240,15635,12275,3167,15442,26938,21781,4832,26613,15617,12703,2632,15335,15676,12795,2629,15424,27141,22398,4389,26787,15761,12920,2591,15511,15831,12904,2729,15633,27469,21873,5085,26958
5,Uttarakhand,78917,12881,61914,74795,78856,17527,57052,74579,139510,87652,46813,134465,78838,52549,21764,74313,80553,54241,22018,76259,144082,105555,33066,138621,79635,56321,18750,75071,81274,57925,18590,76515,148266,112495,29352,141847,81291,58292,18291,76583,82359,57689,20060,77749,151377,108550,35478,144028
6,Haryana,255914,41806,197308,239114,256165,58042,180687,238729,440788,289078,131139,420217,256617,181427,59967,241394,263426,184322,62219,246541,454446,344585,87806,432391,261808,191536,53077,244613,265773,195152,52893,248045,464263,361115,80120,441235,264802,197663,52157,249820,267720,198828,55576,254404,469904,352171,97294,449465
7,Delhi,406536,59365,313099,372464,404491,84001,285429,369430,718779,479679,196027,675706,403668,282597,90506,373103,406853,293612,86828,380440,722282,569629,122649,692278,397671,302402,75308,377710,400740,306325,76220,382545,730568,586576,114425,701001,402711,307643,73421,381064,402569,306448,79373,385821,736680,572346,134032,706378
8,Rajasthan,263923,38538,220915,259453,264168,59761,200540,260301,591219,412388,170831,583219,261213,187758,68999,256757,269820,194565,71745,266310,613565,480460,122459,602919,263808,197186,61585,258771,270212,204012,61654,265666,633137,495489,122061,617550,270996,203750,60798,264548,277009,209030,64267,273297,651560,475405,157082,632487
9,Uttar Pradesh,768494,115025,624574,739599,766983,175262,563753,739015,1193073,764750,408846,1173596,775495,572029,182532,754561,789854,594361,176951,771312,1245422,972790,237847,1210637,794310,615038,156461,771499,807429,630811,153500,784311,1285494,1014620,226102,1240722,820095,632027,158253,790280,829968,608301,194389,802690,1319511,980778,284727,1265505
10,Bihar,245454,33894,180922,214816,247965,46090,169664,215754,387570,217398,138316,355714,254467,160711,67609,228320,263449,178009,64685,242694,418128,308574,83123,391697,259213,175124,56875,231999,262802,181335,53392,234727,437396,318863,78416,397279,265429,181607,53354,234961,272122,178858,62711,241569,456786,300322,109863,410185
11,Sikkim,5479,1124,3637,4761,5462,1118,3585,4703,8047,4175,2978,7153,5619,3218,1501,4719,5711,3351,1440,4791,8314,5305,2025,7330,5709,3389,1374,4763,5805,3512,1338,4850,8632,5851,1720,7571,5837,3451,1331,4782,5912,3508,1377,4885,8941,5756,2006,7762
12,Arunachal Pradesh,10109,1385,6216,7601,10163,1421,6207,7628,12994,4851,5460,10311,10237,4286,3376,7662,10162,4420,3329,7749,13196,6552,3965,10517,10295,5006,2774,7780,10459,5163,2708,7871,13595,7233,3490,10723,10391,5226,2713,7939,10525,5269,2798,8067,13618,6300,4690,10990
13,Nagaland,5921,1313,3801,5114,5940,1049,4073,5122,7004,3042,3091,6133,5966,3273,1805,5078,5920,3386,1751,5137,7073,4344,1941,6285,5998,3710,1517,5227,5988,3796,1509,5305,7036,4554,1851,6405,5943,3758,1560,5318,5997,3866,1509,5375,7214,4283,2271,6554
14,Manipur,9480,1147,6084,7231,9486,1373,5831,7204,11077,3317,5349,8666,9575,4031,3219,7250,9750,4211,3105,7316,11436,5373,3545,8918,9837,4608,2756,7364,9887,4642,2796,7438,10570,5830,3259,9089,8848,4317,3082,7399,8869,4348,3141,7489,10711,5362,3873,9235
15,Mizoram,5899,1641,3043,4684,5806,1586,3090,4676,6586,3056,2351,5407,5878,3216,1439,4655,5897,3348,1330,4678,6699,4224,1242,5466,5948,3660,1074,4734,5965,3668,1168,4836,6810,4323,1346,5669,6017,3707,1198,4905,6141,3732,1244,4976,7097,4446,1398,5844
16,Tripura,18100,3372,12744,16116,17996,2677,13508,16185,25145,13700,9399,23099,18343,12473,3920,16393,18513,12524,4053,16577,25418,18159,5326,23485,18377,13415,3150,16565,18561,13513,3193,16706,25768,19589,4135,23724,18472,13689,3196,16885,18607,13755,3404,17159,26131,18121,6118,24239
17,Meghalaya,16562,3476,9540,13016,16580,3605,9341,12946,25396,13243,8298,21541,16475,8583,4240,12823,16675,9279,3788,13067,25656,17111,5079,22190,15844,9217,3351,12568,16081,9486,3270,12756,26317,17360,5191,22551,15987,9123,3460,12583,16133,9240,3516,12756,26642,16906,5886,22792
18,Assam,112837,17404,84099,101503,111842,17552,83798,101350,156288,71253,73658,144911,113087,65128,38561,103689,116164,69610,37497,107107,165468,107539,46899,154438,116084,74377,31645,106022,117992,75824,32130,107954,170879,115350,43496,158846,116485,75357,32727,108084,117017,73302,36541,109843,172738,101545,60626,162171
19,West Bengal,376743,79035,247316,326351,377506,71058,255875,326933,622937,385050,183128,568178,379798,246539,81961,328500,378910,251099,82128,333227,628364,459363,119639,579002,375124,266384,66263,332647,368781,269956,67340,337296,617418,491762,96737,588499,357852,272672,66164,338836,359943,271828,71599,343427,622234,475792,122090,597882
20,Jharkhand,108412,19011,85506,104517,108534,22968,81515,104483,155259,91481,58381,149862,111838,77822,28769,106591,113722,81058,27120,108178,160157,120630,33008,153638,115309,84561,24787,109348,116530,86931,23496,110427,164389,127564,28844,156408,118862,88940,23173,112113,119046,84381,29072,113453,167253,119004,40565,159569
21,Odisha,149317,26484,116267,142751,149659,27929,115579,143508,249952,142507,98386,240893,151431,99495,43181,142676,154416,103700,42423,146123,259264,188167,59269,247436,153178,108804,34983,143787,156106,110696,36257,146953,266513,198120,55116,253236,155103,109017,38035,147052,156855,108930,40587,149517,270589,186215,71278,257493
22,Chhattisgarh,71837,11893,56979,68872,72505,16369,52545,68914,118891,63999,50933,114932,72813,42853,26152,69005,74776,44857,25892,70749,124489,84185,35057,119242,73552,46942,21785,68727,74464,47097,22564,69661,126646,87889,33575,121464,72827,47034,22088,69122,73978,46293,24709,71002,129555,76761,47515,124276
23,Madhya Pradesh,185661,30209,152942,183151,186389,45637,137914,183551,382231,250560,126970,377530,184231,126062,53666,179728,187639,130913,53585,184498,392348,299565,87382,386947,183147,135538,44673,180211,187303,139226,44654,183880,402574,313468,81220,394688,187080,139372,43640,183012,189893,138724,48775,187499,410654,279657,122436,402093
24,Gujarat,554520,126315,411819,538134,558618,153200,389852,543052,943614,708019,221253,929272,563773,448580,103135,551715,571583,447744,110210,557954,961057,795689,148409,944098,565645,456780,96967,553747,569536,465895,92763,558658,971221,801500,153295,954795,571074,471193,91826,563019,575700,476906,95683,572589,986775,804764,168822,973586
25,Daman and Diu,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
26,Dadra and Nagar Haveli,11035,3169,7343,10512,10929,3452,7043,10495,13837,8518,4906,13424,11094,7766,2856,10622,11128,7575,3092,10667,14078,10079,3483,13562,11277,8103,2652,10755,11345,8182,2651,10833,14313,10611,3189,13800,11396,8375,2563,10938,11511,8549,2523,11072,14581,10675,3326,14001
27,Maharashtra,747626,175007,548588,723595,754952,186350,543040,729390,1378095,853111,490326,1343437,758000,501172,228444,729616,766789,502998,242451,745449,1410553,1033677,340531,1374208,767229,541818,199079,740897,779513,550598,201219,751817,1443943,1078746,318382,1397128,783108,550597,203351,753948,793830,565863,201346,767209,1468416,1042666,375291,1417957
29,Karnataka,592417,88083,477289,565372,593173,106801,458848,565649,768378,470743,266208,736951,601605,429186,143503,572689,609453,440736,141036,581772,790568,586932,170794,757726,617773,471802,116239,588041,624724,474089,120612,594701,810789,620608,154111,774719,633338,474986,128352,603338,640933,483677,128660,612337,830528,611508,181288,792796
30,Goa,24272,3744,16510,20254,24257,4714,15548,20262,35597,18516,12904,31420,24050,13291,6917,20208,24263,12869,7556,20425,36018,22905,8907,31812,24216,14182,5961,20143,24425,14212,6198,20410,36434,23443,8828,32271,24471,14149,6309,20458,24769,14279,6423,20702,37269,22757,9966,32723
31,Lakshadweep,196,52,125,177,195,46,126,172,238,121,93,214,197,113,58,171,196,114,58,172,243,158,56,214,192,123,44,167,170,112,56,168,218,156,56,212,174,111,58,169,172,127,44,171,228,148,64,212
32,Kerala,255053,15285,228086,243371,254802,22338,221253,243591,315837,140525,162396,302921,257348,168699,76326,245025,259512,178522,68712,247234,322067,234066,74236,308302,262041,198353,51211,249564,264607,195769,56321,252090,328683,248292,66672,314964,267796,199637,55502,255139,270158,201183,56622,257805,335514,237188,83042,320230
33,Tamil Nadu,803124,136119,640215,776334,805681,129228,648025,777253,924274,576762,312964,889726,822173,619559,170369,789928,833879,620339,178134,798473,956956,732727,180969,913696,851169,660609,149191,809800,859964,665716,150876,816592,982238,749425,182418,931843,867973,657564,167355,824919,869274,679334,151475,830809,986817,753606,193107,946713
34,Puducherry,17297,2951,13168,16119,17324,3442,12698,16140,19854,10914,7607,18521,17743,12264,4189,16453,17812,12195,4400,16595,20088,14312,4499,18811,17790,13011,3713,16724,17888,13125,3735,16860,20224,14627,4414,19041,17809,13146,3792,16938,17859,13348,3673,17021,20264,14678,4643,19321
35,Andaman and Nicobar Islands,3346,499,2538,3037,3343,457,2564,3021,4020,1696,1983,3679,3295,1697,1291,2988,3265,1781,1221,3002,4071,2383,1397,3780,3330,2015,1020,3035,3339,1948,1105,3053,4111,2470,1365,3835,3256,2035,1049,3084,3286,2033,1067,3100,4091,2382,1515,3897
36,Telangana,313567,64367,211112,275479,315037,68092,208031,276123,378050,201487,136384,337871,322476,197550,84667,282217,327345,199892,86074,285966,393681,255724,93040,348764,333199,216189,73084,289273,336893,216835,76781,293616,406157,269419,88900,358319,341214,218445,78413,296858,343859,222878,77640,300518,410714,264278,100560,364838
37,Andhra Pradesh,237775,45740,173365,219105,238690,48794,170918,219712,292586,172338,100071,272409,242899,164575,58346,222921,244806,167109,58049,225158,299772,213755,63351,277106,246243,179194,47633,226827,247584,178038,50856,228894,303759,214751,66791,281542,248547,175653,54634,230287,248925,181226,51183,232409,305535,207501,78611,286112
38,Ladakh,2070,396,1636,2032,2134,530,1561,2091,4565,2966,1529,4495,2092,1143,841,1984,2205,1269,836,2105,4967,3433,1405,4838,2151,1290,703,1993,2221,1388,711,2099,5242,3673,1404,5077,2226,1453,638,2091,2322,1525,685,2210,5417,3823,1557,5380
97,Other Territory,76,52,12,64,77,43,22,65,82,55,16,71,77,60,5,65,77,56,9,65,86,63,8,71,80,58,7,65,81,61,5,66,86,61,10,71,81,59,7,66,81,59,7,66,89,62,9,71
