Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
17,Meghalaya,23763,12230,19070,19076,24195,13350,6094,19444,24878,13738,6304,20042,25640,15002,5605,20607,25884,14398,6372,20770,26140,13499,7432,20931,26255,14402,6603,21005,26357,14392,6608,21000,26428,12913,8092,21005,26536,15788,5263,21051,26675,14957,6085,21042,26706,3196,17759,20955
18,Assam,157863,60268,119095,119118,159240,67851,52161,120012,161175,70248,50975,121223,163738,77507,45458,122965,165285,70171,54264,124435,167059,62683,63224,125907,167755,72309,54531,126840,166641,77663,50493,128156,146205,72387,56215,128602,144136,90640,38702,129342,144942,82103,48455,130558,145908,7476,123477,130953
19,West Bengal,584818,357699,516434,516461,588402,379797,139344,519141,593424,390452,131290,521742,598953,411303,114930,526233,603444,379621,150351,529972,607620,354207,179187,533394,610678,389631,145718,535349,612549,439168,99745,538913,611342,387577,156008,543585,612426,452590,93511,546101,611319,415090,134310,549400,611625,43625,506926,550551
20,Jharkhand,147229,77652,127210,127218,148553,83688,44365,128053,149800,87020,41847,128867,151023,94494,35680,130174,151285,84855,46437,131292,151326,79658,52732,132390,151778,87738,46053,133791,148226,105238,29422,134660,147404,91192,44161,135353,144908,109238,26948,136186,142935,99175,37797,136972,143561,12309,125154,137463
21,Odisha,219024,64540,192952,192981,219645,127511,67078,194589,219769,133474,62058,195532,219972,147275,50419,197694,220124,132242,67507,199749,220841,128709,73174,201883,221583,139187,64959,204146,221270,165288,41675,206963,222288,138828,71190,210018,223595,167298,44753,212051,223670,158639,55288,213927,223069,20647,193741,214388
22,Chhattisgarh,102946,49906,95037,95045,103880,57001,38707,95708,104773,59363,36991,96354,106003,65499,31737,97236,106926,59015,38911,97926,107458,52920,45727,98647,107867,58652,40849,99501,106953,74020,26206,100226,105112,62580,38406,100986,104718,74888,26549,101437,105608,67198,34852,102050,107069,5624,97042,102666
23,Madhya Pradesh,348621,201498,322477,322498,351108,222954,101173,324127,353290,229174,96715,325889,356965,245834,82490,328324,358593,225925,104308,330233,359995,199446,132993,332439,361943,219558,115664,335222,362211,274737,62928,337665,354752,232997,106962,339959,347413,278879,63036,341915,348074,267788,76359,344147,351474,15342,330799,346141
24,Gujarat,869012,596606,798628,798645,871303,632635,172309,804944,877062,648228,161795,810023,881026,679311,136846,816157,884173,643818,176902,820720,884817,603355,222432,825787,888089,620614,208919,829533,887648,722699,110698,833397,877839,631577,210146,841723,881788,726176,121154,847330,886741,714326,138876,853202,893063,23123,833693,856816
25,Daman and Diu,6022,3542,5463,5463,5992,3757,1718,5475,5816,3782,1691,5473,5813,4026,1449,5475,5830,3745,1724,5469,5835,3396,2071,5467,5838,3592,1889,5481,5842,4248,1261,5509,5767,3611,1906,5517,5807,4195,1328,5523,5809,4169,1345,5514,5841,226,5302,5528
26,Dadra and Nagar Haveli,8237,4745,7383,7384,8305,5064,2373,7437,8364,5257,2209,7466,8417,5558,1950,7508,8451,5151,2415,7566,8395,4711,2873,7584,8265,4853,2732,7585,8043,5864,1711,7575,7976,4945,2665,7610,8080,5892,1762,7654,8172,5823,1892,7715,8238,361,7380,7741
