code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
11,Sikkim,3154,1941,1087,3028,3593,1444,1970,3414,3804,1527,2111,3638,3745,1818,1763,3581,3884,1943,1735,3678,4003,2321,1434,3755,4104,2296,1547,3843,4277,2380,1594,3974,4449,2334,1790,4124,,,,,,,,,,,,
12,Arunachal Pradesh,4103,1212,2550,3762,5300,716,3916,4632,6068,1075,4128,5203,6212,1478,3893,5371,6518,1666,3929,5595,6705,2022,3759,5781,6982,2222,3759,5981,7381,2406,3856,6262,8072,2292,4481,6773,,,,,,,,,,,,
13,Nagaland,3917,934,2535,3469,4679,564,3391,3955,4915,772,3463,4235,4750,938,3127,4065,4877,970,3127,4097,4778,1260,2796,4056,4855,1533,2552,4085,4849,1405,2637,4042,4904,1430,2635,4065,,,,,,,,,,,,
14,Manipur,4283,1431,2409,3840,5619,787,4034,4821,6564,1211,4276,5487,6945,1425,4293,5718,7331,1703,4245,5948,7712,2101,4102,6203,7971,2230,4139,6369,8210,2382,4105,6487,8603,2704,4037,6741,,,,,,,,,,,,
15,Mizoram,2451,796,1474,2270,2976,562,2114,2676,3300,789,2131,2920,3491,1012,2043,3055,3656,1167,1978,3145,3748,1312,1881,3193,3817,1558,1684,3242,3954,1641,1688,3329,4048,1662,1723,3385,,,,,,,,,,,,
16,Tripura,13528,5590,7309,12899,15567,3316,11257,14573,16398,5532,9799,15331,16060,7554,7367,14921,16663,8320,6890,15210,16864,8900,6446,15346,17122,9277,6246,15523,17347,9247,6417,15664,17562,8747,7075,15822,,,,,,,,,,,,
17,Meghalaya,11989,3931,7088,11019,13712,2678,9601,12279,14696,3598,9457,13055,14641,5305,7714,13019,15103,5702,7502,13204,15398,6252,7116,13368,15791,6482,7129,13611,15996,6623,7110,13733,16327,7153,6823,13976,,,,,,,,,,,,
18,Assam,97283,37502,48786,86288,111825,20779,74043,94822,114311,29949,69234,99183,110497,37783,57685,95468,113702,42970,53860,96830,114563,48429,48813,97242,116010,50569,47507,98076,119071,50255,49499,99754,122022,44666,57271,101937,,,,,,,,,,,,
19,West Bengal,347020,219688,106242,325930,405036,135795,244863,380658,416031,206247,195276,401523,422302,243472,159977,403449,436034,272747,140237,412984,443892,294267,124983,419250,453793,306431,120873,427304,463943,310097,125885,435982,472982,298307,145314,443621,,,,,,,,,,,,
20,Jharkhand,82880,46423,34145,80568,95439,33373,57284,90657,100685,50897,45436,96333,101040,56454,39427,95881,104889,63541,34950,98491,108087,70612,30344,100956,111749,72363,31363,103726,115174,70747,35823,106570,117217,66374,41945,108319,,,,,,,,,,,,
21,Odisha,139875,45509,89464,134973,154796,43923,101772,145695,162133,64338,87632,151970,159167,75101,71343,146444,164732,86492,62479,148971,168723,97072,54496,151568,174193,100133,55344,155477,178748,101524,57451,158975,183516,96060,66197,162257,,,,,,,,,,,,
22,Chattisgarh,83399,34671,44498,79169,90219,26288,58727,85015,93983,30665,57650,88315,87850,34199,47704,81903,90015,41022,41554,82576,90937,48492,34594,83086,92590,49384,34676,84060,93525,49195,35663,84858,94349,43008,42484,85492,,,,,,,,,,,,
23,Madhya Pradesh,257308,106142,148934,255076,276943,72970,197102,270072,290350,114822,166096,280918,274212,135768,127018,262786,281366,163840,101836,265676,286853,186782,82208,268990,294248,185757,88574,274331,299740,183727,94941,278668,304929,168076,114576,282652,,,,,,,,,,,,
24,Gujrat,564539,311664,243979,555643,641658,248716,381874,630590,682019,348917,322801,671718,673475,390745,272084,662829,688205,467824,207071,674895,698869,524420,160114,684534,712579,520899,175901,696800,723682,531204,175987,707191,733311,516484,199863,716347,,,,,,,,,,,,
25,Daman and Diu,4349,2952,1375,4327,4781,2112,2596,4708,5056,2739,2210,4949,5091,2853,2096,4949,5195,3065,1949,5014,5254,3438,1608,5046,5330,3334,1757,5091,5406,3462,1700,5162,5460,3309,1893,5202,,,,,,,,,,,,
26,Dadra and Nagar Haveli,5291,3187,1996,5183,6053,2491,3358,5849,6403,3363,2827,6190,6534,3614,2651,6265,6703,4003,2354,6357,6809,4527,1921,6448,6964,4365,2203,6568,7075,4517,2137,6654,7150,4294,2419,6713,,,,,,,,,,,,
27,Maharastra,914892,582682,319681,902363,1006222,420286,566909,987195,1060520,557237,484989,1042226,1054857,585598,447016,1032614,1076657,666974,380302,1047276,1094504,742207,319127,1061334,1114066,724962,352912,1077874,1133258,741702,353015,1094717,1148243,730896,378073,1108969,,,,,,,,,,,,
29,Karnataka,503407,264970,234770,499740,530355,209672,309533,519205,553919,285816,252254,538070,537199,317680,196904,514584,549345,347652,171093,518745,556414,380553,142430,522983,568190,380462,151012,531474,579378,380599,159130,539729,590015,372103,175681,547784,,,,,,,,,,,,
30,Goa,22196,10043,11687,21730,23786,8001,15173,23174,25339,11312,13117,24429,25168,12599,11391,23990,25951,13476,11014,24490,26231,15466,9213,24679,26753,15607,9464,25071,27195,15535,9879,25414,27578,15496,10214,25710,,,,,,,,,,,,
31,Lakshadweep,90,25,49,74,220,56,115,171,258,64,120,184,250,69,106,175,254,61,113,174,253,67,99,166,257,73,95,168,260,64,100,164,265,63,108,171,,,,,,,,,,,,
32,Kerala,215930,113438,101727,215165,227531,52149,173209,225358,233233,117016,114199,231215,227665,131417,92400,223817,232586,139038,87924,226962,234754,150254,78417,228671,238699,142300,89708,232008,242006,140239,94779,235018,245761,130090,108302,238392,,,,,,,,,,,,
33,Tamil Nadu,624866,312517,290965,603482,673862,202444,440566,643010,700632,324032,341410,665442,688720,395873,252931,648804,702649,428565,224517,653082,712131,453712,204451,658163,722496,458744,205857,664601,737038,461515,213149,674664,750910,453857,230866,684723,,,,,,,,,,,,
34,Puducherry,14080,7676,6293,13969,15013,5280,9602,14882,15568,8023,7402,15425,15548,9073,6106,15179,15726,9554,5751,15305,15975,9994,5474,15468,16258,10082,5602,15684,16534,10324,5624,15948,16887,10322,5927,16249,,,,,,,,,,,,
35,Andaman and Nicobar Island,2489,703,1470,2173,3574,347,2622,2969,3908,416,2820,3236,3837,606,2569,3175,3971,676,2550,3226,4016,882,2358,3240,4109,919,2372,3291,4182,911,2419,3330,4246,953,2410,3363,,,,,,,,,,,,
36,Telangana,201614,82109,111973,194082,223860,63297,148239,211536,234895,90635,131880,222515,230496,111055,105401,216456,237791,123033,96112,219145,241225,137227,84015,221242,247652,137576,88164,225740,253873,142081,88304,230385,259182,140387,94141,234528,,,,,,,,,,,,
37,Andhra Pradesh,198028,105432,84012,189444,209596,72423,128954,201377,216950,109070,99964,209034,208658,118928,79391,198319,214751,129425,70897,200322,215764,140154,61333,201487,219257,141222,62837,204059,223004,138121,68795,206916,226630,128969,81579,210548,,,,,,,,,,,,
38,Ladakh,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,,,
97,Other Territory,    ,    ,    ,  ,21,    ,20,20,25,    ,24,24,31,10,19,29,35,13,20,33,36,22,13,35,43,27,13,40,49,29,14,43,49,26,17,43,,,,,,,,,,,,
