code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,52455,26501,22938,49439,58371,20534,35126,55660,62528,28171,31416,59587,62319,33108,25962,59070,64586,36389,24299,60688,66074,42030,19785,61815,68002,42155,21179,63334,69822,42923,21852,64775,71741,41278,25089,66367,,,,,,,,,,,,
2,Himachal Pradesh,53013,31134,19993,51127,58745,21838,33947,55785,61691,30755,28227,58982,58791,31696,24088,55784,59931,35381,21042,56423,60956,41404,15753,57157,63084,42168,16681,58849,65105,43294,17379,60673,67470,43082,19791,62873,,,,,,,,,,,,
3,Punjab,220786,156554,56525,213079,239311,146224,85992,232216,247374,175334,67663,242997,247069,184296,56848,241144,250968,195847,47683,243530,254559,211686,34240,245926,257888,208263,40176,248439,261849,209508,42301,251809,264808,203351,51158,254509,,,,,,,,,,,,
4,Chandigarh,20632,14826,5852,20678,22318,12862,9411,22273,23418,15474,7828,23302,23532,15725,7413,23138,23908,17463,5786,23249,24261,19033,4383,23416,24572,18534,5087,23621,24962,18998,4965,23963,25208,18533,5678,24211,,,,,,,,,,,,
5,Uttarakhand,85370,34316,47229,81545,94845,26778,62072,88850,100078,36786,56713,93499,94880,42018,45675,87693,97711,50544,38489,89033,99756,58927,31362,90289,102558,60515,31766,92281,105004,62029,32100,94129,107596,60565,35814,96379,,,,,,,,,,,,
6,Haryana,260418,159587,97623,257210,286641,130400,150783,281183,302837,170439,125976,296415,306332,193777,103027,296804,314476,216728,84889,301617,321480,240271,66408,306679,329345,234939,78360,313299,337143,240084,79998,320082,343982,234211,91877,326088,,,,,,,,,,,,
7,Delhi,442968,307172,141384,448556,492379,214872,276837,491709,521051,290005,226639,516644,532973,312738,207349,520087,546473,356584,169980,526564,558644,400879,132934,533813,570701,386553,155671,542224,582444,389890,161155,551045,592372,379848,178502,558350,,,,,,,,,,,,
8,Rajasthan,399525,251205,139788,390993,422945,180075,230364,410439,435929,225342,199986,425328,418736,252332,153928,406260,427452,284148,127174,411322,433360,314825,100729,415554,442318,309691,112584,422275,449574,310935,117788,428723,455889,291092,143582,434674,,,,,,,,,,,,
9,Uttar Pradesh,738006,398357,319757,718114,835866,353698,446872,800570,887856,446715,403710,850425,809536,486652,283867,770519,834136,559528,225223,784751,847512,621454,172047,793501,871836,620590,189208,809798,895908,630707,198222,828929,913159,620120,226061,846181,,,,,,,,,,,,
10,Bihar,187455,83443,91963,175406,213585,56009,138259,194268,222312,78700,125306,204006,205062,92955,94058,187013,214100,106382,85195,191577,219776,122495,72992,195487,227120,126359,74181,200540,234730,125500,80482,205982,238741,117767,92035,209802,,,,,,,,,,,,
