code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,66338,54305,12182,66487,68361,53607,14669,68276,109205,87635,20362,107997,68216,54634,13019,67653,69437,55049,13815,68864,112849,88786,22049,110835,69494,54934,12984,67918,70757,57506,10931,68437,115882,94174,15490,109664,70382,31540,31403,62943,,,,,,,,
2,Himachal Pradesh,44324,35712,7104,42816,45199,34480,9095,43575,98966,78528,16707,95235,44504,34689,7894,42583,45023,34380,8760,43140,99888,77122,18736,95858,44744,34504,7841,42345,45303,36186,6378,42564,100769,83582,10865,94447,46153,28505,11442,39947,,,,,,,,
3,Punjab,164856,135790,19360,155150,167213,134055,24224,158279,342449,275507,50233,325740,167538,134168,22896,157064,169859,133523,25788,159311,346997,267467,61116,328583,170493,133468,24744,158212,172338,139439,20299,159738,350104,291494,33434,324928,177002,132084,19851,151935,,,,,,,,
4,Chandigarh,16166,13748,1922,15670,16130,13339,2407,15746,27634,22592,4304,26896,16335,13515,2304,15819,16429,13415,2541,15956,27947,21927,5180,27107,16563,13600,2464,16064,16674,14084,1922,16006,28095,23765,2843,26608,16929,13273,1972,15245,,,,,,,,
5,Uttarakhand,82800,63216,14843,78059,84757,61757,17925,79682,154914,116234,29488,145722,85475,62339,16717,79056,86445,62443,17644,80087,156524,111683,34220,145903,86459,62077,17134,79211,87786,66101,13915,80016,158597,123154,20217,143371,90863,51241,23585,74826,,,,,,,,
6,Haryana,272326,216540,41503,258043,273855,212405,50499,262904,476752,375255,80420,455675,276623,215870,46595,262465,279410,216779,48927,265706,484645,365604,94870,460474,282622,216387,48732,265119,285773,226955,40487,267442,491220,402097,53298,455395,292625,212910,39719,252629,,,,,,,,
7,Delhi,410282,332213,59079,391292,416018,326640,71612,398252,750813,598466,115946,714412,419109,328883,69457,398340,423539,333955,68941,402896,762171,580492,141094,721586,429452,331544,72409,403953,434676,346099,60557,406656,772632,631305,81621,712926,448203,320079,64428,384507,,,,,,,,
8,Rajasthan,282871,226052,49455,275507,290053,225287,57550,282837,666005,517864,122804,640668,287981,225545,52691,278236,293004,226187,57425,283612,677720,513261,136337,649598,295677,228444,54840,283284,303084,244508,45167,289675,690105,567145,79621,646766,311697,218018,53948,271966,,,,,,,,
9,Uttar Pradesh,840499,680513,136200,816713,861805,675234,156001,831235,1358945,1058233,234224,1292457,869959,681015,150254,831269,883450,690579,153395,843974,1397129,1050129,269160,1319289,899515,696377,152731,849108,914748,734326,125574,859900,1436617,1155422,165558,1320980,954168,507094,316921,824015,,,,,,,,
10,Bihar,276452,190870,50532,241402,280982,160814,85208,246022,470659,332491,84028,416519,282327,194090,49649,243739,286093,195913,51766,247679,481143,328154,94117,422271,287213,196786,47830,244616,292666,207194,40841,248035,495564,363400,55461,418861,310298,101099,134843,235942,,,,,,,,
11,Sikkim,6036,3825,1136,4961,6124,3777,1229,5006,9262,6258,1646,7904,6202,3845,1186,5031,6226,3891,1202,5093,9386,6015,1980,7995,6315,3768,1291,5059,6446,3994,1093,5087,9604,6476,1162,7638,6642,2488,2113,4601,,,,,,,,
12,Arunachal Pradesh,10617,5278,2917,8195,10811,5520,2781,8301,14133,7970,3226,11196,11019,5813,2540,8353,11175,5899,2562,8461,14571,7734,3574,11308,11345,5990,2397,8387,11441,6248,2080,8328,14790,8485,2260,10745,11740,3145,4091,7236,,,,,,,,
13,Nagaland,6106,4016,1438,5454,6184,4054,1458,5512,7446,4961,1723,6684,6325,4199,1402,5601,6418,4299,1342,5641,7662,5004,1767,6771,6546,4240,1404,5644,6648,4473,1137,5610,7880,5237,1238,6475,6715,2183,2731,4914,,,,,,,,
14,Manipur,9012,4941,2598,7539,9118,4850,2796,7646,11079,6320,3088,9408,9156,5135,2551,7686,9166,4932,2855,7787,11322,6266,3322,9588,9569,5108,2596,7704,9502,5491,2154,7645,11767,7126,2098,9224,9805,2595,4140,6735,,,,,,,,
15,Mizoram,6298,3975,1060,5035,6340,3877,1213,5090,7252,4700,1244,5944,6353,4040,1055,5095,6421,4122,1016,5138,7434,4668,1336,6004,6545,3921,1179,5100,6623,4123,1004,5127,7610,4969,954,5923,6365,1410,3329,4739,,,,,,,,
16,Tripura,18977,14262,2990,17252,19277,14036,3408,17444,26614,20405,3992,24397,19402,14660,2870,17530,19474,14471,3210,17681,27081,19652,4920,24572,19543,14504,3071,17575,19594,14994,2580,17574,26830,20966,3060,24026,19719,9655,6927,16582,,,,,,,,
17,Meghalaya,16008,9574,3025,12599,16365,9807,3230,13037,27510,19113,4402,23515,16566,9954,3182,13136,16728,10181,3108,13289,28240,18973,4984,23957,16538,9953,2784,12737,16671,10197,2427,12624,28406,19544,3335,22879,16717,5030,6022,11052,,,,,,,,
18,Assam,118506,80202,30419,110621,121212,79882,32523,112405,178312,122088,42780,164868,121489,82934,28970,111904,123451,81485,31778,113263,182601,119697,47291,166988,124689,83564,28339,111903,127177,88210,23927,112137,185152,132360,28975,161335,127611,52547,48247,100794,,,,,,,,
19,West Bengal,364360,294655,53117,347772,368904,291461,61217,352678,633580,509259,95911,605170,370844,295247,58740,353987,375522,295194,62656,357850,643156,504527,108323,612850,378725,297944,58566,356510,382864,310470,49071,359541,653033,540561,65286,605847,393378,225791,116856,342647,,,,,,,,
20,Jharkhand,120558,93649,21309,114958,121339,91708,24163,115871,168897,131764,29246,161010,122532,94590,22162,116752,124179,94879,22895,117774,172673,128664,34523,163187,125793,96079,21854,117933,126934,100460,17848,118308,175834,140756,20296,161052,130198,66138,46115,112253,,,,,,,,
21,Odisha,158626,118469,31723,150192,160653,115438,37708,153146,275749,205599,55918,261517,161454,119173,33232,152405,163696,119526,35291,154817,281667,202799,62054,264853,165324,119712,33923,153635,168552,127492,28016,155508,288456,221373,39121,260494,173481,76970,66594,143564,,,,,,,,
22,Chhattisgarh,74350,50760,19594,70354,75353,49970,21380,71350,132153,90084,34832,124916,74474,51186,18603,69789,75697,49893,20919,70812,133809,90391,35353,125744,75434,50766,18904,69670,76990,54599,15262,69861,135546,98417,23354,121771,78435,42324,20758,63082,,,,,,,,
23,Madhya Pradesh,191998,150214,37464,187678,196288,146000,45387,191387,418497,314630,90978,405608,194320,147506,40860,188366,198209,146923,44957,191880,426405,319714,92247,411961,199136,150613,40567,191180,204506,161605,32570,194175,435626,344046,63347,407393,208760,120359,60390,180749,,,,,,,,
24,Gujarat,586507,509368,70000,579368,594451,507033,81999,589032,1006436,852249,135945,988194,599279,506864,84242,591106,608923,515988,82272,598260,1019860,870461,129208,999669,610453,516091,81813,597904,617988,537926,63997,601923,1027609,892505,99187,991692,625585,529529,50197,579726,,,,,,,,
25,Daman and Diu,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,,,,,,,,
26,Dadra and Nagar Haveli,11569,9131,1962,11093,11640,8731,2381,11112,14678,11095,2927,14022,11636,8919,2171,11090,11721,9027,2096,11123,14756,11120,2943,14063,11790,8867,2281,11148,11873,9312,1806,11118,14870,11717,1999,13716,11999,9397,910,10307,,,,,,,,
27,Maharashtra,804151,607091,163809,770900,814447,597130,185030,782160,1485608,1109942,313281,1423223,815623,609262,169853,779115,826349,604988,182378,787366,1500292,1103472,328297,1431769,833041,605596,180246,785842,845911,646809,144295,791104,1519147,1186626,214004,1400630,864672,598861,131636,730497,,,,,,,,
29,Karnataka,650637,509848,107388,617236,656039,500494,121563,622057,844882,648078,149487,797565,664863,511998,114156,626154,670009,510770,119782,630552,858143,635617,170770,806387,675943,514707,117166,631873,678429,538714,94685,633399,865622,691741,104579,796320,690116,423526,175190,598716,,,,,,,,
30,Goa,25038,15458,5304,20762,25302,15172,5805,20977,37823,24356,8509,32865,25469,15622,5344,20966,25404,15420,5660,21080,37238,24354,8692,33046,24904,15774,5245,21019,25338,16225,4949,21174,38074,26398,5882,32280,25812,13968,5163,19131,,,,,,,,
31,Lakshadweep,178,122,47,169,176,119,48,167,221,154,56,210,178,120,52,172,175,127,45,172,221,157,55,212,186,125,43,168,171,132,30,162,218,171,24,195,181,108,37,145,,,,,,,,
32,Kerala,273479,210168,48780,258948,275367,205112,55284,260396,339208,253600,67129,320729,277547,210262,51472,261734,278758,204045,59321,263366,343140,246257,76167,322424,282101,206198,56029,262227,282756,215115,46787,261902,343988,265481,49920,315401,285285,179046,66301,245347,,,,,,,,
33,Tamil Nadu,872690,721448,115917,837365,878008,698524,145515,844039,999035,799487,155981,955468,889467,710694,140740,851434,894020,709376,145951,855327,1012178,787204,178843,966047,904846,719755,139943,859698,910192,744406,116145,860551,1025826,827964,131205,959169,923071,582726,242391,825117,,,,,,,,
34,Puducherry,17959,14133,2976,17109,18024,13562,3686,17248,20468,15286,4159,19445,18235,13741,3620,17361,18317,13713,3663,17376,20712,14847,4678,19525,18585,13952,3433,17385,18498,14356,2930,17286,20775,15945,3149,19094,18672,10557,5590,16147,,,,,,,,
35,Andaman and Nicobar Islands,3356,2179,969,3148,3369,2098,1093,3191,4189,2651,1344,3995,3398,2175,1064,3239,3433,2179,1097,3276,4306,2755,1329,4084,3505,2170,1031,3201,3511,2330,851,3181,4405,2987,905,3892,3534,1736,1060,2796,,,,,,,,
36,Telangana,340147,237158,64675,301833,343940,229566,75118,304684,415294,284707,84586,369293,349377,235401,72245,307646,352323,237661,71969,309630,424236,282882,91561,374443,358309,239340,71253,310593,359722,252182,58820,311002,432157,308232,60427,368659,367733,181970,108765,290735,,,,,,,,
37,Andhra Pradesh,250172,189770,44767,234537,249985,187946,48117,236063,300587,229546,57388,286934,247712,188634,47974,236608,250023,187112,50843,237955,306096,224314,65421,289735,252706,191838,47382,239220,254538,201213,38439,239652,310997,242012,44569,286581,259359,149842,75321,225163,,,,,,,,
38,Ladakh,2272,1547,738,2285,2410,1630,818,2448,5863,4171,1569,5740,2354,1604,697,2301,2487,1632,754,2386,6137,4409,1510,5919,2383,1541,689,2230,2468,1678,584,2262,6357,4971,796,5767,2401,960,897,1857,,,,,,,,
97,Other Territory,82,62,4,66,81,18,47,65,87,59,10,69,80,59,5,64,83,61,4,65,87,58,11,69,80,55,9,64,81,61,4,65,87,65,4,69,83,62,3,65,,,,,,,,
