code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,83362,6915,72219,79134,83081,20447,58655,79102,83835,27415,52742,80157,86377,27314,53891,81205,87783,45076,36772,81848,88382,57872,24320,82192,88352,60368,22282,82650,86447,63625,19415,83040,84627,66253,17267,83520,45570,27633,16701,44334,44854,31323,13923,45246,84140,60758,24929,85687
2,Himachal Pradesh,85900,8356,72512,80868,85444,23354,57516,80870,85305,33677,47839,81516,86772,35023,47524,82547,88104,51906,31666,83572,89380,64989,19425,84414,90577,66916,18425,85341,90998,69719,16364,86083,91034,70864,15908,86772,40225,24101,12335,36436,39963,27128,10496,37624,90790,66128,22998,89126
3,Punjab,312045,21475,270065,291540,311421,79839,211610,291449,312776,127403,165039,292442,313307,134638,160519,295157,316396,181512,115938,297450,318929,239265,59924,299189,321958,247418,53792,301210,323060,254150,48676,302826,323550,263280,41059,304339,144815,95397,34888,130285,144139,103966,28935,132901,318519,245059,63271,308330
4,Chandigarh,27102,2381,23586,25967,26687,7124,18784,25908,26720,12309,13576,25885,26875,12748,13169,25917,26954,16450,9582,26032,27174,19801,6306,26107,27266,20548,5623,26171,27151,21327,4920,26247,26992,22221,4072,26293,12937,9080,3512,12592,12710,9797,2924,12721,26399,20288,6114,26402
5,Uttarakhand,131425,16526,103089,119615,130423,36716,83129,119845,130093,46924,74072,120996,132671,51090,71984,123074,135332,73229,51507,124736,138271,92621,33586,126207,140605,95239,32959,128198,141075,102644,27121,129765,140248,106298,24901,131199,71169,39594,23959,63553,69125,44408,20779,65187,138667,93683,40891,134574
6,Haryana,423209,38552,350019,388571,421109,110504,278436,388940,424733,164373,227204,391577,432397,177198,219319,396517,439116,245256,157867,403123,444211,299318,107691,407009,451674,309568,102679,412247,454057,326603,89538,416141,454238,342430,76438,418868,236480,136528,71091,207619,230595,151499,59847,211346,438177,308249,113342,421591
7,Delhi,750773,50872,592741,643613,738386,157544,484384,641928,735720,241681,403366,645047,744442,260242,389822,650064,756644,382047,276503,658550,764172,477432,186319,663751,777864,494200,177510,671710,781370,531886,145582,677468,767321,564644,116848,681492,376545,205337,112995,318332,362039,229612,92014,321626,717401,464296,216976,681272
8,Rajasthan,551496,40057,477472,517529,550123,147042,371692,518734,556868,213082,312172,525254,565483,230484,303444,533928,572250,330813,209581,540394,582052,418470,128872,547342,590940,429441,125308,554749,594928,455539,104977,560516,594970,474358,91981,566339,254311,153353,80040,233393,253807,176513,65621,242134,590776,392458,189379,581837
9,Uttar Pradesh,1152209,96701,954663,1051364,1134246,296243,753706,1049949,1134575,408655,646577,1055232,1163634,440961,636675,1077636,1186115,681257,412200,1093457,1210642,852568,256183,1108751,1230797,870853,254857,1125710,1235793,922947,214846,1137793,1231355,965854,182840,1148694,676084,422532,183425,605957,651597,466341,153070,619411,1203078,819148,355001,1174149
10,Bihar,319318,26977,264266,291243,318723,74079,218846,292925,326795,72696,226320,299016,336400,84592,219896,304488,343478,158518,150525,309043,355383,221921,93114,315035,365633,212057,108680,320737,370137,239961,84225,324186,372999,261867,67082,328949,223052,108992,71061,180053,218640,129207,57591,186798,376756,224983,120111,345094
11,Sikkim,7507,1112,5497,6609,7513,1952,4667,6619,7574,2307,4354,6661,7650,2480,4223,6703,7695,3248,3475,6723,7706,4478,2246,6724,7795,4312,2441,6753,7846,4771,2033,6804,7893,5046,1796,6842,5264,2499,1694,4193,5086,2841,1468,4309,7885,4639,2529,7168
12,Arunachal Pradesh,12439,1318,8130,9448,11980,2024,7401,9425,12071,2464,7002,9466,12276,2794,6746,9540,12473,4103,5550,9653,12614,5048,4612,9660,12787,5389,4389,9778,12973,5652,4239,9891,13123,6296,3686,9982,9471,3108,3369,6477,9338,3491,3099,6590,12705,5283,4918,10201
13,Nagaland,6695,924,4661,5585,6654,1406,4176,5582,6636,1894,3707,5601,6730,1759,3904,5663,6785,2722,2994,5716,6814,3358,2395,5753,6964,3438,2390,5828,7048,3742,2174,5916,7088,3958,2012,5970,5686,2712,1901,4613,5621,3025,1671,4696,6948,3478,2607,6085
14,Manipur,10507,722,7160,7882,10513,1321,6536,7857,10608,2268,5635,7903,10870,1660,6361,8021,11132,3026,5095,8121,11315,3730,4439,8169,11545,4085,4224,8309,11604,4654,3762,8416,11593,5280,3255,8535,9713,3393,3284,6677,9310,3946,2845,6791,10990,4656,4072,8728
