code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
15,Mizoram,6220,1314,3456,4770,6236,1701,3084,4785,6293,2181,2632,4813,6429,1732,3154,4886,6586,2849,2102,4951,6663,3078,1872,4950,6801,3260,1757,5017,6877,3526,1593,5119,6826,3847,1396,5243,5390,2282,1623,3905,5128,2658,1333,3991,6600,3725,1704,5429
16,Tripura,24177,2820,18446,21266,24098,6553,14717,21270,24301,8288,13134,21422,24725,8649,13078,21727,25089,13197,8774,21971,25352,16416,5608,22024,25657,17064,5175,22239,25765,17548,4850,22398,25839,18150,4519,22669,15838,8306,4521,12827,15495,9316,3647,12963,25465,16009,7073,23082
17,Meghalaya,26610,4535,16203,20738,26470,8702,11986,20688,25760,9083,11532,20615,25696,9066,11795,20861,25913,13486,7511,20997,25659,14818,6209,21027,26031,15157,6106,21263,26186,15812,5603,21415,26317,16667,4926,21593,16878,7596,4711,12307,16504,8254,4109,12363,25358,15642,6030,21672
18,Assam,145681,14258,114843,129101,145010,31312,97769,129081,146684,32596,97653,130249,151002,37041,95723,132764,153079,61053,73559,134612,156081,82975,52219,135194,159400,87511,49427,136938,161009,92782,45671,138453,161396,98374,41977,140351,108346,47301,41290,88591,101792,54374,36087,90461,155251,80725,63785,144510
19,West Bengal,611179,44424,500683,545107,606429,144542,399418,543960,606073,185650,358984,544634,610188,189699,358477,548176,613926,310788,239749,550537,616763,404568,147126,551694,621241,419972,134317,554289,624748,438244,119715,557959,625592,455081,106294,561375,329721,167188,101783,268971,323065,190410,82127,272537,619161,420855,147537,568392
20,Jharkhand,143479,14433,121628,136061,143225,37002,99147,136149,144577,48201,88940,137141,147922,50964,88349,139313,150500,78655,62227,140882,153397,100945,41208,142153,155748,100236,43338,143574,156900,110982,33989,144971,155521,117329,29061,146390,96011,57497,30382,87879,92769,64322,24935,89257,153057,98317,51254,149571
21,Odisha,222881,29275,182844,212119,223846,61478,151377,212855,227236,66911,148401,215312,232779,72021,146122,218143,236990,123443,97147,220590,242455,163684,59568,223252,245898,170880,55270,226150,247799,178345,50927,229272,248265,185905,46408,232313,136662,73090,47761,120851,130439,85083,38675,123758,245647,165743,73101,238844
22,Chattisgarh,106914,9658,91561,101219,106827,20125,81279,101404,107995,34895,67479,102374,110315,34826,69171,103997,111481,47133,58006,105139,113499,63747,42323,106070,114692,64171,42803,106974,115249,70741,37164,107905,115872,79391,29909,109300,66168,34705,26229,60934,65704,38979,24233,63212,116311,47068,67026,114094
23,Madhya Pradesh,351098,25016,317797,342813,350849,73096,269990,343086,353115,119678,225779,345457,360296,132558,217256,349814,365792,195704,157512,353216,374326,254856,102391,357247,378033,254283,106761,361044,379234,277234,86783,364017,378853,300736,66455,367191,171701,106059,56595,162654,169194,116811,50265,167076,378386,199843,176506,376349
24,Gujrat,892394,37821,807756,845577,888497,206979,638774,845753,888717,396063,453876,849939,899174,433675,424893,858568,909355,586440,280508,866948,919225,679924,196349,876273,928340,649465,234985,884450,932930,724876,167174,892050,933808,768518,132473,900991,471009,331834,111502,443336,469149,356663,97513,454176,935950,699616,222316,921932
25,Daman and Diu,5839,453,4986,5439,5819,1228,4200,5428,5809,2565,2844,5409,5794,2307,3060,5367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Dadra and Nagar Haveli,8243,686,6996,7682,8217,1726,5946,7672,8277,3434,4312,7746,13062,3735,4061,7796,14257,7079,6103,13182,14364,8346,4820,13166,14515,8528,4735,13263,14537,9172,4141,13313,14477,10132,3216,13348,10236,6279,2926,9205,10198,6670,2638,9308,13967,8769,4720,13489
27,Maharastra,1379682,71615,1188766,1260381,1370063,206895,1053484,1260379,1376699,357757,908066,1265823,1386159,417917,855225,1273142,1395892,620883,661406,1282289,1408098,856100,432994,1289094,1413160,878829,419099,1297928,1410829,951368,356791,1308159,1406326,1022123,297721,1319844,685252,383642,249644,633286,667048,426019,220329,646348,1363993,866125,474574,1340699
29,Karnataka,733840,99660,575988,675648,729493,203693,473553,677246,737436,237400,445920,683320,746987,297116,391522,688638,758127,427206,267798,695004,768520,505482,195534,701016,770579,517901,188920,706821,769439,548857,165518,714375,769503,585393,134248,719641,526548,352267,134938,487205,525083,378780,116356,495136,765317,539873,197895,737768
30,Goa,36015,4252,25775,30027,35551,7270,22806,30076,35630,10369,19871,30240,35883,11013,19343,30356,36112,15141,15379,30520,36289,18972,11614,30586,36624,19521,11273,30794,36792,20298,10718,31016,36918,22678,8566,31244,23509,10488,7791,18279,22626,11473,6977,18450,35459,20167,11390,31557
31,Lakshadweep,261,27,172,199,261,44,154,198,266,67,136,203,273,67,140,207,282,90,126,216,289,112,108,220,289,120,97,217,287,129,90,219,275,2557,2777,220,225,90,83,173,223,104,75,179,272,125,101,226
32,Kerala,303568,23755,254516,278271,301693,52624,225927,278551,303033,73185,207264,280449,305881,81296,201257,282553,309941,123817,162074,285891,313197,180079,107974,288053,316872,197900,93109,291009,319591,209513,85202,294715,320883,228047,69827,297874,237285,145562,72542,218104,231667,154098,66490,220588,314391,194949,109850,304799
33,Tamil Nadu,875836,90182,720767,810949,872102,211651,600289,811940,879453,288086,528912,816998,900135,335465,492963,828428,916182,504046,332175,836221,928683,614787,227060,841847,933135,627948,222134,850082,933314,671883,185864,857747,923873,699395,167550,866945,726285,519637,160153,679790,715063,545907,141606,687513,910875,659309,227668,886977
34,Puducherry,19650,2834,14844,17678,19392,4800,12801,17601,19399,6955,10762,17717,19794,6957,10989,17946,20052,10081,8022,18103,20172,12415,5668,18083,20319,12872,5357,18229,20437,13644,4698,18342,20149,14430,4010,18440,15727,10475,3938,14413,15666,10874,3671,14545,19723,13268,5359,18627
35,Andaman and Nicobar Island,3851,149,3369,3518,3844,651,2859,3510,3825,1058,2478,3536,3845,576,2970,3546,3856,1190,2352,3542,3868,1532,2017,3549,3955,1685,1899,3584,3994,1894,1715,3609,4014,2235,1400,3635,3140,1490,1296,2786,3099,1547,1274,2821,3984,2029,1674,3703
36,Telangana,357349,41912,260441,302353,355488,84632,218083,302715,358237,116669,188093,304762,364550,117058,191632,308690,368236,171317,140246,311563,371659,195649,118102,313751,376783,203944,113233,317177,379786,219292,102066,321358,381213,241659,83747,325406,286191,159471,80074,239545,282649,170947,72661,243608,372165,219798,114507,334305
37,Andhra Pradesh,282611,30367,221686,252053,279976,70507,181616,252123,281786,91865,162030,253895,285895,94592,161664,256256,289101,151173,106633,257806,291802,176421,82642,259063,295238,187583,74096,261679,296582,195830,68546,264376,297340,206406,61165,267571,215259,135264,54770,190034,211045,143101,49373,192474,290704,183740,88371,272111
38,Ladakh,2817,825,2059,2884,3040,690,2215,2905,3108,1133,1815,2948,3245,1184,1887,3071,3370,1613,1572,3185,3518,1964,1364,3328,3623,2248,1179,3427,3714,2515,1000,3515,3842,2798,844,3642,1986,1066,750,1816,2072,1329,735,2064,4235,3069,1175,4244
97,Other Territory,81,10,57,67,81,16,51,67,81,44,23,67,82,51,17,68,82,54,13,67,82,55,12,67,82,60,7,67,82,56,11,67,81,59,8,67,74,51,10,61,75,56,7,63,81,54,15,69
