Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,48072,6997,20180,27177,46923,6739,20562,27301,90874,24941,48420,73361,43438,3444,23767,27211,43229,3119,24094,27213,92462,8312,64608,72920,42646,3083,24244,27327,41914,4048,23421,27469,92194,24884,48347,73231,39353,7077,20219,27296,39314,13695,13548,27243,85741,34032,36665,70697
2,Himachal Pradesh,37394,7311,10735,18046,35683,7347,10721,18068,88064,43206,32796,76002,32605,7038,11311,18349,31156,7697,10746,18443,89912,35435,42585,78020,29485,6730,11976,18706,28002,7979,10958,18937,88745,57329,21447,78776,24254,10351,8654,19005,23136,14858,4064,18922,86286,57101,21473,78574
3,Punjab,123462,46610,33627,80237,119967,48125,32188,80313,308875,180468,98650,279118,109710,42897,37732,80629,106470,45559,35268,80827,311089,137144,10450765,282909,101504,39383,41834,81217,97659,46541,35019,81560,308579,225736,60262,285998,95635,59206,22563,81769,94540,71371,10460,81831,312194,234063,52342,286405
4,Chandigarh,12580,4954,3830,8784,11968,5088,3654,8742,27619,16123,9474,25597,10876,4824,3977,8801,10567,5105,3715,8820,27465,13512,12153,25665,10185,4702,4196,8898,9714,5327,3591,8918,27106,20035,5791,25826,9816,6506,2438,8944,9666,7826,1111,8937,27176,20426,5190,25616
5,Uttarakhand,63886,9076,21523,30599,59731,8983,21809,30792,129422,41948,67721,109669,54062,8722,22489,31211,51426,9149,22318,31467,131532,36806,76024,112830,48183,8536,23464,32000,44607,10679,21756,32435,128458,72827,42322,115149,43497,16192,16193,32385,42767,23867,8504,32371,131773,76153,37913,114066
6,Haryana,201278,54761,63828,10180589,192033,57044,61894,10180938,423764,203791,10660944,370735,173026,53550,66397,10190947,166832,57350,63194,10200544,423483,162525,20140838,377363,160277,49199,72471,10210670,154903,58722,64290,10230012,424443,279971,10030669,383640,153606,79984,43660,10230644,146565,102643,20920,10230563,423351,295079,87694,382773
7,Delhi,364482,70987,98450,10690437,355644,72573,97916,10700489,759157,337223,20790397,616620,323034,70025,10020965,10720990,309950,74722,99254,10730976,766277,266498,30620717,629215,285320,65780,10100793,10760573,274081,80807,98066,10780873,746559,460035,10790456,639491,253369,104289,75989,10800278,251087,140232,40756,10800988,752110,456725,10760661,633386
8,Rajasthan,246498,51178,70751,10210929,236220,54427,67613,10220040,560439,263161,20250487,488648,205814,50965,72649,10230614,193923,54220,69520,10230740,559918,199263,20990317,498580,184413,43294,81639,10240933,173833,55711,71912,10270623,541872,368743,10380354,507097,152784,78919,47268,10260187,150750,102068,23814,10250882,552190,377455,10320706,510161
9,Uttar Pradesh,524456,79858,20090906,20890764,496559,78716,20120238,20900954,1118687,367818,50860405,954223,453407,73238,20210472,20940710,432883,76803,20200201,20970004,1126122,285334,60950173,980507,411675,66568,20350441,30020009,391787,82687,20230556,30060243,1127354,624423,30770445,1001868,386848,137990,10690224,30070214,379844,215306,91565,30060871,1155076,632633,30630572,996205
10,Bihar,171325,11233,67578,78811,162671,11394,67951,79345,313451,68554,10810290,249844,151876,10786,69975,80761,147333,11447,70143,81590,325576,53178,20070657,260835,146984,10208,73340,83548,143867,13204,71722,84926,332886,146645,10220998,269643,133090,28179,59660,87839,108549,50287,35181,85468,320339,144552,10230061,267613
11,Sikkim,4600,797,1833,2630,4548,811,1813,2624,7029,2167,3521,5688,4252,801,1863,2664,4075,815,1893,2708,7195,1733,4175,5908,4095,761,2004,2765,4062,838,1938,2776,7450,3061,3020,6081,3908,1156,1619,2775,3729,1818,979,2797,7508,4045,2148,6193
12,Arunachal Pradesh,8440,435,2803,3238,8306,428,2803,3231,11143,1390,6173,7563,7639,569,2725,3294,7528,602,2743,3345,11960,1349,6685,8034,7480,538,2916,3454,7440,595,2887,3482,12515,3427,4933,8360,7275,923,2608,3531,7020,1782,1763,3545,12538,3981,4512,8493
13,Nagaland,5424,564,2605,3169,5324,591,2593,3184,6463,1086,3739,4825,5094,521,2766,3287,5116,621,2725,3346,6718,998,4049,5047,5117,607,2830,3437,5024,708,2749,3457,6694,1700,3439,5139,4925,998,2505,3503,4794,2023,1491,3514,6784,3051,2106,5157
14,Manipur,9159,576,3551,4127,8938,557,3564,4121,10941,1235,5502,6737,8347,521,3655,4176,7996,571,3630,4201,10659,1119,5759,6878,7640,601,3691,4292,7565,667,3644,4311,10173,2393,4516,6909,7119,1032,3272,4304,7146,2056,2178,4234,10531,2966,3684,6650
