Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
15,Mizoram,4309,520,2080,2600,4314,585,2017,2602,5454,1297,2663,3960,4339,525,2155,2680,4331,544,2149,2693,5800,1399,2726,4125,4378,531,2183,2714,4406,664,2104,2768,6083,1668,2590,4258,4479,804,2042,2846,4501,1857,999,2856,6256,3267,1112,4379
16,Tripura,13357,1448,5330,6778,13002,1571,5247,6818,24026,7001,12282,19283,12173,1621,5321,6942,11708,1630,5378,7008,24530,5944,13945,19889,11273,1712,5410,7122,10971,1711,5495,7206,24481,10889,9290,20179,10298,2804,4501,7305,9683,4697,2559,7256,24205,12693,7402,20095
17,Meghalaya,16494,1391,6391,7782,16584,1595,6288,7883,24878,5739,11335,17074,16556,1545,6636,8181,16201,1829,6389,8218,26140,5993,11833,17826,16090,1524,6744,8268,15981,1747,6486,8233,26428,7356,10345,17701,15911,2477,5890,8367,15896,4547,3683,8230,26706,10227,7039,17266
18,Assam,112018,8261,39734,47995,109409,8829,39484,48313,161175,30568,84094,114662,103195,8785,40411,49196,101010,9112,40527,49639,167059,23526,95351,118877,98900,8608,41972,50580,94250,9265,43320,52585,146205,57838,61979,119817,71728,17893,33171,51064,70808,30124,20887,51011,145908,61855,56549,118404
19,West Bengal,305268,48391,10240750,10730141,294634,50100,10230430,10730530,593424,200817,30020589,503406,274036,49340,10260364,10750704,268694,51102,10250577,10760679,607620,160374,30540188,514562,264148,46935,10310498,10780433,259704,58073,10220026,10800099,611342,312982,20070316,520298,246718,87747,93198,10800945,240337,129485,51201,10800686,611625,335599,10770603,513202
20,Jharkhand,88905,11151,39609,50760,85852,11517,39512,51029,149800,38601,85178,123779,79004,11061,40659,51720,76321,11321,40788,52109,151326,30208,97064,127272,73311,10556,42702,53258,67502,13118,40363,53481,147404,72364,56878,129242,63116,22759,31086,53845,59716,36278,17261,53539,143561,79316,48204,127520
21,Odisha,162206,9313,56944,66257,149172,12941,53646,66587,219769,56216,10270036,183252,104974,13484,54222,67706,99843,13611,54660,68271,220841,50596,10380652,189248,96497,13533,56252,69785,92661,16168,54643,70811,222288,102150,92430,194580,91315,25637,45847,71484,88358,45831,25822,71653,223069,119490,72329,191819
22,Chattisgarh,63451,7987,29321,37308,60187,8525,28972,37497,104773,27682,65426,93108,53849,8081,29841,37922,52544,8449,29700,38149,107458,21696,73742,95438,51279,7836,30866,38702,48984,10319,28669,38988,105112,56144,40634,96778,46049,17226,21571,38797,45889,25407,13263,38670,107069,59043,36141,95184
23,Madhya Pradesh,177325,25130,77300,10020430,166338,26553,75886,10020439,353290,112241,20050164,317405,149791,25018,78303,10030321,145173,25966,77757,10030723,359995,80485,20430652,324137,142536,22017,82941,10040958,138001,28630,77981,10060611,354752,214331,10140216,328547,121996,52770,53507,10060277,118866,77968,27560,10050528,351474,210728,10120939,323667
24,Gujrat,399204,111838,10380823,20500661,382894,116129,10340842,20500971,877062,468729,30330718,802447,340947,101809,10510089,20520898,329795,113433,10400197,20530630,884817,375641,40420070,817711,320380,91725,10630976,20550701,311565,128059,10290985,20580044,877839,661872,10700175,832047,297941,180734,78783,20590517,294413,224639,35465,20600104,893063,680053,10580071,838124
25,Daman and Diu,3988,1456,1320,2776,3817,1452,1310,2762,5816,2971,2441,5412,3338,1463,1291,2754,3273,1498,1261,2759,5835,2587,2831,5418,3229,1413,1338,2751,3188,1636,1150,2786,5767,3777,1654,5431,3105,1877,899,2776,3077,2328,444,2772,5841,4145,1264,5409
26,Dadra and Nagar Haveli,5203,1758,1650,3408,5064,1806,1612,3418,8364,3920,3505,7425,4659,1715,1730,3445,4528,1766,1690,3456,8395,3369,4189,7558,4227,1727,1787,3514,3917,2059,1465,3524,7976,5484,2064,7548,4000,2576,958,3534,4015,3139,408,3547,8238,5797,1784,7581
27,Maharastra,705207,136414,20210373,30570787,678572,140050,20170878,30570928,1405014,569967,60330912,1203879,600814,131262,20300540,30610802,577797,139003,20240192,30630195,1416919,452291,70730174,1225465,553324,122665,20440052,30660717,528988,154904,20160154,30710058,1379433,874896,30640242,1239138,465114,221373,10490538,30700911,457177,284183,86205,30700388,1380633,751562,40690141,1220703
29,Karnataka,497177,108371,20550162,30630533,485610,107614,20570702,30650316,710827,238182,30710640,609822,464623,96586,20740809,30710395,451202,104623,20690634,30740257,709880,201230,40250159,626389,448411,99248,20810189,30800437,443261,125863,20580923,30840786,723207,383704,20580250,641954,443230,194070,10940401,30880471,443322,301218,86324,30870542,734800,452875,10800591,633466
30,Goa,21309,4590,7186,11776,20779,4600,7204,11804,33757,13260,14979,28239,19308,4383,7546,11929,18815,4453,7527,11980,34397,12228,16465,28693,18492,4499,7645,12144,18104,5174,7039,12213,35044,17483,11756,29239,17705,6414,5914,12328,17648,9035,3302,12337,36052,20196,9142,29338
31,Lakshadweep,176,32,50,82,175,29,57,86,219,58,102,160,179,27,60,87,178,31,57,88,229,51,116,167,179,29,61,90,178,31,61,92,247,73,105,178,180,39,55,94,181,54,42,96,261,103,81,184
32,Kerala,202318,39359,10060753,10460112,195184,37638,10090204,10460842,295913,98773,10630469,262242,189177,30431,10180402,10480833,187045,29619,10200286,10490905,301836,82599,10850319,267918,184754,36570,10150391,10510961,180486,55426,98211,10530637,302709,160850,10110750,272600,175450,76635,77967,10540602,174499,118780,35996,10540776,304085,189686,82195,271881
33,Tamil Nadu,681342,145877,30720916,50180793,679109,144294,30770505,50210799,894344,273096,40760477,749573,670695,132477,30960474,50280951,664170,137937,30940971,50320908,900385,227476,50380878,766354,654051,134833,40050185,50400018,640748,174944,30700330,50450274,877850,502516,20800893,783409,620078,296846,20540840,50510686,613352,454234,98900,50530134,876639,568031,20120789,780820
34,Puducherry,16423,3505,7977,11482,16070,3416,8141,11557,20879,6052,10793,16845,15621,3128,8484,11612,15410,3251,8438,11689,21025,5297,11834,17131,15000,3426,8479,11905,14741,4209,7746,11955,20391,10447,6852,17299,13562,6083,5860,11943,13336,9563,2368,11931,19681,12605,4391,16996
35,Andaman and Nicobar Island,3127,335,1568,1903,3085,326,1561,1887,3826,643,2542,3185,2934,270,1631,1901,2929,300,1621,1921,3994,521,2731,3252,2925,274,1680,1954,2906,339,1644,1983,4090,1214,2131,3345,2535,449,1543,1992,2542,842,1139,1981,3877,1547,1777,3324
36,Telangana,247115,43261,10270901,10710162,243625,41822,10300711,10720533,327844,88086,10760630,264716,238294,40853,10340560,10750413,236935,42250,10340725,10760975,337626,72375,20010472,273847,239475,39650,10400921,10800571,240217,49826,10330184,10830010,350234,155108,10270982,283090,239471,82395,10020804,10850199,238143,135886,49184,10850070,357819,195061,85718,280779
37,Andhra Pradesh,211912,39948,10140762,10540710,206448,40973,10140268,10550241,281946,81878,10530941,235819,201438,37758,10190634,10570392,199209,39371,10180967,10580338,287263,65860,10740886,240746,197620,36398,10230980,10600378,193704,47355,10140999,10620354,286760,151471,94119,245590,192119,79873,83061,10620934,188319,128641,33634,10620275,283250,174803,64290,239093
38,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,370,370,982,0,424,424,3014,1388,1254,2642
97,Other Territory,65,45,4,49,65,44,5,49,71,53,3,56,70,47,6,53,71,49,5,54,76,51,8,59,73,48,8,56,74,49,7,56,76,56,5,61,71,54,4,58,73,58,0,58,81,62,3,65
