Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
20,Jharkhand,10200558,52252,59943,10120195,10210339,51598,61489,10130087,168897,72510,84632,157142,10220532,54809,59258,10140067,10240179,54846,60380,10150226,10720673,70178,93217,10630395,10250793,59603,58545,10180148,10260934,62393,56289,10180682,10750834,84400,78162,10620562,10300198,66138,48589,10140727,,,,,,,,
21,Odisha,10580626,58412,86047,10440459,10600653,64351,82911,10470262,275749,97225,10520878,250103,10610454,61285,85714,10460999,10630696,61817,87918,10490735,20810667,93790,10710026,20640816,10650324,68117,85727,10530844,10680552,73187,82716,10550903,20880456,10160807,10460622,20630429,10730481,76970,70110,10470080,,,,,,,,
22,Chattisgarh,74350,32911,35588,68499,75353,35838,33672,69510,132153,55494,66114,121608,74474,34343,33869,68212,75697,34604,34667,69271,10330809,55886,69886,10250772,75434,38767,30906,69673,76990,39517,30402,69919,10350546,66292,56981,10230273,78435,42324,22642,64966,,,,,,,,
23,Madhya Pradesh,10910998,92834,89288,10820122,10960288,10000533,85160,10850693,418497,175242,20160307,391549,10940320,92149,91089,10830238,10980209,93180,93679,10860859,40260405,10750299,20360251,40110550,10990136,10120390,78425,10900815,20040506,10140582,79472,10940054,40350626,20210392,10890861,40110253,20080760,120359,63774,10840133,,,,,,,,
24,Gujrat,50860507,40650690,10100332,50760022,50940451,40860160,10000290,50860450,1006436,781871,20030994,985865,50990279,40750467,10120794,50880261,60080923,40780856,10160636,50950492,100190860,70980796,20020867,100010663,60100453,40980057,98977,50970034,60170988,50090631,91877,60010508,100270609,80570521,10420411,90990932,60250585,529529,61911,50910440,,,,,,,,
25,Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
26,Dadra and Nagar Haveli,11569,8325,2712,11037,11640,8513,2545,11058,14678,10402,3563,13965,11636,8379,2653,11032,11721,8520,2569,11089,14756,10649,3448,14097,11790,8938,2244,11182,11873,9022,2151,11173,14870,11392,2562,13954,11999,9397,1476,10873,,,,,,,,
27,Maharastra,80040151,40860286,20720200,70580486,80140447,50130410,20560287,70690697,1485608,895122,50070421,1402543,80150623,50100355,20570722,70680077,80260349,50000152,20760724,70760876,150000292,90060316,50270755,140340071,80330041,50470385,20390645,70870030,80450911,50620235,20310281,70930516,150190147,100270140,30940331,140210471,80640672,598861,10570356,70560217,,,,,,,,
29,Karnataka,60500637,30410217,20620798,60040015,60560039,30650269,20430600,60080869,844882,446083,30330273,779356,60640863,30650127,20490257,60140384,60700009,30530245,20660438,60190683,80580143,40360371,30710244,80070615,60750943,30920977,20400501,60330478,60780429,40020518,20330211,60350729,80650622,50190244,20850515,80040759,60900116,423526,10910191,60140717,,,,,,,,
30,Goa,25038,11057,9441,20498,25302,11822,8931,20753,37823,18336,14246,32582,25469,11856,8890,20746,25404,11275,9627,20902,37238,18928,14193,33121,24904,13046,8035,21081,25338,12825,8457,21282,38074,21394,11367,32761,25812,13968,5870,19838,,,,,,,,
31,Lakshadweep,178,75,91,166,176,91,74,165,221,116,90,206,178,100,68,168,175,87,83,170,221,108,104,212,186,100,70,170,171,102,61,163,218,129,68,197,181,108,39,147,,,,,,,,
32,Kerala,20730479,10530047,10030389,20560436,20750367,10610562,96398,20570960,339208,186274,10310557,317831,20770547,10650374,94242,20590616,20780758,10390874,10210688,20610562,30430140,10850696,10370587,30230283,20820101,10680696,94513,20630209,20820756,10710947,91376,20630323,30430988,20060863,10120332,30190195,20850285,179046,74737,20530783,,,,,,,,
33,Tamil Nadu,80720690,50060224,30200882,80270106,80780008,50130124,30200256,80330380,999035,565315,30770569,942884,80890467,50200984,30200781,80410765,80940020,40930938,30520380,80460318,100120178,50570050,40100852,90670902,90040846,50510056,30100940,80610996,90100192,50540975,30080790,80630765,100250826,60330578,30330577,90670155,90230071,582726,20630331,80460057,,,,,,,,
34,Puducherry,17959,9246,7611,16857,18024,9318,7691,17009,20468,10328,8822,19150,18235,9509,7642,17151,18317,8915,8246,17161,20712,10277,9296,19573,18585,10062,7374,17436,18498,9996,7366,17362,20775,11596,7693,19289,18672,10557,6087,16644,,,,,,,,
35,Andaman and Nicobar Island,3356,1262,1855,3117,3369,1415,1742,3157,4189,1649,2311,3960,3398,1355,1855,3210,3433,1400,1858,3258,4306,1649,2437,4086,3505,1500,1719,3219,3511,1598,1603,3201,4405,1988,1950,3938,3534,1736,1179,2915,,,,,,,,
36,Telangana,30400147,10440632,10470620,20920252,30430940,10500850,10440286,20950136,415294,175268,10810968,357236,30490377,10510539,10470281,20980820,30520323,10430660,10570854,30010514,40240236,10740486,20000509,30740995,30580309,10650519,10450975,30110494,30590722,10730341,10390091,30120432,40320157,20130067,10590459,30720526,30670733,181970,10160717,20980687,,,,,,,,
37,Andhra Pradesh,20500172,10200224,10100585,20300809,20490985,10290578,10020858,20320436,300587,147753,10340512,282265,20470712,10260259,10070272,20330531,20500023,10210502,10130536,20350038,30060096,10410966,10480229,20900195,20520706,10360990,10020852,20390842,20540538,10490327,91233,20400560,30100997,10770127,10120062,20890189,20590359,149842,81312,20310154,,,,,,,,
38,Ladakh,2272,613,1397,2010,2410,741,1390,2131,5863,2005,3335,5340,2354,698,1307,2005,2487,643,1465,2108,6137,2120,3814,5934,2383,764,1467,2231,2468,818,1450,2268,6357,2495,3348,5843,2401,960,950,1910,,,,,,,,
97,Other Territory,82,61,5,66,81,60,5,65,87,63,7,70,80,60,4,64,83,61,4,65,87,60,9,69,80,60,4,64,81,58,7,65,87,66,3,69,83,62,3,65,,,,,,,,
