Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,66338,24748,37120,61868,68361,28244,34928,63172,109205,39438,60515,99953,68216,28135,34765,62900,69437,27368,36707,64075,10120849,42596,68067,10100663,69494,30114,37828,67942,70757,30500,38082,68582,10150882,47189,63477,10100666,70382,31540,32591,64131,,,,,,,,
2,Himachal Pradesh,44324,24629,17479,42108,45199,25766,17217,42983,98966,48449,45949,94398,44504,25061,16912,41973,45023,24266,18426,42692,99888,48506,47555,96061,44744,26543,15677,42220,45303,26495,16062,42557,10000769,55243,40144,95387,46153,28505,12348,40853,,,,,,,,
3,Punjab,10640856,10190440,34068,10530508,10670213,10230782,32957,10560739,342449,237801,84824,322625,10670538,10200454,35182,10550636,10690859,10200880,37085,10570965,30460997,20370645,91259,30280904,10700493,10250804,32291,10580095,10720338,10260946,32932,10590878,30500104,20520859,75003,30270862,10770002,132084,22867,10540951,,,,,,,,
4,Chandigarh,16166,12052,3519,15571,16130,12358,3299,15657,27634,20100,6705,26805,16335,12267,3486,15753,16429,12216,3690,15906,27947,20002,7157,27159,16563,12788,3275,16063,16674,12857,3184,16041,28095,21353,5545,26898,16929,13273,2310,15583,,,,,,,,
5,Uttarakhand,82800,42401,33796,76197,84757,44611,33336,77947,154914,72910,69591,142501,85475,42669,34576,77245,86445,43279,35061,78340,10560524,71800,74340,10460140,86459,46668,32425,79093,87786,48063,32046,80109,10580597,81993,63240,10450233,90863,51241,25610,76851,,,,,,,,
6,Haryana,20720326,10830979,71645,20550624,20730855,10910649,69225,20600874,476752,317689,10360032,453721,20760623,10860686,73471,20600157,20790410,10890863,74076,20630939,40840645,30170030,10440736,40610766,20820622,10980664,66449,20650113,20850773,20000637,67295,20670932,40910220,30440583,10160356,40600939,20920625,212910,47479,20600389,,,,,,,,
7,Delhi,40100282,20830884,10030958,30870842,40160018,20940541,10000929,30950470,750813,525468,10870079,712547,40190109,20870543,10080008,30950551,40230539,20940840,10060140,40000980,70620171,50280734,10950291,70240025,40290452,30040225,99595,40030820,40340676,30060111,10010328,40070439,70720632,50620644,10590015,70210659,40480203,320079,74060,30940139,,,,,,,,
8,Rajasthan,20820871,10750978,94933,20700911,20900053,10920291,86535,20780826,666005,389043,20450348,634391,20870981,10800272,93362,20730634,20930004,10840266,95703,20790969,60770720,30960635,20540365,60510000,20950677,10990451,82758,20820209,30030084,20050357,83812,20890169,60900105,40550881,10980056,60530937,30110697,218018,59229,20770247,,,,,,,,
9,Uttar Pradesh,80400499,40060363,30880265,70940628,80610805,40380117,30700769,80080886,1358945,623338,60330549,1256887,80690959,40190460,30900785,80100245,80830450,40250396,30980935,80240331,130970129,60220995,60970715,130200710,80990515,40630399,30850930,80490329,90140748,40810977,30790547,80610524,140360617,70220739,60100764,130330503,90540168,507094,30330503,80400597,,,,,,,,
10,Bihar,20760452,73601,10550964,20290565,20800982,80283,10530253,20330536,470659,127287,20680724,396011,20820327,76638,10550862,20320500,20860093,78473,10580317,20360790,40810143,10190435,30020785,40220220,20870213,89450,10550456,20440906,20920666,10000596,10480043,20480639,40950564,10570360,20650618,40220978,30100298,101099,10380081,20390180,,,,,,,,
11,Sikkim,6036,1954,2878,4832,6124,2101,2788,4889,9262,3113,4623,7736,6202,2137,2798,4935,6226,2111,2863,4974,9386,2579,5421,8000,6315,2218,2857,5075,6446,2295,2804,5099,9604,3329,4384,7713,6642,2488,2268,4756,,,,,,,,
12,Arunachal Pradesh,10617,2235,5623,7858,10811,2563,5391,7954,14133,3211,7530,10741,11019,2542,5510,8052,11175,2516,5641,8157,14571,3117,8175,11292,11345,2928,5482,8410,11441,3192,5172,8364,14790,3690,7180,10870,11740,3145,4276,7421,,,,,,,,
13,Nagaland,6106,1754,3602,5356,6184,1822,3591,5413,7446,2174,4343,6517,6325,1820,3678,5498,6418,1780,3769,5549,7662,2081,4700,6781,6546,1904,3763,5667,6648,2258,3379,5637,7880,2456,4093,6549,6715,2183,2882,5065,,,,,,,,
14,Manipur,9012,1876,5158,7034,9118,2105,5044,7149,11079,2397,6382,8779,9156,2195,5062,7257,9166,2039,5343,7382,11322,2757,6806,9563,9569,2346,5383,7729,9502,2326,5373,7699,11767,3036,6272,9308,9805,2595,4326,6921,,,,,,,,
15,Mizoram,6298,1244,3636,4880,6340,1346,3573,4919,7252,1434,4389,5823,6353,1299,3691,4990,6421,1283,3757,5040,7434,1510,4502,6012,6545,1401,3719,5120,6623,1372,3772,5144,7610,1483,4485,5968,6365,1410,3407,4817,,,,,,,,
16,Tripura,18977,7942,8966,16908,19277,8819,8296,17115,26614,11465,12489,23954,19402,8474,8723,17197,19474,8268,9130,17398,27081,10179,14421,24600,19543,9127,8480,17607,19594,9168,8453,17621,26830,12330,11897,24227,19719,9655,7282,16937,,,,,,,,
17,Meghalaya,16008,3974,7233,11207,16365,4298,7308,11606,27510,7734,13490,21224,16566,4458,7434,11892,16728,3999,8073,12072,28240,6866,17054,23920,16538,4617,8134,12751,16671,4694,7957,12651,28406,8074,15001,23075,16717,5030,6272,11302,,,,,,,,
18,Assam,10180506,38890,67239,10060129,10210212,44897,63104,10080001,178312,58959,99087,158046,10210489,44028,63921,10070949,10230451,42726,66688,10090414,10820601,55272,10110492,10660764,10240689,48331,63860,10120191,10270177,49587,62854,10120441,10850152,71196,92140,10630336,10270611,52547,51183,10030730,,,,,,,,
19,West Bengal,30640360,10870202,10520113,30390315,30680904,10940722,10490276,30430998,633580,319985,20680854,588839,30700844,10970269,10480675,30450944,30750522,10950431,10540893,30500324,60430156,30010447,30110917,60130364,30780725,20090739,10470114,30560853,30820864,20120633,10470699,30600332,60530033,30610017,20500267,60110284,30930378,225791,10240015,30490806,,,,,,,,
