Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
17,Meghalaya,11348,3870,2202,6072,12288,4033,2483,6516,20216,9204,5877,15081,13942,4159,3108,7267,13671,3801,3593,7394,22408,7745,8823,16568,13544,1254,6267,7521,13664,1434,6082,7516,23182,2495,14141,16636,13582,1295,6283,7578,13478,1509,6035,7544,23703,2644,13999,16643
18,Assam,82961,27172,14643,41815,85929,26951,15651,42602,136177,55065,47127,10020192,89310,25224,18966,44190,88186,22581,22170,44751,144015,39416,68244,10070660,86986,8758,36854,45612,86985,10606,35188,45794,150627,16042,93822,10090864,85745,10697,35699,46396,85438,10403,36148,46551,157244,13368,98258,10110626
19,West Bengal,219583,119835,29367,10490202,233184,119084,31936,10510020,511502,329629,10220492,40520121,239310,112841,41705,10540546,235824,104078,51923,10560001,536002,255773,20150898,40710671,231591,44868,10130709,10580577,231682,56001,10030331,10590332,558638,89410,30950508,40840918,229686,57567,10040606,10620173,227810,56664,10060232,10620896,582519,80982,40140803,40950785
20,Jharkhand,63614,32938,10452,43390,66074,32737,11396,44133,127212,72615,36918,10090533,67228,30793,14370,45163,66395,28032,17502,45534,133208,53025,61109,10140134,65284,10409,36001,46410,65226,13652,32999,46651,139370,22352,95750,10180102,64786,13888,33570,47458,64329,13043,34549,47592,146064,16747,10040451,10210198
21,Odisha,94847,38787,14377,53164,100711,38554,15564,54118,200801,99516,61691,10610207,104405,36441,19336,55777,103393,33453,22968,56421,214949,77291,92948,10700239,102459,13633,44098,57731,101956,15669,42431,58100,223141,26453,10490375,10750828,91341,15847,43712,59559,85107,15277,44446,59723,218115,24850,10540364,10790214
22,Chattisgarh,50487,23163,9194,32357,53177,22959,9729,32688,98284,50398,34526,84924,50949,21181,12074,33255,49380,19103,14282,33385,101382,35766,52271,88037,47462,6045,27867,33912,45806,9865,24095,33960,101564,15012,74584,89596,42627,10109,24137,34246,42175,9521,24784,34305,102281,11481,79385,90866
23,Madhya Pradesh,136612,73253,18331,91584,144590,72854,19520,92374,322204,194831,92171,20870002,141043,67073,26598,93671,135990,60514,33702,94216,328946,133295,10640195,20970490,131546,20376,75128,95504,128868,31991,63617,95608,335747,52220,20530290,30050510,125246,32976,63622,96598,123206,31273,65464,96737,346732,38372,20730614,30110986
24,Gujrat,313968,205173,21890,20270063,329706,205298,23491,20280789,801034,590811,10440864,70350675,331018,197432,34200,20310632,322207,186044,46739,20320783,823883,459825,20980331,70580156,309633,69513,10650639,20350152,305879,118867,10160651,20350518,838229,199945,50750320,70750265,298136,129332,10070878,20370210,294597,125528,10120036,20370564,864165,154965,60350699,70900664
25,Daman and Diu,3464,2391,218,2609,3499,2388,244,2632,5679,4130,1109,5239,3478,2324,327,2651,3417,2208,454,2662,5864,3173,2197,5370,3349,1094,1593,2687,3316,1437,1248,2685,5942,1951,3487,5438,3223,1592,1111,2703,3160,1579,1121,2700,6007,1789,3669,5458
26,Dadra and Nagar Haveli,4230,2848,259,3107,4313,2847,289,3136,7494,5470,1393,6863,4311,2770,399,3169,4259,2616,578,3194,7783,4209,2856,7065,4228,1282,1962,3244,4178,1724,1541,3265,7963,2295,4949,7244,4015,1842,1440,3282,3897,1843,1441,3284,8172,2141,5185,7326
27,Maharastra,555732,266147,56457,30220604,576385,264439,60774,30250213,1291465,799592,30240154,110230746,567427,249445,80278,30290723,554725,229068,10020214,30310282,1322160,570816,50830943,110540759,528657,97280,20380406,30350686,520551,148576,10870544,30360120,1349417,218297,90610426,110790723,479560,157879,10820001,30390880,474262,155444,10850304,30400748,1384075,195579,100020458,110980037
29,Karnataka,424107,251824,65154,30160978,438161,250719,70213,30200932,650458,386315,10540418,50400733,451955,240793,88160,30280953,454656,223565,10080948,30320513,682420,302906,20610333,50640239,455096,87752,20520056,30390808,455153,111740,20290490,30410230,700400,151245,40310571,50820816,439004,121830,20260260,30480090,433985,116454,20330539,30490993,706472,138732,40570695,50960427
