Code,State,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
1,Jammu and Kashmir,54507,5487,45904,51391,53973,6160,45491,51651,85686,23258,58183,81441,56418,18771,35187,53958,59030,19710,36164,55874,93037,37652,49628,87280,60457,23955,32888,56843,62407,43685,14902,58587,99346,39266,53386,92652,63719,28448,31096,59544,65133,29040,31684,60724,10040274,37723,58118,95841
2,Himachal Pradesh,44420,6731,34924,41655,44517,6257,35658,41915,92010,34295,53764,88059,44191,20596,20515,41111,44492,22958,19117,42075,93894,45966,44319,90285,43295,22633,18446,41079,43932,35110,6793,41903,95802,46918,45400,92318,43808,25368,16000,41368,44164,26733,15383,42116,97423,45441,48016,93457
3,Punjab,160461,33698,10140763,10480461,161190,25488,10240432,10490920,320319,198571,10080351,30060922,10590828,10050723,42922,10480645,10620180,10110006,40352,10510358,30270297,226424,85325,30110749,10600729,10110819,37389,10490208,10620572,10350556,15770,10510326,30330129,217555,97924,30150479,10610987,10180479,31852,10500331,10630270,10210927,30470,10520397,30360608,228647,90030,30180677
4,Chandigarh,15343,3414,11639,15053,15350,2883,12222,15105,26465,15581,10557,26138,15442,10582,4520,15102,15635,11150,4146,15296,26938,18856,7588,26444,15617,11092,4120,15212,15676,13684,1640,15324,27141,18974,7678,26652,15761,12110,3309,15419,15831,12366,3169,15535,27469,19398,7406,26804
5,Uttarakhand,78917,8578,63423,72001,78856,9730,62282,72012,139510,46993,83183,10300176,78838,32096,39830,71926,80553,35632,38017,73649,10440082,68685,65495,10340180,79635,36874,35943,72817,81274,59053,15341,74394,10480266,70573,67276,10370849,81291,43366,31212,74578,82359,44923,30884,75807,10510377,70019,69949,10390968
6,Haryana,255914,33110,20020780,20350890,256165,40790,10950219,20360009,440788,219466,10970906,40170372,20560617,10450390,93471,20380861,20630426,10570088,86672,20430760,40540446,288431,10400848,40290279,20610808,10600809,81070,20410879,20650773,20120462,33248,20450710,40640263,292029,10460633,40380662,20640802,10810626,65647,20470273,20670720,10880681,63357,20520038,40690904,301898,10440988,40460886
7,Delhi,406536,48183,30180156,30660339,404491,53992,30100667,30640659,718779,376101,20940925,60710026,40030668,20290701,10380715,30680416,40060853,20440750,10310058,30750808,70220282,493260,10940463,60870723,30970671,20570910,10150246,30730156,40000740,30320280,46965,30790245,70300568,500837,10960495,60970332,40020711,20810921,94913,30760834,40020569,20900209,92367,30820576,70360680,510199,10930063,70030262
8,Rajasthan,263923,29616,20240788,20540404,264168,34587,20210085,20550672,591219,253947,30210633,50750580,20610213,10330794,10180606,20520400,20690820,10470729,10130699,20610428,60130565,358951,20350949,50940900,20630808,10520312,10010757,20540069,20700212,20160552,45040,20610592,60330137,359003,20500771,60090774,20700996,10770207,82809,20600016,20770009,10890795,79593,20690388,60510560,364612,20600066,60240678
9,Uttar Pradesh,768494,65913,60470213,70130126,766983,91369,60210416,70120785,1193073,401099,70300471,110310570,70750495,30200714,40080473,70290187,70890854,30580126,30860089,70440215,120450422,606074,50610919,110670993,70940310,30620359,30830513,70450872,80070429,60230740,10370323,70610063,120850494,608190,50950203,120030393,80200095,40240068,30440035,70680103,80290968,40440953,30340814,70790767,130190511,603674,60190636,120230310
10,Bihar,245454,15894,10850803,20010697,247965,18683,10830584,20020267,387570,77565,20560394,30330959,20540467,58512,10550541,20140053,20630449,67065,10590495,20260560,40180128,140888,20260302,30670190,20590213,58106,10590371,20170477,20620802,10610774,59540,20210314,40370396,127083,20470880,30740963,20650429,81804,10400914,20220718,20720122,90050,10380348,20280398,40560786,120448,20640965,30850413
11,Sikkim,5479,758,3760,4518,5462,561,3933,4494,8047,1687,5180,6867,5619,1644,2872,4516,5711,1905,2641,4546,8314,3348,3686,7034,5709,1691,2840,4531,5805,3510,1180,4690,8632,2939,4467,7406,5837,2235,2415,4650,5912,2252,2519,4771,8941,2866,4741,7607
