STATE CD,STATE,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
20,Jharkhand,82880,64366,11585,75951,43355,32023,3802,35825,100685,73455,17200,90655,44777,33711,4478,38189,45978,34322,5068,39390,108087,76636,20766,97402,47997,33695,6768,40463,48997,33138,7890,41028,117217,73740,29575,103315,,,,,,,,,,,,
21,Odisha,139875,96806,25667,122473,57678,36623,6551,43174,162133,104518,34433,138951,59901,37458,7529,44987,61437,37903,8403,46306,168723,104201,38811,143012,64080,37265,9802,47067,65194,36922,10654,47576,183516,102084,49641,151725,,,,,,,,,,,,
22,Chattisgarh,83399,56262,15999,72261,37862,25395,3710,29105,93983,60376,20468,80844,36736,25596,4297,29893,37342,25655,4897,30552,90937,57652,21642,79294,37890,24703,5799,30502,37957,24210,6383,30593,94349,54166,27158,81324,,,,,,,,,,,,
23,Madhya Pradesh,257308,197192,43269,240461,94897,73169,6958,80127,290350,212157,53125,265282,95518,73937,8194,82131,97097,74302,9217,83519,286853,205783,55811,261594,99962,72633,11368,84001,100963,71679,12665,84344,304929,201758,71713,273471,,,,,,,,,,,,
24,Gujrat,564539,471922,68052,539974,224696,196120,8240,204360,682019,561269,94241,655510,225967,202803,9634,212437,228262,204605,11544,216149,698869,577834,100049,677883,232401,204839,13573,218412,234200,204768,14632,219400,733311,589784,118018,707802,,,,,,,,,,,,
25,Daman and Diu,4349,3701,496,4197,2512,2230,109,2339,5056,4154,659,4813,2614,2318,118,2436,2634,2329,142,2471,5254,4240,751,4991,2675,2350,137,2487,2694,2353,144,2497,5460,4285,864,5149,,,,,,,,,,,,
26,Dadra and Nagar Haveli,5291,4544,515,5059,3208,2837,99,2936,6403,5319,735,6054,3324,2943,113,3056,3388,2978,136,3114,6809,5529,859,6388,3462,2985,186,3171,3496,2990,199,3189,7150,5654,1007,6661,,,,,,,,,,,,
27,Maharastra,914892,719136,144327,863463,336894,274069,22658,296727,1060520,813583,189632,1003215,338572,281860,26252,308112,341709,283207,29831,313038,1094504,831309,210347,1041656,348478,280404,35695,316099,352081,279040,38738,317778,1148243,833059,252974,1086033,,,,,,,,,,,,
29,Karnataka,503407,384319,75206,459525,312358,244243,31737,275980,553919,400740,92726,493466,318679,248455,34926,283381,324721,250616,38251,288867,556414,397527,101033,498560,333690,246359,46664,293023,339216,244436,51523,295959,590015,389982,129699,519681,,,,,,,,,,,,
30,Goa,22196,18039,2424,20463,10774,8605,954,9559,25339,20038,3425,23463,11292,8877,1107,9984,11570,8962,1287,10249,26231,19986,4210,24196,11769,8863,1462,10325,11924,8797,1627,10424,27578,19628,5517,25145,,,,,,,,,,,,
31,Lakshadweep,90,44,21,65,152,51,16,67,258,96,55,151,176,64,19,83,179,64,21,85,253,98,56,154,185,58,27,85,187,52,30,82,265,82,74,156,,,,,,,,,,,,
32,Kerala,215930,179651,27471,207122,127093,107843,11559,119402,233233,187432,34698,222130,127401,108168,13119,121287,129531,108962,14595,123557,234754,184822,39248,224070,132146,107858,17414,125272,133611,107297,19087,126384,245761,182504,50515,233019,,,,,,,,,,,,
33,Tamil Nadu,624866,493847,73835,567682,436886,345177,34439,379616,700632,523129,99706,622835,444591,351203,38541,389744,452148,354149,42254,396403,712131,523313,110370,633683,463481,350079,51556,401635,472374,350056,56699,406755,750910,520158,136773,656931,,,,,,,,,,,,
34,Puducherry,14080,10983,2009,12992,9277,7407,998,8405,15568,11649,2573,14222,9544,7581,1090,8671,9607,7627,1162,8789,15975,11786,2892,14678,9858,7544,1437,8981,10005,7548,1565,9113,16887,11754,3591,15345,,,,,,,,,,,,
35,Andaman and Nicobar Island,2489,1384,512,1896,2208,1088,387,1475,3908,1809,1020,2829,2368,1130,473,1603,2430,1130,524,1654,4016,1767,1166,2933,2484,1091,577,1668,2518,1074,599,1673,4246,1646,1402,3048,,,,,,,,,,,,
36,Telangana,201614,154366,24532,178898,142285,105888,13519,119407,234895,168714,34561,203275,144948,108893,15425,124318,148881,110096,17296,127392,241225,168267,40639,208906,154073,108737,21057,129794,157538,108308,23381,131689,259182,165472,54666,220138,,,,,,,,,,,,
37,Andhra Pradesh,198028,149926,26415,176341,129603,100118,10225,110343,216950,158358,33351,191709,129192,102060,11576,113636,132744,103504,13010,116514,215764,157114,35866,192980,134716,102518,15628,118146,136843,102169,17247,119416,226630,155869,45259,201128,,,,,,,,,,,,
38,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
97,Other Territory,0,0,0,0,20,18,1,19,25,22,1,23,29,26,1,27,32,28,2,30,36,32,1,33,40,36,1,37,45,39,1,40,49,41,1,42,,,,,,,,,,,,
