State,Code,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed,No. of Tax Payers eligible to File,No. Tax Payers filed by Due Date,No. of Tax Payers filed after due date,Total Returns Filed
16,Tripura,24087,4780,2911,7691,21666,4280,3429,7709,24301,7312,13008,20320,13258,1425,6473,7898,12920,1848,6144,7992,25352,10474,10462,20936,12221,2399,5768,8167,12022,2504,5800,8304,25839,14984,6641,21625,15840,4963,7210,12173,15498,5490,6842,12332,25465,9462,12798,22260
17,Meghalaya,26552,4099,3383,7482,23466,3759,3740,7499,25760,6871,10100,16971,16534,1347,6201,7548,16064,1476,6133,7609,25659,8368,8859,17227,15065,1776,6018,7794,14868,1769,6061,7830,26317,10570,7178,17748,16878,2621,7420,10041,16511,2917,7108,10025,25358,5747,12337,18084
18,Assam,145399,26119,26675,52794,133004,22498,30320,52818,146684,31598,88455,10200053,100364,6431,47660,54091,96252,9331,45436,54767,156081,54878,69512,10240390,90207,13154,42651,55805,89207,13453,43098,56551,161396,78978,50944,10290922,108391,24068,56572,80640,101826,27000,55502,82502,10550251,43223,91081,10340304
19,West Bengal,609898,119273,70677,10890950,562058,109558,80101,10890659,606073,198499,30150115,50130614,322040,36589,10550283,10910872,307068,44174,10480336,10920510,616763,283870,20350257,50190127,279354,62903,10310402,10940305,276143,67198,10290028,10960226,625592,377312,10530019,50300331,329857,100403,10520512,20520915,323426,117872,10380803,20560675,60190161,20660712,20760837,50430549
20,Jharkhand,143166,35601,22050,57651,131410,32828,24890,57718,144577,49840,79325,10290165,86442,9910,49010,58920,83687,12954,46483,59437,153397,71992,61288,10330280,79643,16755,43814,60569,78780,17356,44053,61409,155521,97125,40880,10380005,96040,31772,51386,83158,92820,36180,48398,84578,10530057,59772,83223,10420995
21,Odisha,222344,46898,29933,76831,196739,42206,34896,77102,227236,65229,10300472,10950701,127114,11999,66781,78780,123894,15442,63896,79338,242455,104079,97474,20010553,117700,20638,60710,81348,115490,21060,61443,82503,248265,137989,72487,20100476,136681,32187,77379,10090566,130520,36811,75522,10120333,20450647,80693,10390075,20190768
22,Chattisgarh,106663,25514,16052,41566,97781,23348,18297,41645,107995,33529,63775,97304,65023,7601,34938,42539,62560,9816,33015,42831,113499,48332,52035,10000367,58990,12201,31191,43392,57896,13052,30664,43716,115872,66695,36998,10030693,66185,19722,36774,56496,65739,22569,36175,58744,10160311,32780,75296,10080076
23,Madhya Pradesh,350378,75653,36579,10120232,322626,70023,42460,10120483,353115,130254,10980076,30280330,166950,23842,90546,10140388,161498,29126,85832,10140958,374326,178043,10590167,30370210,155463,33782,83179,10160961,151258,35328,82558,10170886,378853,236864,10100329,30470193,171744,56135,95323,10510458,169380,63462,92190,10550652,30780386,10090678,20460734,30560412
24,Gujrat,891331,237558,57011,20940569,840037,229871,65015,20940886,888717,506474,30300122,80360596,410545,107856,10910100,20980956,395753,138031,10620841,30000872,919225,645871,20160059,80610930,374721,165152,10390746,30040898,367134,165581,10410573,30070154,933808,779825,10090880,80890705,471208,287241,10470234,40340475,469534,313855,10320593,40460448,90350950,60450743,20690087,90140830
25,Daman and Diu,5835,2407,602,3009,5437,2317,679,2996,5809,3273,2008,5281,3881,1288,3466,4754,0,0,0,466,0,0,0,395,0,0,0,136,0,0,0,124,0,0,0,85,0,0,0,85,0,0,0,81,0,0,0,0
