State Code,State Name,Year,Month,Intra_State_No_Of_Suppliers,Intra_State_No_Of_Eway_Bills,Intra_State_Asset_Value_Rs._In_Cr,Inter_State_Outward_No_Of_Suppliers,Inter_State_Outward_No_Of_Eway_Bills,Inter_State_Outward_Asset_Value_Rs_ In_Cr,Inter_State_Inward_No_Of_Suppliers,Inter_State_Inward_No_Of_Eway_Bills,Inter_State_Inward_Asset_Value_Rs._In_Cr
26, DADRA AND NAGAR HAVELI,2018,8,1053,51137,18092714138,1860,270332,104000000000,2741,115887,92056709888
27, MAHARASHTRA,2018,8,105785,4636944,1123978293270,96381,3074382,1070000000000,172789,2301298,1030000000000
29, KARNATAKA,2018,8,71587,2748567,546029909337,40833,1270260,449000000000,90358,1471131,512000000000
30, GOA,2018,8,1245,66036,10767946440,1405,61587,43705513322,6691,104332,36418497737
31, LAKSHADWEEP,2018,8,0,0,0,1,3,321936,31,252,38981116
32, KERALA,2018,8,25449,771061,135242935190,10893,134186,58431894002,45745,615261,158000000000
33, TAMIL NADU,2018,8,57557,2908261,624284517811,59722,1650147,650000000000,96604,1511263,628000000000
34, PUDUCHERRY,2018,8,752,29211,11110952183,1604,105525,31944909319,4323,87491,28066813739
35, ANDAMAN AND NICOBAR,2018,8,13,285,90247788,62,231,271768061,918,8206,1784248409
36, TELANGANA,2018,8,22355,972673,213611624098,23508,474219,215000000000,51607,783774,296000000000
37, ANDHRA PRADESH,2018,8,27138,1089732,196767254225,18129,389635,264000000000,61724,735434,290000000000
1, JAMMU AND KASHMIR,2018,9,3484,130396,23878475548,2114,30149,22152968391,16962,186069,52405393485
2, HIMACHAL PRADESH,2018,9,5818,205533,39621345103,4524,259345,107000000000,19633,282299,83295978307
3, PUNJAB,2018,9,48931,1257940,294729058880,44721,897349,236000000000,58855,748180,242000000000
4, CHANDIGARH,2018,9,1964,25148,4091301477,4721,75076,13615892188,7836,107479,23143462878
5, UTTARAKHAND,2018,9,9163,554705,100807561252,6609,337364,179000000000,20947,448317,130000000000
6, HARYANA,2018,9,53485,2370829,442002919326,49215,1957937,571000000000,81029,1451675,552000000000
7, DELHI,2018,9,48421,764179,261336103631,113149,1614694,380000000000,106193,1322074,441000000000
