State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
9,UTTAR PRADESH,2022,2,"125,450","3,545,944","8,284,476.76","83,393","1,592,707","6,741,602.91","187,886","2,484,071","8,597,290.88"
10,BIHAR,2022,2,"8,244","478,336","1,038,370.48","8,012","94,812","385,418.12","58,318","704,133","1,761,483.15"
11,SIKKIM,2022,2,149,"6,227","11,592.33",195,"6,975","283,132.73","1,796","33,645","109,159.85"
12,ARUNACHAL PRADESH,2022,2,189,"2,972","6,375.81",228,"1,594","11,210.06","3,169","33,721","76,621.87"
13,NAGALAND,2022,2,151,"2,315","7,635.59",308,"7,567","16,001.09","2,607","31,901","60,569.76"
14,MANIPUR,2022,2,107,"4,057","11,113.09",131,695,"5,220.37","2,771","39,843","89,914.52"
15,MIZORAM,2022,2,62,"1,355","2,669.03",83,374,"1,803.44","2,037","30,810","55,112.23"
16,TRIPURA,2022,2,"1,493","37,638","72,241.49",445,"2,673","26,591.35","4,503","39,527","103,706.27"
17,MEGHALAYA,2022,2,434,"18,810","37,974.13",494,"40,812","89,559.44","3,750","48,959","111,803.99"
18,ASSAM,2022,2,"12,502","484,466","925,382.02","10,102","201,336","656,478.22","26,223","364,010","1,169,613.05"
19,WEST BENGAL,2022,2,"44,903","1,760,721","4,982,677.80","40,393","833,104","3,773,732.52","64,560","1,146,332","4,553,570.48"
20,JHARKHAND,2022,2,"10,309","563,830","1,395,883.40","8,272","241,605","1,728,127.61","27,016","446,264","1,671,286.88"
21,ODISHA,2022,2,"15,656","927,519","2,222,734.73","6,666","260,894","2,893,422.30","33,205","426,581","1,940,992.33"
22,CHHATTISGARH,2022,2,"5,890","256,618","919,427.84","8,304","170,192","1,766,332.69","24,955","427,029","1,579,017.49"
23,MADHYA PRADESH,2022,2,"24,924","803,487","1,848,689.24","21,669","455,875","2,504,568.89","72,436","933,122","3,225,743.31"
24,GUJARAT,2022,2,"153,697","4,189,220","13,707,386.33","135,496","4,088,781","12,821,823.10","136,548","1,816,110","9,449,517.15"
25,DAMAN AND DIU,2022,2, -   , -   , -   , -   , -   , -   ,19,60,208.68
26,DADRA AND NAGAR HAVELI,2022,2,"2,888","121,498","524,822.06","3,828","441,253","1,873,006.81","5,454","186,201","1,485,547.49"
27,MAHARASHTRA,2022,2,"143,300","6,525,062","17,239,127.17","113,121","3,922,372","14,560,912.36","199,654","2,837,185","13,515,957.00"
29,KARNATAKA,2022,2,"103,557","4,176,482","7,802,778.43","51,243","1,948,993","6,455,353.78","112,434","1,787,925","6,946,054.59"
30,GOA,2022,2,"1,829","89,063","158,240.75","1,674","62,805","449,628.00","7,435","110,786","1,117,273.51"
31,LAKSHADWEEP,2022,2, -   , -   , -   , -   , -   , -   ,39,350,462.78
32,KERALA,2022,2,"42,921","1,566,984","2,269,885.67","15,553","177,525","902,756.25","54,158","630,950","2,006,042.80"
33,TAMIL NADU,2022,2,"92,213","4,529,966","9,621,380.78","70,258","2,180,737","8,044,640.59","111,860","1,841,028","8,158,106.28"
34,PUDUCHERRY,2022,2,"1,044","39,518","190,191.56","1,921","104,970","388,378.85","5,437","103,318","332,129.24"
35,ANDAMAN AND NICOBAR,2022,2,33,"1,616","2,112.75",65,280,"4,085.35",994,"10,161","24,817.68"
36,TELANGANA,2022,2,"45,167","2,091,062","3,912,040.87","33,047","731,040","3,382,480.17","62,733","1,162,876","4,080,012.96"
37,ANDHRA PRADESH,2022,2,"35,362","1,630,258","2,987,946.00","21,759","456,096","3,997,903.33","69,960","893,442","3,761,087.65"
38,LADAKH,2022,2,30,216,804.5,14,20,55.17,207,"1,027","3,424.72"
97,Other Territory,2022,2,7,72,"2,507.93",32,"2,326","63,145.40",247,"10,104","214,796.46"
1,JAMMU AND KASHMIR,2022,1,"5,346","154,213","281,941.71","2,478","31,900","225,546.28","16,821","156,055","535,102.42"
