State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
4,CHANDIGARH,2021,10,"2,280","32,068",500.64,"5,142","90,592","1,805.22","8,427","121,673","2,496.20"
5,UTTARAKHAND,2021,10,"12,506","638,026","10,995.42","8,668","357,968","18,598.16","27,015","406,557","11,738.45"
6,HARYANA,2021,10,"71,701","2,834,185","59,571.84","63,727","3,533,187","78,453.04","96,387","1,534,744","59,131.02"
7,DELHI,2021,10,"69,390","1,078,026","38,564.16","127,272","1,926,991","49,799.17","112,329","1,460,403","42,392.64"
8,RAJASTHAN,2021,10,"65,044","1,591,345","41,921.41","51,728","1,571,296","41,748.03","68,364","810,221","31,921.88"
9,UTTAR PRADESH,2021,10,"123,952","3,913,517","85,060.01","84,405","1,723,505","70,149.21","168,420","1,923,172","69,268.76"
10,BIHAR,2021,10,"7,388","454,545","9,588.71","6,908","77,636","3,274.02","50,593","466,418","12,928.34"
11,SIKKIM,2021,10,127,"3,563",68.86,163,"5,916","2,375.10","1,661","23,528",679.65
12,ARUNACHAL PRADESH,2021,10,143,"2,184",44.76,240,"1,877",146.15,"2,968","32,227",626.16
13,NAGALAND,2021,10,124,"1,875",59.13,269,"3,727",121.21,"2,592","31,383",541.82
14,MANIPUR,2021,10,78,"4,331",82.69,108,590,19.69,"2,762","44,207",791.98
15,MIZORAM,2021,10,62,932,19.43,63,309,13.63,"1,855","28,145",467.89
16,TRIPURA,2021,10,"1,336","30,718",732.24,405,"2,632",307.36,"3,887","33,268",767.37
17,MEGHALAYA,2021,10,349,"12,193",273.82,425,"28,920",646.2,"3,477","41,528",861.6
18,ASSAM,2021,10,"11,763","467,495","8,748.85","9,615","209,537","7,077.95","23,110","255,188","7,793.99"
19,WEST BENGAL,2021,10,"40,299","1,610,370","45,399.23","38,720","868,082","36,193.71","45,888","594,266","29,728.61"
20,JHARKHAND,2021,10,"9,360","536,456","13,319.25","7,325","214,995","15,665.97","23,883","281,398","10,970.11"
21,ODISHA,2021,10,"14,511","869,673","20,269.39","6,205","228,051","26,539.70","27,329","278,420","12,591.17"
22,CHHATTISGARH,2021,10,"5,523","221,704","8,593.11","7,819","150,313","16,217.75","17,782","225,523","10,088.82"
23,MADHYA PRADESH,2021,10,56,"6,138",29.23,"1,134","11,308",495.92,"51,142","457,220","15,539.39"
24,GUJARAT,2021,10,114,"9,427",52.87,"6,763","25,825",681.53,"84,097","799,903","31,230.27"
25,DAMAN AND DIU,2021,10, -   , -   , -   , -   , -   , -   ,10,22,0.38
26,DADRA AND NAGAR HAVELI,2021,10,1,1,0.01,192,666,13.09,"1,487","16,749","1,420.63"
27,MAHARASHTRA,2021,10,349,"44,085",247.88,"6,572","66,051","1,455.79","120,621","1,515,661","54,596.90"
29,KARNATAKA,2021,10,"98,136","4,108,703","75,330.65","49,998","2,119,615","65,248.21","58,626","762,042","38,640.10"
30,GOA,2021,10,"1,805","92,711","1,469.77","1,622","67,254","4,867.61","4,442","47,378","6,198.74"
31,LAKSHADWEEP,2021,10, -   , -   , -   ,1,1,0,7,77,7.65
32,KERALA,2021,10,10,873,7.45,355,"2,143",54.94,"26,811","249,302","7,685.58"
33,TAMIL NADU,2021,10,132,"12,288",73.38,"3,948","21,201",784.58,"78,560","1,110,182","33,556.15"
34,PUDUCHERRY,2021,10,1,1,0.01,43,171,5.94,"1,928","20,528",610.61
35,ANDAMAN AND NICOBAR,2021,10,30,778,16.8,59,246,29.51,550,"3,959",101.92
36,TELANGANA,2021,10,"40,897","2,016,587","37,879.83","31,300","735,279","31,325.23","44,151","598,924","29,186.10"
37,ANDHRA PRADESH,2021,10,"32,761","1,642,252","29,858.89","21,152","441,339","36,140.13","56,071","565,860","24,514.19"
38,LADAKH,2021,10,31,748,21.59,57,338,20.03,"1,342","13,362",388.65
97,Other Territory,2021,10, -   , -   , -   ,6,605,279.67,191,"4,730",651.32
1,JAMMU AND KASHMIR,2021,9,"5,404","203,446","3,199.13","3,266","40,852","2,646.09","19,535","233,276","6,488.68"
2,HIMACHAL PRADESH,2021,9,"8,159","291,231","6,032.12","5,303","292,209","12,983.07","22,603","343,290","11,163.88"
3,PUNJAB,2021,9,"64,323","1,757,060","42,600.70","50,693","1,106,372","31,533.81","68,955","967,816","31,236.08"
4,CHANDIGARH,2021,9,"2,178","29,135",456.14,"4,953","84,421","1,652.34","8,356","128,179","2,842.27"
5,UTTARAKHAND,2021,9,"12,022","611,143","10,126.54","8,452","354,689","17,771.36","26,215","479,162","14,619.24"
6,HARYANA,2021,9,"69,204","2,570,888","53,616.92","61,724","3,351,377","72,990.27","99,343","2,018,327","74,883.51"
7,DELHI,2021,9,"67,808","1,000,602","36,709.15","125,700","1,795,266","46,965.43","122,982","1,826,010","53,024.12"
8,RAJASTHAN,2021,9,"61,458","1,387,494","36,272.89","50,279","1,382,992","38,225.55","97,471","1,323,777","51,035.48"
9,UTTAR PRADESH,2021,9,"117,313","3,417,451","76,221.13","81,555","1,595,130","68,298.13","184,886","2,626,922","82,554.09"
10,BIHAR,2021,9,"7,280","449,083","8,976.42","7,215","77,174","3,176.24","55,968","755,464","17,270.30"
11,SIKKIM,2021,9,148,"4,329",120.52,190,"7,205","2,862.57","1,824","33,765",967.59
12,ARUNACHAL PRADESH,2021,9,151,"2,182",46.57,234,"1,825",121.02,"3,029","33,893",612.61
13,NAGALAND,2021,9,98,"1,632",61.84,262,"3,185",105.57,"2,606","33,309",569.51
14,MANIPUR,2021,9,71,"3,564",75.29,109,441,21.93,"2,768","45,196",824.85
15,MIZORAM,2021,9,62,931,18.79,61,333,27.92,"1,845","27,899",466.05
16,TRIPURA,2021,9,"1,353","32,060",672.88,443,"2,603",314.36,"4,632","43,625",918.86
17,MEGHALAYA,2021,9,354,"12,944",276.1,437,"27,257",572.14,"3,554","42,253",868.37
18,ASSAM,2021,9,"11,808","470,561","8,642.42","9,853","210,939","7,384.80","26,301","372,000","11,079.83"
19,WEST BENGAL,2021,9,"42,352","1,698,601","46,779.42","39,951","869,600","36,406.28","63,969","1,342,535","45,683.34"
20,JHARKHAND,2021,9,"9,107","477,102","11,191.03","7,325","201,864","14,813.56","26,455","409,957","13,288.48"
21,ODISHA,2021,9,"14,270","766,578","18,341.75","6,074","188,855","24,513.70","31,382","411,738","16,982.60"
22,CHHATTISGARH,2021,9,"5,241","196,287","7,191.54","7,685","144,200","15,490.80","24,855","383,549","13,268.76"
23,MADHYA PRADESH,2021,9,"17,458","523,381","11,111.41","20,162","430,466","22,192.86","71,585","867,453","28,818.74"
24,GUJARAT,2021,9,"139,970","3,876,828","114,100.57","131,002","4,349,192","116,974.20","133,491","1,766,903","89,028.31"
25,DAMAN AND DIU,2021,9, -   , -   , -   ,3,6,0.07,10,76,1.35
26,DADRA AND NAGAR HAVELI,2021,9,"2,801","122,290","4,759.43","3,712","430,119","16,602.04","5,265","176,751","13,241.44"
27,MAHARASHTRA,2021,9,"131,370","5,989,949","152,467.29","108,716","4,176,599","142,733.06","196,529","2,865,495","138,242.02"
29,KARNATAKA,2021,9,"97,414","4,098,775","76,214.11","49,735","2,092,764","65,147.60","110,692","2,028,976","71,521.68"
30,GOA,2021,9,"1,731","80,038","1,298.21","1,625","64,404","4,650.01","6,929","104,339","3,925.96"
31,LAKSHADWEEP,2021,9, -   , -   , -   ,1,4,0.22,39,309,8.98
32,KERALA,2021,9,"39,554","1,443,856","21,618.73","14,802","179,485","8,874.93","51,846","617,813","18,623.41"
33,TAMIL NADU,2021,9,"86,412","4,385,589","90,513.99","69,324","2,290,813","87,071.63","116,214","2,223,044","80,169.03"
34,PUDUCHERRY,2021,9,970,"39,396","2,050.54","1,865","106,792","3,873.86","5,440","111,235","3,216.64"
35,ANDAMAN AND NICOBAR,2021,9,32,840,15.96,56,283,29.15,"1,053","10,676",227.98
36,TELANGANA,2021,9,"40,408","1,964,832","35,839.37","30,873","728,954","30,532.42","62,136","1,258,414","44,463.90"
37,ANDHRA PRADESH,2021,9,"31,872","1,578,577","28,627.96","20,771","422,702","33,404.29","70,268","895,023","36,639.74"
38,LADAKH,2021,9,37,788,19.54,50,303,23.29,"1,269","14,352",361.38
97,Other Territory,2021,9,4,83,23.37,22,"2,627",644.41,234,"10,437","1,811.77"
1,JAMMU AND KASHMIR,2021,8,"5,279","193,388","3,233.21","3,224","40,280","2,732.53","18,925","208,759","6,263.22"
2,HIMACHAL PRADESH,2021,8,"8,008","275,627","5,913.01","5,108","273,439","12,294.33","21,302","319,246","10,452.47"
3,PUNJAB,2021,8,"62,671","1,730,862","42,100.59","48,415","975,666","29,465.93","66,822","901,092","30,317.08"
4,CHANDIGARH,2021,8,"2,108","29,208",423.86,"4,917","80,517","1,578.26","8,137","120,712","2,633.77"
5,UTTARAKHAND,2021,8,"11,607","546,907","9,246.73","8,189","331,105","16,799.33","24,200","435,654","13,652.16"
6,HARYANA,2021,8,"67,030","2,540,049","51,582.22","60,403","3,050,391","69,793.76","96,474","1,900,989","67,765.60"
7,DELHI,2021,8,"64,629","922,959","32,910.10","120,168","1,577,714","42,319.60","118,340","1,610,009","46,869.90"
8,RAJASTHAN,2021,8,"61,706","1,394,129","36,419.52","49,251","1,321,064","37,807.09","95,580","1,242,097","50,537.87"
9,UTTAR PRADESH,2021,8,"112,525","3,270,577","73,635.24","78,314","1,435,791","61,406.14","173,527","2,242,040","78,726.17"
10,BIHAR,2021,8,"6,945","423,837","8,330.57","6,877","71,945","3,086.26","51,153","628,465","15,581.21"
11,SIKKIM,2021,8,127,"3,871",79.65,171,"6,650","2,789.38","1,604","28,475",918.58
12,ARUNACHAL PRADESH,2021,8,133,"1,919",38.54,205,"1,646",105.23,"2,811","29,782",561.89
13,NAGALAND,2021,8,103,"1,928",58.37,242,"2,617",100.37,"2,481","34,470",575.75
14,MANIPUR,2021,8,70,"3,630",61.24,91,544,35.39,"2,502","37,962",707.31
15,MIZORAM,2021,8,71,754,18.01,77,316,27.41,"1,695","25,125",436.5
16,TRIPURA,2021,8,"1,324","29,843",588.91,410,"2,452",263.76,"4,294","41,963",854.39
17,MEGHALAYA,2021,8,313,"9,543",199.77,407,"24,315",551.27,"3,146","35,242",803.92
18,ASSAM,2021,8,"11,606","445,563","8,370.32","9,306","200,225","7,032.58","23,589","292,795","9,658.88"
19,WEST BENGAL,2021,8,"41,799","1,686,656","45,583.53","39,227","792,136","35,675.79","61,989","1,235,531","42,780.24"
20,JHARKHAND,2021,8,"8,822","468,263","10,759.84","7,168","192,749","14,705.84","25,132","369,297","12,837.43"
21,ODISHA,2021,8,"14,554","814,266","19,850.01","6,116","220,426","26,800.81","31,932","397,051","16,600.42"
22,CHHATTISGARH,2021,8,"5,245","225,467","7,485.35","7,647","150,554","15,483.23","23,979","416,521","13,352.47"
23,MADHYA PRADESH,2021,8,"16,863","499,841","10,856.26","19,335","392,524","21,427.03","68,184","876,552","27,998.71"
24,GUJARAT,2021,8,"139,743","3,863,144","111,580.75","130,132","4,067,787","115,395.84","131,709","1,796,707","84,289.66"
25,DAMAN AND DIU,2021,8, -   , -   , -   ,2,9,1.07,17,97,1.34
26,DADRA AND NAGAR HAVELI,2021,8,"2,756","121,566","4,525.46","3,706","431,878","16,767.43","5,154","176,997","12,713.03"
27,MAHARASHTRA,2021,8,"130,584","6,099,041","152,346.02","107,203","3,799,156","137,860.51","193,890","2,744,936","128,329.47"
29,KARNATAKA,2021,8,"96,774","4,089,558","72,928.51","49,558","1,936,844","60,895.27","110,179","1,894,562","65,712.12"
30,GOA,2021,8,"1,788","87,686","1,481.95","1,628","67,388","4,920.94","7,051","116,120","4,367.91"
31,LAKSHADWEEP,2021,8,1,2,0.11,1,2,0.08,28,224,2.27
32,KERALA,2021,8,"39,422","1,508,376","22,707.38","14,282","169,328","8,174.60","52,063","640,984","19,275.07"
33,TAMIL NADU,2021,8,"85,426","4,427,840","88,904.85","69,897","2,267,021","79,919.64","112,188","1,898,826","74,394.16"
34,PUDUCHERRY,2021,8,996,"39,445","1,581.61","1,868","107,713","3,484.41","5,369","105,394","3,420.80"
35,ANDAMAN AND NICOBAR,2021,8,36,932,18.41,69,344,43.99,964,"9,867",199.88
36,TELANGANA,2021,8,"40,021","2,010,469","35,710.17","30,881","727,536","29,315.07","61,917","1,182,907","41,610.30"
37,ANDHRA PRADESH,2021,8,"31,969","1,565,861","28,576.59","20,690","425,020","33,463.88","71,282","936,578","34,307.87"
38,LADAKH,2021,8,38,785,18.15,37,273,11.42,"1,265","13,718",338.83
97,Other Territory,2021,8,4,103,408.02,26,"2,895",820.41,218,"9,895","2,051.25"
1,JAMMU AND KASHMIR,2021,7,"5,087","186,560","3,155.02","3,006","39,266","2,981.07","18,758","212,018","6,394.55"
2,HIMACHAL PRADESH,2021,7,"7,917","274,049","5,899.86","5,148","271,891","12,327.80","21,731","320,921","10,306.65"
3,PUNJAB,2021,7,"61,402","1,648,754","38,200.77","47,191","880,455","27,674.25","66,822","875,302","29,520.97"
4,CHANDIGARH,2021,7,"2,092","29,904",437.86,"4,875","80,671","1,576.79","8,004","118,515","2,655.41"
5,UTTARAKHAND,2021,7,"11,502","548,884","9,448.29","8,175","328,444","16,790.62","23,801","424,732","13,523.56"
6,HARYANA,2021,7,"66,135","2,728,976","53,522.60","59,537","3,003,009","69,317.95","95,550","1,927,953","66,373.57"
7,DELHI,2021,7,"63,721","911,390","33,658.03","118,624","1,513,522","41,330.44","116,516","1,499,490","46,249.49"
8,RAJASTHAN,2021,7,"62,396","1,455,864","36,179.04","49,254","1,259,815","36,921.06","96,431","1,212,097","47,926.74"
9,UTTAR PRADESH,2021,7,"110,556","3,311,305","71,859.97","76,643","1,364,841","59,363.58","171,275","2,034,961","74,342.06"
10,BIHAR,2021,7,"6,885","453,842","8,778.40","7,051","76,128","3,185.67","50,778","541,641","15,287.96"
11,SIKKIM,2021,7,133,"3,937",70.94,153,"6,173","2,739.07","1,566","27,483",975.18
12,ARUNACHAL PRADESH,2021,7,143,"1,973",38.4,192,"1,378",84.86,"2,679","28,476",611.92
13,NAGALAND,2021,7,97,"1,319",57.88,242,"1,967",91.83,"2,285","33,387",527.04
14,MANIPUR,2021,7,58,"2,414",40.76,86,443,31.14,"2,175","32,674",581.83
15,MIZORAM,2021,7,34,452,7.63,45,184,18.63,"1,540","22,239",352.73
16,TRIPURA,2021,7,"1,222","25,546",534.73,370,"2,157",329.83,"3,886","34,076",795.36
17,MEGHALAYA,2021,7,312,"9,911",207.08,418,"24,318",515.49,"3,085","34,927",799.05
18,ASSAM,2021,7,"10,764","385,822","7,368.46","8,851","190,912","6,766.23","20,829","249,674","8,566.72"
19,WEST BENGAL,2021,7,"40,453","1,603,174","43,428.66","37,524","722,674","34,236.39","58,726","1,154,602","41,913.00"
20,JHARKHAND,2021,7,"8,756","512,264","10,841.52","7,285","183,033","13,722.22","24,779","332,648","12,557.22"
21,ODISHA,2021,7,"14,399","818,876","20,385.51","5,979","234,241","26,898.32","30,952","384,203","16,270.09"
22,CHHATTISGARH,2021,7,"5,254","228,289","7,710.17","7,751","150,041","15,417.10","23,678","372,085","13,613.20"
23,MADHYA PRADESH,2021,7,"17,077","527,883","11,663.22","20,047","400,962","22,366.70","69,795","878,683","29,211.40"
24,GUJARAT,2021,7,"139,322","3,919,057","112,498.47","128,253","3,465,662","110,368.02","130,934","1,899,336","83,704.88"
25,DAMAN AND DIU,2021,7, -   , -   , -   ,3,5,0.04,11,85,1.37
26,DADRA AND NAGAR HAVELI,2021,7,"2,745","116,985","4,385.30","3,659","389,070","15,844.99","5,104","173,028","11,967.04"
27,MAHARASHTRA,2021,7,"125,142","5,723,161","143,452.93","103,861","3,604,279","133,612.18","186,615","2,604,255","122,236.02"
29,KARNATAKA,2021,7,"93,232","3,968,116","70,965.36","48,371","1,967,649","58,951.93","106,858","1,751,697","62,644.10"
30,GOA,2021,7,"1,646","73,140","1,516.02","1,509","59,832","4,407.93","6,440","100,099","3,757.57"
31,LAKSHADWEEP,2021,7, -   , -   , -   ,2,2,0.05,46,347,4.92
32,KERALA,2021,7,"37,282","1,285,586","20,040.99","13,731","165,568","8,919.87","49,628","570,769","17,641.92"
33,TAMIL NADU,2021,7,"82,530","4,358,184","87,268.75","68,184","2,349,192","77,746.20","109,606","1,715,172","72,117.64"
34,PUDUCHERRY,2021,7,959,"38,207","1,049.34","1,806","102,150","3,198.07","5,278","101,788","2,959.88"
35,ANDAMAN AND NICOBAR,2021,7,30,640,14.36,53,297,23.26,882,"7,691",183.89
36,TELANGANA,2021,7,"39,142","2,015,616","35,558.29","30,614","728,767","29,670.11","60,864","1,201,939","40,672.38"
37,ANDHRA PRADESH,2021,7,"31,553","1,570,930","28,071.85","20,511","429,532","34,433.40","70,061","908,946","33,326.87"
38,LADAKH,2021,7,31,474,14.3,30,318,11.14,"1,232","13,413",379.66
97,Other Territory,2021,7,4,122,39.41,21,"2,857",599.75,188,"10,049","1,910.55"
1,JAMMU AND KASHMIR,2021,6,"4,909","179,645","3,154","2,783","36,682","2,912","17,698","189,551","6,185"
2,HIMACHAL PRADESH,2021,6,"7,584","250,939","5,127","4,996","247,483","11,204","20,148","279,156","9,561"
3,PUNJAB,2021,6,"59,816","1,586,484","37,477","44,098","752,354","25,295","65,314","799,448","27,840"
4,CHANDIGARH,2021,6,"2,041","26,534",352,"4,705","72,964","1,464","7,639","101,442","2,391"
5,UTTARAKHAND,2021,6,"10,699","461,113","8,319","7,706","285,821","15,356","21,311","347,831","12,198"
6,HARYANA,2021,6,"63,670","2,546,109","48,372","56,809","2,541,092","61,892","92,681","1,713,913","59,101"
7,DELHI,2021,6,"57,230","770,466","29,953","109,934","1,311,575","37,568","108,014","1,234,486","41,329"
8,RAJASTHAN,2021,6,"59,212","1,299,581","32,822","46,057","1,080,138","32,946","87,164","945,530","38,800"
9,UTTAR PRADESH,2021,6,"106,754","3,112,843","65,719","71,281","1,168,945","52,005","164,584","1,880,724","66,165"
10,BIHAR,2021,6,"6,621","431,882","9,048","6,163","66,766","2,889","49,769","556,020","14,638"
11,SIKKIM,2021,6,121,"3,595",60,133,"5,470","2,690","1,353","24,773","1,049"
12,ARUNACHAL PRADESH,2021,6,125,"1,728",41,165,"1,149",79,"2,537","24,580",494
13,NAGALAND,2021,6,89,"1,037",51,185,"1,241",65,"1,995","24,852",449
14,MANIPUR,2021,6,53,"2,899",50,73,339,26,"2,032","30,617",560
15,MIZORAM,2021,6,26,514,13,55,179,23,"1,451","22,030",359
16,TRIPURA,2021,6,"1,139","23,474",491,321,"1,818",195,"3,509","27,227",697
17,MEGHALAYA,2021,6,258,"7,089",175,333,"22,150",503,"2,668","28,169",693
18,ASSAM,2021,6,"10,054","350,000","6,910","8,121","163,322","5,532","19,509","206,516","7,555"
19,WEST BENGAL,2021,6,"35,247","1,359,803","37,262","31,996","565,733","29,365","50,955","896,071","35,463"
20,JHARKHAND,2021,6,"8,230","409,406","9,869","6,606","167,759","13,077","23,068","289,555","11,913"
21,ODISHA,2021,6,"12,888","797,543","19,373","5,378","235,388","26,429","26,851","301,083","14,621"
22,CHHATTISGARH,2021,6,"5,250","244,195","8,424","7,400","150,642","15,132","22,435","324,320","13,626"
23,MADHYA PRADESH,2021,6,"15,972","482,641","11,042","18,670","369,791","20,218","64,843","707,165","26,283"
24,GUJARAT,2021,6,"133,036","3,582,032","104,331","120,295","2,802,738","101,168","120,122","1,553,922","80,006"
25,DAMAN AND DIU,2021,6, -   , -   , -   ,1,2,0,8,76,2
26,DADRA AND NAGAR HAVELI,2021,6,"2,623","101,314","4,059","3,582","324,517","14,072","4,999","157,264","11,276"
27,MAHARASHTRA,2021,6,"118,247","5,130,058","133,542","95,007","3,031,412","118,551","174,262","2,292,188","114,073"
29,KARNATAKA,2021,6,"76,837","2,972,698","55,794","39,621","1,449,486","51,168","86,562","1,217,330","53,159"
30,GOA,2021,6,"1,556","61,583","1,057","1,390","52,247","4,012","5,822","89,666","3,850"
31,LAKSHADWEEP,2021,6, -   , -   , -   ,2,2,0,24,221,5
32,KERALA,2021,6,"33,698","1,035,300","16,520","11,235","116,207","7,030","40,474","380,710","14,521"
33,TAMIL NADU,2021,6,"67,012","3,175,941","65,416","54,290","1,710,210","61,011","87,668","1,222,006","61,789"
34,PUDUCHERRY,2021,6,860,"30,519","1,337","1,649","82,947","3,188","4,634","78,212","2,702"
35,ANDAMAN AND NICOBAR,2021,6,20,427,16,30,89,14,605,"4,514",113
36,TELANGANA,2021,6,"36,315","1,743,132","32,062","28,152","639,601","29,421","54,897","1,007,823","36,225"
37,ANDHRA PRADESH,2021,6,"28,869","1,365,012","24,181","18,215","374,330","31,199","60,748","710,754","31,477"
38,LADAKH,2021,6,34,400,23,22,241,9,"1,078","11,400",404
97,Other Territory,2021,6,6,136,53,24,"2,355",740,180,"9,281","1,998"
1,JAMMU AND KASHMIR,2021,5,"3,664","117,635","2,445","2,056","28,256","2,552","12,446","106,195","4,660"
2,HIMACHAL PRADESH,2021,5,"6,749","203,926","4,540","4,313","220,040","10,144","14,915","211,825","8,729"
3,PUNJAB,2021,5,"55,508","1,281,716","31,569","34,986","520,950","21,145","53,199","616,083","23,614"
4,CHANDIGARH,2021,5,"1,689","17,892",248,"4,102","59,607","1,318","6,158","70,577","1,869"
5,UTTARAKHAND,2021,5,"8,866","308,178","6,788","6,249","220,109","12,465","15,394","261,182","10,392"
6,HARYANA,2021,5,"51,869","1,583,140","31,736","44,891","1,816,331","45,393","69,183","1,199,702","46,529"
7,DELHI,2021,5,"32,506","387,048","17,334","62,577","687,913","26,011","64,732","668,223","29,364"
8,RAJASTHAN,2021,5,"44,457","812,837","24,194","33,367","673,457","25,836","56,136","560,659","28,612"
9,UTTAR PRADESH,2021,5,"82,199","2,263,064","51,680","50,428","774,136","39,160","117,948","1,253,187","52,559"
10,BIHAR,2021,5,"5,525","340,056","7,222","4,410","48,623","2,503","40,063","407,577","12,185"
11,SIKKIM,2021,5,109,"3,149",52,122,"5,976","2,652","1,194","20,959","1,015"
12,ARUNACHAL PRADESH,2021,5,115,"1,445",31,164,908,64,"2,305","19,081",443
13,NAGALAND,2021,5,78,514,38,186,"1,253",55,"1,749","18,221",402
14,MANIPUR,2021,5,45,"2,452",55,66,437,23,"1,776","23,016",469
15,MIZORAM,2021,5,29,603,15,40,158,18,"1,200","15,390",268
16,TRIPURA,2021,5,"1,112","21,214",416,304,"1,669",182,"3,450","26,058",690
17,MEGHALAYA,2021,5,239,"5,110",138,319,"23,412",502,"2,149","21,311",658
18,ASSAM,2021,5,"9,824","322,694","6,299","7,499","127,497","4,683","17,395","179,198","7,806"
19,WEST BENGAL,2021,5,"30,788","1,122,686","30,810","26,548","400,754","24,486","41,604","680,784","30,487"
20,JHARKHAND,2021,5,"7,197","313,717","8,213","5,918","163,704","12,053","17,675","223,331","9,719"
21,ODISHA,2021,5,"11,548","719,429","17,871","4,382","209,684","23,542","22,585","235,521","12,074"
22,CHHATTISGARH,2021,5,"4,328","172,556","7,009","5,944","128,815","13,666","15,959","202,974","10,841"
23,MADHYA PRADESH,2021,5,"11,429","286,367","8,121","13,776","289,261","17,349","42,758","422,186","20,354"
24,GUJARAT,2021,5,"115,453","2,747,070","87,851","94,019","1,710,317","86,014","89,210","1,120,574","68,893"
25,DAMAN AND DIU,2021,5, -   , -   , -   ,3,6,0,5,94,1
26,DADRA AND NAGAR HAVELI,2021,5,"2,474","89,649","3,497","3,372","270,757","12,451","4,440","136,538","10,062"
27,MAHARASHTRA,2021,5,"104,073","4,047,626","113,584","78,729","2,379,551","100,939","132,656","1,657,229","102,017"
29,KARNATAKA,2021,5,"56,422","2,182,293","39,286","28,705","1,112,234","38,981","63,150","864,288","42,332"
30,GOA,2021,5,"1,330","45,458",958,"1,137","44,226","3,644","4,667","75,162","3,457"
31,LAKSHADWEEP,2021,5, -   , -   , -   ,1,1,0,18,159,3
32,KERALA,2021,5,"23,976","524,409","9,407","7,681","70,597","5,094","29,279","231,852","10,016"
33,TAMIL NADU,2021,5,"57,252","2,359,094","47,590","42,000","1,133,230","47,741","68,438","992,440","55,740"
34,PUDUCHERRY,2021,5,736,"22,681",760,"1,350","66,715","2,288","3,289","58,044","2,409"
35,ANDAMAN AND NICOBAR,2021,5,24,376,16,33,177,15,552,"3,608",98
36,TELANGANA,2021,5,"32,175","1,441,252","26,382","23,690","534,293","24,445","44,782","813,049","31,300"
37,ANDHRA PRADESH,2021,5,"26,511","1,063,148","20,839","15,346","311,599","27,904","49,596","558,416","26,511"
38,LADAKH,2021,5,27,420,17,19,156,4,774,"7,816",250
97,Other Territory,2021,5,8,175,659,28,"2,401",710,197,"8,996","1,531"
1,JAMMU AND KASHMIR,2021,4,"5,101","183,787","3,227","2,519","33,182","2,476","18,453","197,813","6,285"
2,HIMACHAL PRADESH,2021,4,"7,967","262,751","6,043","4,984","241,188","10,768","21,525","302,548","9,605"
3,PUNJAB,2021,4,"61,961","1,594,888","37,844","45,104","826,358","26,062","65,432","838,816","27,891"
4,CHANDIGARH,2021,4,"2,052","27,423",383,"4,804","79,506","1,530","7,757","106,389","2,342"
5,UTTARAKHAND,2021,4,"11,281","540,875","9,695","7,729","298,516","15,962","23,669","433,212","13,735"
6,HARYANA,2021,4,"64,662","2,680,840","49,621","56,787","2,599,535","63,115","92,283","1,801,348","61,415"
7,DELHI,2021,4,"51,636","610,341","21,405","106,489","1,214,757","33,171","102,442","1,193,522","37,382"
8,RAJASTHAN,2021,4,"62,168","1,289,385","34,754","45,712","1,150,215","33,897","89,558","1,096,710","39,783"
9,UTTAR PRADESH,2021,4,"106,897","3,085,167","65,838","71,250","1,236,223","51,332","168,255","2,198,127","69,166"
10,BIHAR,2021,4,"7,020","444,339","9,455","6,423","70,881","2,956","55,763","804,653","17,311"
11,SIKKIM,2021,4,129,"4,359",84,176,"7,019","2,697","1,721","32,217","1,016"
12,ARUNACHAL PRADESH,2021,4,130,"2,448",53,204,"1,478",93,"2,811","32,166",638
13,NAGALAND,2021,4,123,"1,566",55,259,"2,091",108,"2,418","30,440",610
14,MANIPUR,2021,4,66,"4,085",69,97,567,20,"2,575","40,135",789
15,MIZORAM,2021,4,60,911,16,77,490,117,"1,779","27,744",498
16,TRIPURA,2021,4,"1,207","29,475",534,377,"2,349",244,"4,026","36,855",947
17,MEGHALAYA,2021,4,335,"12,351",234,423,"32,651",654,"3,466","43,825","1,011"
18,ASSAM,2021,4,"11,625","462,441","8,546","9,404","198,937","6,190","23,957","294,931","10,421"
19,WEST BENGAL,2021,4,"40,000","1,655,563","44,046","37,862","728,182","32,482","59,056","1,047,510","39,110"
20,JHARKHAND,2021,4,"8,796","444,297","10,646","7,681","215,773","13,392","24,606","387,296","12,545"
21,ODISHA,2021,4,"14,369","894,330","19,672","5,813","231,830","23,783","30,475","394,543","18,841"
22,CHHATTISGARH,2021,4,"4,091","159,809","6,537","6,123","139,816","14,140","17,824","239,940","10,464"
23,MADHYA PRADESH,2021,4,"14,620","367,664","9,746","16,954","361,112","19,108","59,720","666,435","24,441"
24,GUJARAT,2021,4,"129,106","3,293,021","98,997","121,492","3,758,570","100,938","114,895","1,469,013","77,889"
25,DAMAN AND DIU,2021,4, -   , -   , -   ,3,15,0,6,88,4
26,DADRA AND NAGAR HAVELI,2021,4,"2,615","102,352","3,865","3,551","337,187","13,668","4,844","158,574","11,770"
