State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
1,JAMMU AND KASHMIR,2023,2,"7,179","229,467","410,608.72","2,898","35,680","255,314.51","19,651","204,109","653,590.82"
2,HIMACHAL PRADESH,2023,2,"9,304","277,918","637,023.92","5,901","276,586","1,266,893.01","23,603","326,516","1,110,398.89"
3,PUNJAB,2023,2,"72,943","1,925,793","4,979,832.59","51,054","982,175","3,294,112.54","76,214","1,044,211","3,620,329.79"
4,CHANDIGARH,2023,2,"2,426","26,690","44,223.22","5,260","85,421","188,353.92","8,913","135,605","300,213.21"
5,UTTARAKHAND,2023,2,"14,266","674,690","1,234,261.35","9,760","372,938","1,999,127.75","29,080","531,745","1,720,853.12"
6,HARYANA,2023,2,"79,016","3,343,509","6,202,864.54","68,805","3,607,198","8,780,867.28","110,273","2,208,761","8,315,624.00"
7,DELHI,2023,2,"76,184","1,118,945","3,900,125.77","132,754","1,817,041","5,064,010.71","135,603","2,179,069","5,879,641.12"
8,RAJASTHAN,2023,2,"64,882","1,627,477","4,459,298.06","55,047","1,545,924","4,613,306.69","108,093","1,453,148","5,608,971.20"
9,UTTAR PRADESH,2023,2,"142,095","4,446,053","9,161,369.26","92,454","1,861,922","7,218,591.21","211,151","2,933,340","9,485,489.87"
10,BIHAR,2023,2,"10,849","650,540","1,260,655.28","9,359","110,257","384,533.66","66,113","898,730","2,070,161.92"
11,SIKKIM,2023,2,160,"10,902","21,157.44",203,"7,066","278,697.60","2,652","49,334","105,622.42"
12,ARUNACHAL PRADESH,2023,2,252,"4,621","11,261.28",287,"1,715","9,658.67","3,558","38,019","90,507.46"
13,NAGALAND,2023,2,218,"2,908","9,169.52",353,"9,730","24,554.78","2,686","33,858","63,601.93"
14,MANIPUR,2023,2,168,"5,822","16,343.56",164,939,"3,971.08","3,162","44,922","101,832.00"
15,MIZORAM,2023,2,68,"2,713","3,816.09",90,516,"2,712.70","2,089","31,227","58,465.36"
16,TRIPURA,2023,2,"1,785","42,396","73,755.80",516,"3,067","26,069.46","4,484","38,703","96,755.53"
17,MEGHALAYA,2023,2,496,"20,226","44,242.45",499,"37,235","83,979.91","3,814","47,603","127,873.45"
18,ASSAM,2023,2,"14,351","563,901","1,056,009.82","10,953","210,891","715,723.66","28,477","389,555","1,369,899.73"
19,WEST BENGAL,2023,2,"52,243","2,348,367","5,649,861.88","45,509","1,058,316","4,245,866.84","70,278","1,289,829","4,904,814.76"
20,JHARKHAND,2023,2,"11,219","640,642","1,655,652.12","9,203","268,603","1,934,766.95","29,699","523,136","1,857,335.28"
21,ODISHA,2023,2,"18,364","1,174,578","2,565,212.85","7,719","334,362","3,341,835.48","37,056","505,805","2,432,561.71"
22,CHHATTISGARH,2023,2,"7,084","340,306","1,148,050.69","9,170","207,414","1,980,447.17","26,669","509,374","1,929,657.38"
23,MADHYA PRADESH,2023,2,"27,342","967,199","2,296,988.09","23,234","539,994","2,787,777.58","78,470","1,045,688","3,620,941.27"
24,GUJARAT,2023,2,"169,030","5,053,431","14,824,481.42","144,509","4,846,715","13,998,971.89","146,109","1,976,745","10,283,434.23"
25,DAMAN AND DIU,2023,2, -   , -   , -   ,1,1,1.2,17,25,129.54
26,DADRA AND NAGAR HAVELI,2023,2,"3,030","124,300","564,087.59","3,919","430,501","1,783,684.14","5,611","185,930","1,436,368.56"
27,MAHARASHTRA,2023,2,"158,904","8,035,752","19,441,622.20","121,336","4,366,321","16,135,000.35","214,156","3,130,427","15,209,198.16"
29,KARNATAKA,2023,2,"112,863","5,240,348","9,155,937.53","55,698","2,169,818","7,134,246.50","121,806","2,079,682","7,818,080.00"
30,GOA,2023,2,"1,988","105,962","198,590.46","1,830","65,819","524,736.60","8,135","123,124","483,398.62"
31,LAKSHADWEEP,2023,2, -   , -   , -   ,2,3,3.46,48,362,524.9
32,KERALA,2023,2,"46,157","1,723,903","2,498,837.72","16,961","180,470","905,704.08","58,170","746,560","2,032,806.46"
33,TAMIL NADU,2023,2,"116,775","6,012,887","11,578,062.77","75,822","2,377,665","9,227,479.62","120,897","2,039,110","9,472,972.46"
34,PUDUCHERRY,2023,2,"1,197","44,986","155,794.25","2,101","114,195","385,875.57","5,973","119,806","350,936.35"
35,ANDAMAN AND NICOBAR,2023,2,66,2395,"5,930",123,486,"5,257","1,199","11,603.00","28,061"
36,TELANGANA,2023,2,"48,427","2,410,679","4,517,586.73","34,029","804,149","3,813,520.22","67,371","1,248,193","4,558,809.61"
37,ANDHRA PRADESH,2023,2,"38,025","1,951,436","3,349,850.44","23,230","512,985","4,053,184.63","72,307","994,229","4,030,893.56"
38,LADAKH,2023,2,42,411,"1,673.92",10,21,109.7,241,"1,452","5,615.29"
