State Code,State Name,Year,Month,Intra_State_Supplies_No_Of_Suppliers,Intra_State_Supplies_No_Of_Eway_Bills,Intra_State_Supplies_Asset_Value_Rs_In_Cr,Inter_State_Outward_SuppliesNo_Of_Suppliers,Inter_State_Outward_SuppliesNo_Of_Eway_Bills,Inter_State_Outward_Supplies_Asset_Value_Rs_ In_Cr,Inter_State_Inward_SuppliesNo_Of_Suppliers,Inter_State_Inward_Supplies_No_Of_Eway_Bills,Inter_State_Inward_SuppliesAsset_Value_Rs_In_Cr
24,GUJARAT,2020,10,"131,622","3,851,455","94,627.33","128,259","4,659,416","101,204.42","126,615","1,701,829","73,944.92"
25,DAMAN AND DIU,2020,10,0,0,0,1,19,0.13,71,329,8.08
26,DADRA AND NAGAR HAVELI,2020,10,"2,647","119,326","3,678.90","3,596","422,568","13,490.95","5,000","177,975","9,933.36"
27,MAHARASHTRA,2020,10,"119,307","5,347,095","124,116.60","101,749","3,743,649","112,957.94","187,482","2,671,411","103,928.19"
29,KARNATAKA,2020,10,"86,890","3,623,539","60,389.17","45,212","1,715,328","49,012.90","102,318","1,698,822","54,689.25"
30,GOA,2020,10,"1,446","67,534","1,060.48","1,520","60,959","4,118.43","6,346","98,766","3,406.40"
31,LAKSHADWEEP,2020,10,0,0,0,1,2,0.03,40,343,7.05
32,KERALA,2020,10,"36,026","1,194,130","17,401.31","13,635","159,716","7,355.05","47,899","536,316","14,557.16"
33,TAMIL NADU,2020,10,"75,893","3,797,950","71,418.50","64,348","1,902,888","65,585.79","108,420","1,945,885","64,013.12"
34,PUDUCHERRY,2020,10,884,"33,598",852.29,"1,742","102,654","2,834.20","5,244","106,770","2,485.91"
35,ANDAMAN AND NICOBAR,2020,10,11,397,9.97,57,192,21.55,854,"8,248",164.72
36,TELANGANA,2020,10,"34,653","1,644,295","27,734.77","29,378","584,821","24,767.65","57,661","1,037,751","34,527.78"
37,ANDHRA PRADESH,2020,10,"30,671","1,374,389","22,562.74","20,028","404,381","28,358.09","68,087","880,180","29,065.32"
38,LADAKH,2020,10,27,367,8.21,37,238,21.35,954,"11,244",300.81
97,Other Territory,2020,10,4,56,77.26,25,"3,337",916.84,165,"9,490","1,831.87"
1,JAMMU AND KASHMIR,2020,9,"4,211","158,726","2,531.11","2,577","36,160","2,426.80","18,226","216,025","5,598.89"
2,HIMACHAL PRADESH,2020,9,"7,183","259,494","4,946.41","4,807","264,513","11,294.00","20,668","312,082","9,106.38"
3,PUNJAB,2020,9,"58,910","1,611,595","34,167.39","47,215","952,470","24,521.34","63,416","818,531","25,236.40"
4,CHANDIGARH,2020,9,"1,996","22,650",351.97,"4,709","75,941","1,378.47","7,514","104,875","2,179.56"
5,UTTARAKHAND,2020,9,"10,747","577,145","9,197.72","7,750","333,560","16,388.40","23,202","467,675","12,619.14"
6,HARYANA,2020,9,"63,014","2,763,620","46,970.82","56,933","2,680,280","62,089.83","91,573","1,750,297","60,628.80"
7,DELHI,2020,9,"58,177","829,849","29,720.41","114,690","1,494,148","36,302.79","109,889","1,373,930","41,277.44"
8,RAJASTHAN,2020,9,"67,799","1,550,864","30,925.15","47,086","1,249,186","30,480.83","89,768","1,099,718","32,977.08"
9,UTTAR PRADESH,2020,9,"105,979","3,102,026","65,288.36","72,941","1,315,794","58,169.57","168,367","2,048,818","71,110.92"
10,BIHAR,2020,9,"6,156","411,536","7,979.67","6,208","63,424","2,468.34","54,117","616,033","15,201.24"
11,SIKKIM,2020,9,114,"2,907",48.09,128,"5,158","2,205.72","1,397","22,346",928
12,ARUNACHAL PRADESH,2020,9,116,"1,608",31.49,193,"1,348",95.31,"2,638","26,630",521.04
13,NAGALAND,2020,9,89,908,44,229,"2,309",77.78,"2,442","27,696",501.73
14,MANIPUR,2020,9,61,"3,715",58.23,97,366,16.72,"2,429","41,081",640.6
15,MIZORAM,2020,9,24,724,15.5,64,353,97.28,"1,734","26,854",397.67
16,TRIPURA,2020,9,"1,011","22,864",410.34,338,"2,216",223.57,"4,027","36,317",813.16
17,MEGHALAYA,2020,9,272,"11,175",182.07,375,"24,179",475.58,"2,950","36,286",696.2
18,ASSAM,2020,9,"10,562","404,469","7,655.52","8,911","180,625","6,539.03","23,448","306,004","8,988.03"
19,WEST BENGAL,2020,9,"37,747","1,487,451","37,379.64","36,209","661,123","26,924.03","57,321","1,034,617","36,030.07"
20,JHARKHAND,2020,9,"8,246","394,167","8,125.61","7,264","186,149","9,782.16","24,804","338,939","10,280.19"
21,ODISHA,2020,9,"12,505","682,802","13,130.72","5,340","205,447","17,849.10","29,661","361,041","13,414.08"
22,CHHATTISGARH,2020,9,"4,640","163,825","4,366.38","6,955","147,634","10,248.17","21,060","311,757","10,709.32"
23,MADHYA PRADESH,2020,9,"15,419","420,085","8,378.56","19,056","380,939","18,143.69","65,668","770,265","23,253.19"
24,GUJARAT,2020,9,"123,449","3,337,369","82,828.56","121,660","3,390,931","91,511.40","118,345","1,546,898","66,303.62"
25,DAMAN AND DIU,2020,9,0,0,0,1,23,0.25,77,527,11.5
26,DADRA AND NAGAR HAVELI,2020,9,"2,531","112,228","3,275.44","3,534","380,520","12,810.25","4,715","163,113","8,899.95"
27,MAHARASHTRA,2020,9,"111,097","4,742,102","108,356.18","96,571","3,333,722","106,340.24","170,878","2,239,770","92,747.41"
29,KARNATAKA,2020,9,"84,300","3,380,379","56,614.30","44,010","1,572,388","47,730.44","98,000","1,525,588","53,557.84"
30,GOA,2020,9,"1,411","58,764",985.34,"1,523","59,405","4,192.05","5,909","91,106","3,184.21"
31,LAKSHADWEEP,2020,9,0,0,0,1,1,0.32,40,479,6.38
32,KERALA,2020,9,"34,101","1,121,500","16,180.65","13,234","146,094","7,088.53","45,361","498,701","14,295.28"
33,TAMIL NADU,2020,9,"72,829","3,512,626","68,484.11","62,109","1,766,476","64,114.18","102,915","1,661,161","60,591.11"
34,PUDUCHERRY,2020,9,850,"31,779","1,054.00","1,732","98,205","2,996.22","4,959","92,587","2,437.20"
35,ANDAMAN AND NICOBAR,2020,9,10,462,17.36,49,137,14.38,794,"7,507",175.26
36,TELANGANA,2020,9,"34,395","1,616,019","27,665.64","29,291","572,482","25,562.06","56,101","1,037,585","34,242.63"
37,ANDHRA PRADESH,2020,9,"29,561","1,311,552","23,194.63","19,226","392,635","27,764.94","64,985","778,672","29,154.54"
38,LADAKH,2020,9,33,566,12.66,39,234,12.72,869,"10,827",293.92
97,Other Territory,2020,9,3,62,39.89,23,"3,087","1,075.28",168,"10,285","1,696.43"
1,JAMMU AND KASHMIR,2020,8,"3,756","133,554","2,349.15","2,247","30,802","2,573.90","16,276","164,083","4,904.10"
2,HIMACHAL PRADESH,2020,8,"6,808","227,425","4,413.37","4,577","236,713","10,023.54","19,043","273,113","7,943.14"
3,PUNJAB,2020,8,"54,659","1,423,851","30,280.74","42,785","750,729","21,242.32","59,222","746,221","22,854.89"
4,CHANDIGARH,2020,8,"1,883","20,375",293.17,"4,463","68,614","1,223.16","7,105","90,899","1,879.05"
5,UTTARAKHAND,2020,8,"10,156","494,022","7,886.45","7,273","291,351","15,329.02","21,063","394,590","11,131.74"
6,HARYANA,2020,8,"59,236","2,386,995","39,590.08","53,214","2,367,294","53,611.60","84,934","1,424,313","50,532.83"
7,DELHI,2020,8,"52,585","699,911","25,387.66","105,251","1,213,429","32,261.47","99,662","1,120,962","36,034.56"
8,RAJASTHAN,2020,8,"63,456","1,382,331","27,047.41","43,733","1,064,905","26,737.16","82,763","961,522","29,933.22"
9,UTTAR PRADESH,2020,8,"97,010","2,691,822","58,163.32","65,002","1,089,743","50,929.95","151,093","1,732,296","60,896.58"
10,BIHAR,2020,8,"5,475","386,589","7,538.37","5,353","54,957","2,330.59","47,818","494,111","13,430.48"
11,SIKKIM,2020,8,98,"1,764",28,129,"2,844","1,133.31","1,279","18,993",581.55
12,ARUNACHAL PRADESH,2020,8,108,"1,655",31.44,149,"1,100",78.42,"2,469","22,877",457.71
13,NAGALAND,2020,8,84,727,36.32,212,"1,626",60.52,"2,119","20,493",417.66
14,MANIPUR,2020,8,45,"2,096",39.72,61,233,13.65,"2,057","31,110",479.72
15,MIZORAM,2020,8,22,369,11.99,48,258,75.66,"1,565","22,521",327.14
16,TRIPURA,2020,8,970,"23,974",398.01,366,"2,162",322.54,"3,694","33,386",784.27
17,MEGHALAYA,2020,8,282,"11,540",191.91,363,"22,296",448.81,"2,870","33,711",645.16
18,ASSAM,2020,8,"9,911","355,578","6,816.35","8,301","159,691","5,721.18","20,810","210,008","7,810.59"
19,WEST BENGAL,2020,8,"34,177","1,305,109","32,697.39","32,794","542,646","23,943.54","51,507","779,272","29,109.53"
20,JHARKHAND,2020,8,"7,829","342,075","7,249.86","6,742","168,408","9,082.73","22,396","268,872","8,827.77"
21,ODISHA,2020,8,"12,067","604,562","11,939.93","4,912","184,851","16,559.43","27,052","289,164","11,473.80"
22,CHHATTISGARH,2020,8,"4,800","160,639","4,441.63","6,739","136,223","9,689.50","20,484","305,392","12,283.92"
23,MADHYA PRADESH,2020,8,"14,146","355,368","7,189.30","17,469","314,687","15,993.39","60,216","666,413","20,625.50"
24,GUJARAT,2020,8,"111,345","2,704,487","69,251.58","111,059","2,671,834","79,307.54","105,578","1,182,103","55,187.02"
25,DAMAN AND DIU,2020,8,41,155,6.39,227,"1,042",27.35,480,"1,703",55.44
26,DADRA AND NAGAR HAVELI,2020,8,"2,377","93,508","2,859.78","3,318","303,927","10,476.30","4,353","130,856","7,372.05"
27,MAHARASHTRA,2020,8,"102,546","4,186,315","93,741.54","88,618","2,753,847","92,018.84","154,375","1,846,187","81,789.45"
29,KARNATAKA,2020,8,"79,907","3,074,618","50,146.44","40,879","1,130,772","40,654.62","92,449","1,362,008","45,803.35"
30,GOA,2020,8,"1,320","49,613",798.35,"1,357","47,909","3,295.39","5,394","78,309","2,826.08"
31,LAKSHADWEEP,2020,8,0,0,0,2,3,0.05,29,202,2.27
32,KERALA,2020,8,"33,125","1,100,502","16,137.35","11,871","123,633","6,419.42","43,962","472,998","14,097.27"
33,TAMIL NADU,2020,8,"68,327","3,149,795","61,702.95","58,676","1,555,376","57,001.59","94,033","1,330,081","52,517.84"
34,PUDUCHERRY,2020,8,835,"29,805",814.51,"1,651","83,352","2,524.34","4,616","79,183","2,157.57"
35,ANDAMAN AND NICOBAR,2020,8,11,284,14.23,46,127,19.49,643,"4,648",133.2
36,TELANGANA,2020,8,"31,640","1,422,879","24,061.06","27,204","535,608","22,458.35","51,508","776,394","28,963.30"
37,ANDHRA PRADESH,2020,8,"27,249","1,195,714","20,539.49","17,547","341,166","25,080.05","59,359","659,884","24,971.92"
38,LADAKH,2020,8,21,387,19.13,31,240,5.47,714,"6,971",188.94
97,Other Territory,2020,8,3,97,112.89,24,"2,860",864.47,132,"8,866","1,849.93"
1,JAMMU AND KASHMIR,2020,7,"3,853","153,002","2,600.50","2,252","33,468","2,705.64","16,919","184,344","5,265.30"
2,HIMACHAL PRADESH,2020,7,"6,920","233,089","4,307.48","4,711","232,747","9,748.20","19,688","277,656","7,906.80"
3,PUNJAB,2020,7,"54,860","1,457,292","29,142.61","42,502","746,980","20,997.01","59,441","764,392","22,892.27"
4,CHANDIGARH,2020,7,"1,921","21,406",314.45,"4,558","71,535","1,305.42","7,183","94,079","1,928.33"
5,UTTARAKHAND,2020,7,"10,230","478,909","7,706.50","7,336","297,618","14,701.77","21,079","392,683","11,240.18"
6,HARYANA,2020,7,"58,961","2,293,309","37,570.35","53,252","2,320,056","51,054.19","84,374","1,401,793","49,583.25"
7,DELHI,2020,7,"51,938","692,241","24,395.95","103,819","1,200,672","31,490.23","97,198","1,075,566","34,538.05"
8,RAJASTHAN,2020,7,"65,426","1,547,579","28,844.98","44,371","1,077,449","26,797.20","84,894","996,616","30,303.74"
9,UTTAR PRADESH,2020,7,"98,120","2,834,860","59,368.96","64,170","1,072,686","49,688.93","151,516","1,746,880","59,808.94"
10,BIHAR,2020,7,"5,247","345,002","6,650.79","4,951","48,797","2,113.24","45,982","418,802","11,926.44"
11,SIKKIM,2020,7,92,"1,756",29.29,111,"3,572","1,774.32","1,157","16,803",617.85
12,ARUNACHAL PRADESH,2020,7,80,914,17.3,119,946,53.58,"1,719","11,514",277.99
13,NAGALAND,2020,7,78,726,33.7,188,"6,053",53.35,"1,795","16,045",382.16
14,MANIPUR,2020,7,51,"2,942",48.81,71,278,14.48,"2,091","35,113",541.51
15,MIZORAM,2020,7,27,577,8.26,53,198,15.63,"1,601","24,040",372.55
16,TRIPURA,2020,7,943,"18,758",319.31,304,"2,265",171.96,"3,498","27,968",638.51
17,MEGHALAYA,2020,7,267,"8,350",152.42,284,"19,803",387.83,"2,441","26,066",590.33
18,ASSAM,2020,7,"9,026","256,659","5,092.11","6,643","123,996","5,084.30","19,575","182,225","7,083.47"
19,WEST BENGAL,2020,7,"34,265","1,338,247","32,260.09","32,916","534,102","24,528.57","50,613","778,184","30,342.38"
20,JHARKHAND,2020,7,"7,897","363,653","7,285.54","6,736","172,583","9,107.88","22,806","263,088","8,996.00"
21,ODISHA,2020,7,"11,694","636,552","12,805.80","4,628","188,156","16,491.45","27,357","293,030","17,262.32"
22,CHHATTISGARH,2020,7,"4,775","168,982","4,668.91","6,853","149,544","9,692.95","20,898","306,301","9,951.07"
23,MADHYA PRADESH,2020,7,"14,710","385,283","7,634.61","17,952","329,813","16,215.94","63,036","725,961","21,151.52"
24,GUJARAT,2020,7,"114,769","2,874,099","72,713.11","111,084","2,581,762","81,253.49","105,010","1,185,503","53,609.71"
25,DAMAN AND DIU,2020,7,990,"26,658",710.95,"1,574","124,260","3,285.70","1,999","56,540","2,335.52"
26,DADRA AND NAGAR HAVELI,2020,7,"1,208","48,638","1,652.50","1,859","173,660","7,339.42","2,613","86,236","5,029.05"
27,MAHARASHTRA,2020,7,"96,408","3,664,582","86,911.81","85,352","2,619,281","88,823.08","146,026","1,679,134","78,490.65"
29,KARNATAKA,2020,7,"74,875","2,879,267","47,161.46","37,085","1,044,159","39,641.73","87,498","1,216,595","44,969.44"
30,GOA,2020,7,"1,332","50,306",871.39,"1,365","49,562","3,696.01","5,310","80,684","3,139.04"
31,LAKSHADWEEP,2020,7,0,0,0,3,3,0.06,34,397,5.83
32,KERALA,2020,7,"31,710","999,542","14,496.17","11,276","119,590","6,210.35","43,229","445,196","13,251.17"
33,TAMIL NADU,2020,7,"66,124","2,946,800","57,732.51","56,435","1,458,438","52,722.24","90,528","1,205,930","49,748.84"
34,PUDUCHERRY,2020,7,856,"31,693",909.51,"1,649","81,969","2,666.39","4,566","77,080","2,194.21"
35,ANDAMAN AND NICOBAR,2020,7,12,269,10.08,52,187,24.27,838,"8,509",184.8
36,TELANGANA,2020,7,"31,714","1,468,262","24,512.31","26,850","526,518","21,623.93","52,370","792,905","32,522.74"
37,ANDHRA PRADESH,2020,7,"27,380","1,154,842","19,303.33","16,991","341,569","23,259.09","57,749","645,563","24,115.90"
38,LADAKH,2020,7,20,660,27.98,25,214,5.78,718,"7,116",197.7
97,Other Territory,2020,7,4,108,135.35,26,"2,665",920.39,161,"9,423","1,845.05"
1,JAMMU AND KASHMIR,2020,6,"3,512","141,971","2,448.05","1,978","29,589","2,529.90","15,777","170,913","4,952.06"
2,HIMACHAL PRADESH,2020,6,"6,668","222,641","3,959.17","4,424","205,055","9,035.43","18,492","234,826","7,078.75"
3,PUNJAB,2020,6,"52,130","1,285,595","25,534.70","39,423","655,363","19,666.08","56,091","648,671","20,177.43"
4,CHANDIGARH,2020,6,"1,787","19,451",293.89,"4,295","64,047","1,135.78","6,579","79,257","1,601.38"
5,UTTARAKHAND,2020,6,"9,685","390,672","6,771.46","6,820","254,310","13,273.66","20,178","323,646","9,750.62"
6,HARYANA,2020,6,"55,235","1,750,591","29,671.73","49,298","1,758,033","42,725.83","78,813","1,170,862","39,894.13"
7,DELHI,2020,6,"45,114","559,528","18,833.06","94,917","1,004,940","25,696.95","83,966","809,404","28,160.17"
8,RAJASTHAN,2020,6,"61,070","1,404,634","27,483.33","41,148","994,696","23,919.06","77,363","768,829","25,429.61"
9,UTTAR PRADESH,2020,6,"94,224","2,783,317","56,002.65","58,372","899,373","42,937.76","146,613","1,571,891","51,871.13"
10,BIHAR,2020,6,"5,716","418,645","8,224.82","5,242","53,463","1,996.20","50,577","502,994","13,717.25"
11,SIKKIM,2020,6,112,"3,072",47.46,129,"4,781","2,212.69","1,373","22,454",759.6
12,ARUNACHAL PRADESH,2020,6,97,"1,342",23.68,156,"1,201",61.23,"2,360","22,418",413.35
13,NAGALAND,2020,6,77,805,35.82,171,"1,318",59.58,"1,981","18,369",395.73
14,MANIPUR,2020,6,55,"2,947",48.14,63,231,10.13,"2,124","32,185",548.94
15,MIZORAM,2020,6,16,455,6.66,55,307,27.31,"1,510","20,465",308.25
16,TRIPURA,2020,6,920,"21,491",337.68,284,"1,762",173.31,"3,614","30,853",893.34
17,MEGHALAYA,2020,6,272,"9,247",189.62,333,"21,998",411.84,"2,641","31,096",641.86
18,ASSAM,2020,6,"10,063","353,331","6,264.73","8,279","154,010","5,177.94","20,303","195,405","7,377.88"
19,WEST BENGAL,2020,6,"32,568","1,255,254","30,390.20","31,317","527,699","22,408.44","46,762","628,467","26,989.59"
20,JHARKHAND,2020,6,"7,709","338,506","6,503.80","6,542","156,573","8,026.19","21,830","224,334","8,354.97"
21,ODISHA,2020,6,"11,840","633,067","11,508.27","4,620","175,303","14,849.02","27,557","297,669","11,697.54"
22,CHHATTISGARH,2020,6,"4,921","184,083","4,755.27","6,918","147,501","9,317.41","20,296","275,740","10,408.36"
23,MADHYA PRADESH,2020,6,"13,938","361,928","7,699.77","16,484","311,480","15,129.36","59,049","594,656","21,591.05"
24,GUJARAT,2020,6,"105,621","2,453,201","64,733.73","102,166","2,168,602","72,725.42","93,804","939,238","50,438.49"
25,DAMAN AND DIU,2020,6,931,"23,480",677.16,"1,505","104,850","3,110.56","1,855","48,073","2,344.99"
26,DADRA AND NAGAR HAVELI,2020,6,"1,133","41,853","1,643.62","1,783","148,055","6,690.35","2,455","73,532","4,410.37"
27,MAHARASHTRA,2020,6,"89,631","3,314,233","79,784.70","78,051","2,280,033","82,130.04","134,892","1,402,289","73,182.25"
29,KARNATAKA,2020,6,"78,053","2,940,570","48,967.47","37,704","970,222","37,469.30","87,841","1,161,648","41,919.28"
30,GOA,2020,6,"1,346","50,050",784.65,"1,302","43,463","3,447.69","5,454","77,126","2,908.03"
31,LAKSHADWEEP,2020,6,0,0,0,2,3,0,26,266,4.07
32,KERALA,2020,6,"31,008","1,039,087","14,586.84","11,210","113,326","6,092.61","41,779","446,707","12,536.31"
33,TAMIL NADU,2020,6,"61,557","2,421,600","47,233.07","52,250","1,216,245","45,097.77","83,630","973,748","40,504.86"
34,PUDUCHERRY,2020,6,798,"28,215",884.76,"1,521","68,508","2,720.02","4,160","63,356","2,075.93"
35,ANDAMAN AND NICOBAR,2020,6,11,215,12.89,63,286,45.71,719,"6,490",154.96
36,TELANGANA,2020,6,"30,755","1,349,277","23,426.66","26,316","501,023","21,863.38","50,449","698,449","26,783.41"
37,ANDHRA PRADESH,2020,6,"27,899","1,129,620","19,486.91","16,735","331,355","23,213.11","56,152","604,864","21,902.81"
38,LADAKH,2020,6,9,116,3.85,15,94,2.37,531,"5,416",190.21
97,Other Territory,2020,6,3,113,51.88,22,"1,710",656.99,125,"7,003","1,550.37"
1,JAMMU AND KASHMIR,2020,5,"2,388","81,513","1,667.64","1,166","19,189","1,841.43","10,800","85,674","3,465.51"
2,HIMACHAL PRADESH,2020,5,"5,800","167,027","2,936.00","3,594","146,679","7,004.09","15,131","157,195","5,499.58"
3,PUNJAB,2020,5,"42,302","811,521","16,306.03","28,962","385,302","14,007.26","42,314","353,754","14,572.81"
4,CHANDIGARH,2020,5,"1,295","10,613",270.47,"3,335","39,249",706.57,"5,107","45,359","1,236.34"
5,UTTARAKHAND,2020,5,"8,097","236,632","4,535.96","5,047","156,455","9,258.99","14,938","177,395","7,100.67"
6,HARYANA,2020,5,"42,804","827,137","18,579.48","35,525","798,764","26,048.93","59,128","563,877","28,382.34"
7,DELHI,2020,5,"27,345","309,880","12,116.93","58,852","483,095","15,841.02","52,181","386,119","19,350.93"
8,RAJASTHAN,2020,5,"42,906","855,512","18,943.79","27,058","448,767","16,677.40","48,018","338,149","17,226.19"
9,UTTAR PRADESH,2020,5,"61,898","1,720,701","35,681.46","33,592","458,667","24,981.53","94,448","673,459","34,490.25"
10,BIHAR,2020,5,"4,856","303,367","6,591.37","3,632","38,510","1,444.51","37,319","238,664","9,585.66"
11,SIKKIM,2020,5,96,"2,846",50.26,95,"3,929","2,112.76","1,255","22,983",793.77
12,ARUNACHAL PRADESH,2020,5,107,"1,947",37.91,107,875,32.32,"2,329","23,112",396.67
13,NAGALAND,2020,5,60,875,33.01,133,"1,309",45.18,"1,796","19,093",370.15
14,MANIPUR,2020,5,42,"2,297",37.39,39,134,5.97,"1,788","26,532",478.19
15,MIZORAM,2020,5,16,566,9.29,37,181,9.16,"1,531","26,596",364.31
16,TRIPURA,2020,5,772,"16,674",226.95,217,"1,089",70.28,"2,842","21,619",548.2
17,MEGHALAYA,2020,5,232,"7,731",147.65,263,"22,881",432.42,"2,096","20,310",460.21
18,ASSAM,2020,5,"8,986","299,148","5,418.21","7,360","143,722","4,347.48","14,600","117,250","5,755.54"
19,WEST BENGAL,2020,5,"17,722","603,610","16,617.49","16,314","249,696","14,195.53","27,071","235,338","17,083.62"
20,JHARKHAND,2020,5,"5,538","195,867","4,024.51","4,951","107,921","5,834.31","14,636","110,452","5,499.49"
21,ODISHA,2020,5,"10,717","528,632","10,490.16","3,541","118,365","11,325.14","22,387","202,371","10,330.42"
22,CHHATTISGARH,2020,5,"4,321","162,694","4,237.45","5,805","123,475","8,159.04","15,258","166,609","7,644.09"
23,MADHYA PRADESH,2020,5,"9,807","207,865","5,586.55","10,877","194,593","11,399.11","38,737","296,041","14,176.27"
24,GUJARAT,2020,5,"71,141","1,465,131","45,074.62","53,614","800,352","52,998.29","53,464","475,817","37,518.20"
25,DAMAN AND DIU,2020,5,750,"17,242",477.98,"1,262","60,290","2,224.59","1,518","31,734","1,878.13"
26,DADRA AND NAGAR HAVELI,2020,5,964,"25,778","1,050.20","1,436","82,909","4,677.32","1,981","52,203","3,716.95"
27,MAHARASHTRA,2020,5,"56,234","1,851,162","52,163.97","44,188","999,192","52,285.73","84,586","741,354","55,741.59"
29,KARNATAKA,2020,5,"64,902","2,010,913","36,938.89","26,623","553,953","26,758.68","63,103","589,579","32,447.86"
30,GOA,2020,5,"1,221","49,906",761.88,"1,021","29,943","2,949.96","4,643","58,774","2,714.22"
31,LAKSHADWEEP,2020,5,0,0,0,1,3,0.12,29,292,3.86
32,KERALA,2020,5,"25,819","799,929","11,216.93","7,997","68,060","4,353.77","31,927","283,186","9,860.83"
33,TAMIL NADU,2020,5,"49,270","1,579,567","34,608.26","38,394","700,082","28,699.81","60,259","552,415","34,861.01"
34,PUDUCHERRY,2020,5,721,"19,144",697.52,"1,315","46,842","2,040.90","3,501","44,425","1,823.54"
35,ANDAMAN AND NICOBAR,2020,5,7,173,6.56,40,145,18.68,432,"3,048",88.13
36,TELANGANA,2020,5,"23,787","928,576","17,293.53","17,675","305,592","17,301.46","34,757","338,940","19,825.83"
37,ANDHRA PRADESH,2020,5,"20,789","773,731","14,926.74","11,870","244,248","17,955.64","39,009","334,196","17,242.86"
38,LADAKH,2020,5,8,68,5.46,4,7,0.44,255,"2,849",115.88
97,Other Territory,2020,5,5,140,767.86,23,"1,573",849.14,121,"4,760","1,762.60"
1,JAMMU AND KASHMIR,2020,4,"1,022","31,352",877.33,374,"6,654",717.46,"3,279","24,128","1,645.36"
2,HIMACHAL PRADESH,2020,4,"2,899","51,107",999.39,"1,789","46,746","3,446.45","4,768","53,214","2,653.53"
3,PUNJAB,2020,4,"11,638","210,607","4,370.59","6,152","97,022","6,518.83","13,338","88,442","5,898.28"
4,CHANDIGARH,2020,4,348,"3,369",56.14,945,"10,911",225.48,"1,478","14,968",582.47
5,UTTARAKHAND,2020,4,"3,666","80,391","1,898.23","2,236","56,679","4,153.74","5,369","56,024","2,997.20"
6,HARYANA,2020,4,"11,822","212,972","5,729.20","9,092","226,394","10,301.21","18,514","149,433","9,417.63"
7,DELHI,2020,4,"7,630","140,445","4,296.81","12,217","135,538","5,760.54","13,584","140,641","7,806.44"
8,RAJASTHAN,2020,4,"15,409","273,673","8,140.38","6,806","84,890","6,494.77","13,016","80,023","6,012.71"
9,UTTAR PRADESH,2020,4,"21,107","685,565","15,245.53","8,233","140,988","9,877.74","29,816","197,674","13,600.76"
10,BIHAR,2020,4,"2,545","127,062","2,775.64","1,537","15,235",741.62,"13,410","60,941","4,118.60"
11,SIKKIM,2020,4,58,"1,700",30.32,68,"4,026","2,287.90",429,"9,208",600.23
12,ARUNACHAL PRADESH,2020,4,51,720,11.05,52,245,9.49,612,"4,685",118.01
13,NAGALAND,2020,4,20,82,3.26,44,284,23.87,460,"3,707",169.97
14,MANIPUR,2020,4,24,779,18.45,16,47,2.94,635,"5,277",200.69
15,MIZORAM,2020,4,9,114,2.13,20,89,3.58,509,"3,641",107.81
16,TRIPURA,2020,4,323,"5,109",79.93,71,351,15.6,"1,051","6,624",221.02
17,MEGHALAYA,2020,4,86,"1,238",48.31,87,986,50.37,730,"7,406",220.59
18,ASSAM,2020,4,"3,202","94,658","2,114.25","2,643","38,758","1,873.49","3,887","25,678","2,346.41"
19,WEST BENGAL,2020,4,"7,810","305,480","9,013.54","5,058","82,441","7,759.68","8,889","69,753","9,534.71"
20,JHARKHAND,2020,4,"2,205","84,486","1,974.25","2,141","38,706","2,275.54","4,622","39,259","3,198.10"
21,ODISHA,2020,4,"5,697","253,813","5,629.70","1,609","52,234","7,491.04","6,922","48,233","4,952.46"
22,CHHATTISGARH,2020,4,"1,866","42,708","1,112.21","2,624","38,019","3,783.55","4,591","54,956","4,474.32"
23,MADHYA PRADESH,2020,4,"3,387","55,384","1,990.47","4,558","66,918","6,288.85","11,618","77,490","6,117.68"
24,GUJARAT,2020,4,"26,738","558,958","21,574.43","15,391","251,014","28,169.70","16,834","150,025","16,896.77"
25,DAMAN AND DIU,2020,4,350,"5,269",126.04,607,"16,113",849.78,626,"9,375",625.5
26,DADRA AND NAGAR HAVELI,2020,4,389,"5,062",260.05,645,"19,351","1,783.50",796,"16,261","1,427.34"
27,MAHARASHTRA,2020,4,"21,336","677,174","23,693.24","14,300","252,779","23,248.67","27,667","223,300","25,184.70"
29,KARNATAKA,2020,4,"19,122","652,086","12,967.68","7,155","136,993","10,740.47","16,879","129,165","13,417.01"
30,GOA,2020,4,705,"16,649",308.83,417,"9,927","1,738.07","1,399","19,887","1,074.23"
31,LAKSHADWEEP,2020,4,0,0,0,0,0,0,9,108,1.43
32,KERALA,2020,4,"10,562","247,827","4,160.34","2,390","15,478","1,530.62","9,978","71,823","4,630.47"
33,TAMIL NADU,2020,4,"11,315","397,738","10,526.06","9,484","129,206","8,804.43","16,136","116,621","12,769.38"
34,PUDUCHERRY,2020,4,275,"5,324",218.45,483,"12,837",865.34,"1,126","13,122",705.6
35,ANDAMAN AND NICOBAR,2020,4,4,116,5.37,20,51,9.03,146,"1,270",40.19
36,TELANGANA,2020,4,"10,107","471,500","9,008.53","6,818","121,629","11,326.67","10,749","98,747","8,569.33"
37,ANDHRA PRADESH,2020,4,"10,254","359,964","7,916.34","4,575","78,220","10,382.21","13,550","117,763","8,723.34"
38,LADAKH,2020,4,2,10,0.4,2,2,0.01,52,336,17.49
97,Other Territory,2020,4,4,73,43.64,17,672,227.27,256,"2,274",873.23
