State Code,State Name,Year,Month,Intra_State_Supplies_No_Of_Suppliers,Intra_State_Supplies_No_Of_Eway_Bills,Intra_State_Supplies_Asset_Value_Rs_In_Cr,Inter_State_Outward_SuppliesNo_Of_Suppliers,Inter_State_Outward_SuppliesNo_Of_Eway_Bills,Inter_State_Outward_Supplies_Asset_Value_Rs_ In_Cr,Inter_State_Inward_SuppliesNo_Of_Suppliers,Inter_State_Inward_Supplies_No_Of_Eway_Bills,Inter_State_Inward_SuppliesAsset_Value_Rs_In_Cr
13,NAGALAND,2021,2,106,"1,486",55.4,249,"2,018",74.71,"2,429","30,280",569.36
14,MANIPUR,2021,2,75,"4,824",74.46,110,590,39.75,"2,600","45,261",811.18
15,MIZORAM,2021,2,157,"2,439",54.59,94,732,162.34,"1,808","29,610",527.84
16,TRIPURA,2021,2,"1,251","31,762",618.17,411,"2,434",298.37,"4,138","37,010",850.91
17,MEGHALAYA,2021,2,316,"11,816",240.76,395,"33,817",682.32,"3,224","40,811",878.47
18,ASSAM,2021,2,"11,226","442,006","7,927.60","9,280","193,029","5,896.05","24,415","337,892","10,414.60"
19,WEST BENGAL,2021,2,"40,486","1,568,460","40,731.49","38,568","752,693","30,133.86","61,036","1,120,363","37,370.65"
20,JHARKHAND,2021,2,"9,468","474,776","10,952.08","8,097","231,430","12,778.29","25,457","421,817","12,000.70"
21,ODISHA,2021,2,"14,024","812,611","17,726.40","5,946","199,705","20,535.38","31,662","423,742","14,870.80"
22,CHHATTISGARH,2021,2,"5,403","247,484","7,439.52","8,021","172,660","14,331.10","23,282","407,304","12,897.52"
23,MADHYA PRADESH,2021,2,"17,630","533,741","11,728.67","20,074","419,446","20,261.00","70,211","935,209","27,341.87"
24,GUJARAT,2021,2,"138,439","3,830,536","106,046.02","129,352","4,279,459","103,090.08","127,449","1,713,483","77,700.62"
25,DAMAN AND DIU,2021,2,0,0,0,1,18,0.13,10,156,2.35
26,DADRA AND NAGAR HAVELI,2021,2,"2,752","118,991","4,400.86","3,633","422,567","14,983.85","5,134","182,890","11,768.78"
27,MAHARASHTRA,2021,2,"126,615","5,513,536","133,996.69","106,065","3,766,763","118,935.45","187,412","2,627,095","110,729.49"
29,KARNATAKA,2021,2,"92,451","3,720,424","63,000.61","47,075","1,730,580","52,858.58","104,719","1,721,895","54,712.36"
30,GOA,2021,2,"1,591","74,792","1,239.16","1,563","59,956","3,935.97","6,795","104,608","3,658.21"
31,LAKSHADWEEP,2021,2,0,0,0,2,2,0.12,42,525,7.78
32,KERALA,2021,2,"38,797","1,354,703","20,037.61","14,460","167,098","7,559.27","51,940","636,957","16,968.85"
33,TAMIL NADU,2021,2,"78,829","3,990,216","77,233.79","65,661","1,933,058","68,607.82","106,760","1,772,980","76,933.56"
34,PUDUCHERRY,2021,2,964,"33,745",776.87,"1,800","99,460","2,900.95","5,097","97,149","2,552.43"
35,ANDAMAN AND NICOBAR,2021,2,46,796,22.31,57,270,17.4,924,"9,680",231.35
36,TELANGANA,2021,2,"39,564","1,833,801","31,251.98","31,413","664,165","26,964.31","57,967","1,031,315","34,249.51"
37,ANDHRA PRADESH,2021,2,"33,777","1,472,786","24,961.00","21,183","431,023","30,016.84","66,086","836,365","31,009.74"
38,LADAKH,2021,2,15,156,6.07,11,20,0.35,145,739,21.3
97,Other Territory,2021,2,8,100,202.43,23,"2,975",853.23,180,"10,459","2,245.08"
1,JAMMU AND KASHMIR,2021,1,"4,440","130,285","2,218.87","2,244","31,377","2,082.56","15,392","150,668","4,516.57"
2,HIMACHAL PRADESH,2021,1,"7,310","235,073","5,118.44","4,962","260,449","11,063.50","18,420","274,305","9,116.94"
3,PUNJAB,2021,1,"62,491","1,572,315","37,512.35","45,920","835,778","24,902.60","64,673","834,162","26,656.89"
4,CHANDIGARH,2021,1,"2,067","23,257",374.18,"4,722","73,542","1,434.68","7,696","105,357","2,364.26"
