State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
1,JAMMU AND KASHMIR,2020,3,3478,89324,1710.98,1722,21281,1317.33,15026,132058,3738.86
2,HIMACHAL PRADESH,2020,3,6878,163766,3172.6,4486,168840,7350.64,17006,194898,5962.65
3,PUNJAB,2020,3,55010,1021129,22606.7,39245,547052,16294.18,55363,564166,16674.53
4,CHANDIGARH,2020,3,1995,17730,290.96,4428,55331,1037.16,7168,77603,1677.85
5,UTTARAKHAND,2020,3,10103,305001,6043.57,6865,214143,10810.06,19634,278050,8426.97
6,HARYANA,2020,3,57525,1681254,29423.2,49742,1709702,41546.7,78644,1195500,39498.27
7,DELHI,2020,3,50610,570530,21561.23,105160,1054087,26183.5,95496,998896,29391.28
8,RAJASTHAN,2020,3,59201,996017,20609.87,40865,882855,20469.03,74731,734489,22016.51
9,UTTAR PRADESH,2020,3,96276,2093449,42625.25,62275,896323,35641.47,143095,1519003,58591.82
10,BIHAR,2020,3,6173,271213,5612.12,5463,48581,1711.16,45033,443787,10148.21
11,SIKKIM,2020,3,109,3027,41.77,167,4923,1923.47,1395,21175,624.68
12,ARUNACHAL PRADESH,2020,3,123,2570,47.64,158,984,51.83,2338,20687,401.33
13,NAGALAND,2020,3,82,838,81.91,207,2263,61.7,2003,16159,374.74
14,MANIPUR,2020,3,56,3773,54.82,76,276,13.17,2075,25218,473.06
15,MIZORAM,2020,3,39,594,14.17,85,560,98.24,1533,18675,303.12
16,TRIPURA,2020,3,938,19458,328.94,321,1381,125.26,3442,25225,626.51
17,MEGHALAYA,2020,3,307,9821,171.3,348,24320,433.35,2733,25928,577.9
18,ASSAM,2020,3,10084,301931,5515.44,8154,125549,3956.34,21531,213139,6725.81
19,WEST BENGAL,2020,3,34848,944064,25594.29,32397,508516,20316.9,50096,735447,25687.84
20,JHARKHAND,2020,3,7643,256926,6029.68,6351,145542,8071.9,20381,238348,7741.57
21,ODISHA,2020,3,11759,550390,10963.16,4689,170841,14636.23,24934,250079,10284.2
22,CHHATTISGARH,2020,3,4449,122403,3411.7,6554,115167,8820.45,18919,267190,9549.4
23,MADHYA PRADESH,2020,3,13848,271510,5856.17,16201,266288,12763.27,56124,582123,16380.83
24,GUJARAT,2020,3,109942,2306678,60649.89,112067,2804237,66543.88,101907,1001887,45885.9
25,DAMAN AND DIU,2020,3,1023,26395,666.39,1631,134730,3081.93,2038,54504,2321.36
26,DADRA AND NAGAR HAVELI,2020,3,1251,44280,1532.54,1920,173354,6374.18,2675,82429,5008.53
27,MAHARASHTRA,2020,3,109426,3608256,87262.45,90372,2371642,87823.46,156175,1728375,68576.28
29,KARNATAKA,2020,3,81608,2493746,43077.65,38840,1011172,35033.97,88074,1197855,37519.4
30,GOA,2020,3,1461,48375,713.11,1347,37300,2706.16,5664,69761,2595.9
