State Code,State Name,Year,Month,Intra_State_Supplies_(No._Of_Suppliers),Intra_State_Supplies_(No._Of_Eway_Bills),Intra_State_Supplies(Asset_Value_(Rs._In_Cr.)),Inter_State_Outward_Supplies(No._Of_Suppliers),Inter_State_Outward_Supplies(No._Of_Eway_Bills),Inter_State_Outward_Supplies(Asset_Value_(Rs_ In_Cr.)),Inter_State_Inward_Supplies(No._Of_Suppliers),Inter_State_Inward_Supplies(No._Of_Eway_Bills),Inter_State_Inward_Supplies(Asset_Value_(Rs._In_Cr.))
31,LAKSHADWEEP,2020,3,1,1,0.03,2,2,0.33,38,351,8.07
32,KERALA,2020,3,31921,851207,12072.31,11965,122357,5481.73,41495,468387,10889.45
33,TAMIL NADU,2020,3,70563,2591829,51595.78,57675,1269671,45217.72,87180,1122964,43667.88
34,PUDUCHERRY,2020,3,873,25949,751.37,1577,70066,2150.64,4544,67656,1937.18
35,ANDAMAN AND NICOBAR,2020,3,8,273,10.01,66,163,25.73,739,5868,227.38
36,TELANGANA,2020,3,33646,1214445,21707.16,26360,441128,19373.66,49251,661493,21990.13
37,ANDHRA PRADESH,2020,3,31240,969860,17769.11,18396,310103,21700.91,55426,559814,20638.41
38,LADAKH,2020,3,5,25,0.86,3,3,0.22,62,290,8.05
97,Other Territory,2020,3,6,134,741.28,27,1780,689.47,566,7181,1636.25
1,JAMMU AND KASHMIR,2020,2,3221,114586,2025.55,1930,29414,1857.41,16539,180911,4799.38
2,HIMACHAL PRADESH,2020,2,7301,221694,4349.64,4811,243884,9785.41,19353,270693,8146.69
3,PUNJAB,2020,2,60043,1440937,31090.17,44270,776852,22167.5,63972,823934,23197.03
4,CHANDIGARH,2020,2,2136,24164,386.69,4827,74526,1373.8,7948,109773,2161.52
5,UTTARAKHAND,2020,2,11002,508251,8728.26,7699,317158,15227.33,22567,415185,11740.33
6,HARYANA,2020,2,63016,2424272,41118.32,54964,2449359,58744.04,89844,1718576,54840.79
7,DELHI,2020,2,57702,800062,31171.49,118730,1562952,37059.77,112229,1550725,42677.08
8,RAJASTHAN,2020,2,66708,1464444,28905.67,47175,1391038,29520.7,89778,1106660,31050.66
9,UTTAR PRADESH,2020,2,108997,3103194,61077.58,72495,1327973,50721.89,171040,2231268,75259.66
10,BIHAR,2020,2,7044,382689,7122.08,6761,71828,2671.91,55198,712591,14553.5
11,SIKKIM,2020,2,116,3393,38.68,172,9024,2223.26,1555,28335,761.34
12,ARUNACHAL PRADESH,2020,2,138,3240,80.91,188,1595,67.6,2503,28328,489.64
13,NAGALAND,2020,2,86,1223,82.05,253,3172,75.57,2286,24471,544.61
14,MANIPUR,2020,2,55,5185,69.14,101,427,18.66,2425,38024,618.41
15,MIZORAM,2020,2,62,1101,38.62,100,764,156.59,1670,26770,424.18
16,TRIPURA,2020,2,984,24815,422.66,370,2012,186.13,3760,34592,748.45
17,MEGHALAYA,2020,2,326,13586,216.65,403,32003,585.97,3143,39347,719.88
18,ASSAM,2020,2,10611,395797,7116.23,9063,178735,5457.21,23517,293290,8775.15
19,WEST BENGAL,2020,2,38824,1317681,35999.84,37260,718100,27029.98,57911,1089065,33509.98
20,JHARKHAND,2020,2,8697,373200,8077.19,7391,195561,10454.01,24020,363706,10271.93
21,ODISHA,2020,2,12475,686668,13381.41,5413,234430,18518.26,29297,383487,13968.23
22,CHHATTISGARH,2020,2,5160,176001,4844.21,7700,169796,11289.45,22059,403516,11295.24
23,MADHYA PRADESH,2020,2,15772,393983,7938.1,18706,395593,17624.98,65292,852001,22667.64
24,GUJARAT,2020,2,120327,3270194,83063.07,122387,4164812,90013.02,121393,1497662,65023.77
25,DAMAN AND DIU,2020,2,1075,35403,914.16,1667,192311,4366.99,2210,77365,3653.67
26,DADRA AND NAGAR HAVELI,2020,2,1365,59243,2074.5,2000,258788,8848.96,2881,115122,6774.07
27,MAHARASHTRA,2020,2,122218,5090400,117283.65,102947,3408052,115567.44,182533,2495917,98226.6
29,KARNATAKA,2020,2,87260,3241152,54603.84,43457,1438430,45493.51,99914,1622308,49216.23
30,GOA,2020,2,1528,68457,982.67,1570,53992,3663.44,6719,107314,3473.48
31,LAKSHADWEEP,2020,2,1,1,0.01,2,5,0.06,47,438,6.67
32,KERALA,2020,2,34489,1130148,15974.44,13520,165732,7043.4,48604,653389,14602.55
33,TAMIL NADU,2020,2,76106,3382222,66692.86,65071,1811021,60307.68,100014,1548019,58859.83
34,PUDUCHERRY,2020,2,933,32500,834.57,1817,101543,2722.28,5092,96229,2281.75
35,ANDAMAN AND NICOBAR,2020,2,14,248,8.44,57,218,26.48,878,8665,232.6
36,TELANGANA,2020,2,36472,1530353,28572.31,29581,606374,23611.76,56365,916477,28654.69
37,ANDHRA PRADESH,2020,2,33336,1249296,21585.82,20814,415843,27278.14,63691,791040,26336.45
38,LADAKH,2020,2,5,28,0.87,3,13,0.24,79,278,6.1
97,Other Territory,2020,2,8,108,132.19,26,1979,869.77,494,10104,2432.1
1,JAMMU AND KASHMIR,2020,1,2373,86513,1575.61,1847,29122,1881.4,14748,145545,4394.1
2,HIMACHAL PRADESH,2020,1,6938,212949,4350.19,4690,248977,10145.4,18253,261482,8014.45
3,PUNJAB,2020,1,58563,1397984,31004.78,44375,747372,21495.15,61995,770837,24068.59
4,CHANDIGARH,2020,1,2125,24365,376.38,4710,69755,1300.97,7787,105785,2097.79
5,UTTARAKHAND,2020,1,10763,517830,8755.99,7617,329437,15660.93,21588,420160,12220.76
6,HARYANA,2020,1,62282,2514527,42664.05,54313,2521784,58154.31,87925,1722492,55995.48
7,DELHI,2020,1,56930,803058,30109.81,116615,1548215,38525.2,110749,1520564,43222.67
8,RAJASTHAN,2020,1,66062,1424757,30062.2,46384,1328222,29139.6,87832,1106757,31560.66
9,UTTAR PRADESH,2020,1,106284,3010200,59905.75,71009,1315442,51517.93,163981,2239366,80516.54
10,BIHAR,2020,1,6639,353379,6900.07,6494,64900,2473.43,52459,760213,13947.43
11,SIKKIM,2020,1,118,3557,41.96,171,9798,2195.74,1506,28181,814.17
12,ARUNACHAL PRADESH,2020,1,119,2812,50.9,185,1527,74.86,2394,26727,505.83
13,NAGALAND,2020,1,87,1003,40.72,228,2468,63.51,2217,22971,472.54
14,MANIPUR,2020,1,50,4989,75.97,94,438,13.93,2347,32778,552.22
15,MIZORAM,2020,1,57,1140,40.78,99,631,135.85,1560,24194,399.73
16,TRIPURA,2020,1,960,21672,386.37,340,2062,200.35,3724,32260,708.62
17,MEGHALAYA,2020,1,319,12687,211.51,378,34591,597.13,3163,36404,695.85
18,ASSAM,2020,1,10041,359243,6435.35,8847,165983,5079.72,22491,265026,8364.5
19,WEST BENGAL,2020,1,37443,1278449,35589.58,35965,666258,26885.53,56398,1049318,34037.37
20,JHARKHAND,2020,1,8215,377512,8625.86,7059,192921,11172.83,23110,376296,10462.64
21,ODISHA,2020,1,12206,701262,13694.84,5191,242686,18237.42,29061,382179,13216.9
22,CHHATTISGARH,2020,1,5133,187051,5038.01,7805,174738,11652.2,21811,390282,13184.33
23,MADHYA PRADESH,2020,1,15852,395801,8335.46,18491,385432,17738.79,64863,852546,23567.36
24,GUJARAT,2020,1,119070,3366521,86692.83,121169,4116895,90018.64,121749,1512702,72173.96
25,DAMAN AND DIU,2020,1,1093,37654,1077.98,1657,195315,4532.63,2189,80080,3952.79
26,DADRA AND NAGAR HAVELI,2020,1,1356,60951,2041.32,1986,274471,9140.51,2896,119314,7163.15
27,MAHARASHTRA,2020,1,121431,5240843,121686.88,102297,3406424,116798.28,183441,2520935,101316.69
29,KARNATAKA,2020,1,86272,3272094,55395.62,43491,1435925,45394.46,98582,1625997,50007.08
30,GOA,2020,1,1531,75498,1076.24,1528,55646,3718.08,6794,106703,3406.3
31,LAKSHADWEEP,2020,1,0,0,0,1,2,1.1,44,478,7.21
32,KERALA,2020,1,34377,1211935,17548.39,13488,168606,7283.64,48402,674591,15137.76
33,TAMIL NADU,2020,1,73540,3200776,64165.02,63526,1685248,59387.53,98507,1458501,61323.4
34,PUDUCHERRY,2020,1,895,30057,762.14,1720,93959,2690.87,5113,92856,2377.75
35,ANDAMAN AND NICOBAR,2020,1,12,286,11.23,62,270,30.75,860,8876,278.83
36,TELANGANA,2020,1,35074,1464396,28762.19,29020,608113,24616.58,55362,934164,28742.26
37,ANDHRA PRADESH,2020,1,32210,1267827,22100.15,20384,404336,26311.42,62436,734007,28143.65
38,LADAKH,2020,1,3,20,0,2,14,0,45,107,2.55
97,Other Territory,2020,1,8,127,150.43,26,1741,758.75,516,8679,1688.54
1,JAMMU AND KASHMIR,2019,12,1958,76706,1395.86,1681,29603,1925.24,15898,158332,4184.96
2,HIMACHAL PRADESH,2019,12,6975,226634,4359.42,4738,250913,9997.2,18905,268288,7903.65
3,PUNJAB,2019,12,58386,1416637,30011.2,46440,819687,21774.6,62077,761293,24573.62
4,CHANDIGARH,2019,12,2068,24814,396.57,4666,70251,1318.24,7799,108880,2219.52
5,UTTARAKHAND,2019,12,10615,474816,8084.51,7635,327283,15006.03,21460,406082,11522.08
6,HARYANA,2019,12,61536,2405557,41462.61,53872,2360711,57613.58,86449,1632506,51973.04
7,DELHI,2019,12,55284,780054,29224.51,114843,1496975,36410.58,108348,1382592,41683.83
8,RAJASTHAN,2019,12,66017,1504669,31029.14,46201,1280667,29035.91,87339,1079966,31317.83
9,UTTAR PRADESH,2019,12,102139,2834439,55951.98,69325,1250230,48352.54,158828,2048809,61021.61
10,BIHAR,2019,12,6354,362404,6942.6,6340,63721,2509.87,48676,562529,13188.56
11,SIKKIM,2019,12,112,3751,44.44,172,9038,2248.09,1436,27409,769.53
12,ARUNACHAL PRADESH,2019,12,111,2552,39.72,168,1185,61.44,2260,23657,405.15
13,NAGALAND,2019,12,80,803,30.02,241,2381,79.27,2066,19691,445.79
14,MANIPUR,2019,12,46,4444,66.91,65,236,9.63,2164,31745,529.86
15,MIZORAM,2019,12,51,1187,67.77,88,884,162.7,1474,24124,365.83
16,TRIPURA,2019,12,918,21622,378.46,332,2119,248.9,3505,29586,706
17,MEGHALAYA,2019,12,274,11970,165.17,331,27814,491.96,2809,32024,638.02
18,ASSAM,2019,12,9263,302285,5568.7,8028,153977,4859.52,20538,227097,7835.99
19,WEST BENGAL,2019,12,36250,1276706,35113.26,35324,624974,25510.29,55740,963202,33251.45
20,JHARKHAND,2019,12,7997,367058,8056.78,6873,197541,10272.75,22287,329829,9883.97
21,ODISHA,2019,12,11913,691294,12477.64,5235,223875,17857.97,28261,371908,13868.24
22,CHHATTISGARH,2019,12,4897,185652,4782.86,7495,170428,11156.17,21429,367192,9921.01
23,MADHYA PRADESH,2019,12,15433,384233,8388.84,18411,388214,18074.07,63672,788583,22697.04
24,GUJARAT,2019,12,117427,3386352,87581.86,120011,3788951,89851.86,120724,1502452,66766.46
25,DAMAN AND DIU,2019,12,1090,37175,1075.33,1674,191028,4669.33,2236,80568,4790.41
26,DADRA AND NAGAR HAVELI,2019,12,1312,59320,2069.78,1979,274682,9386.36,2842,117190,6929.95
27,MAHARASHTRA,2019,12,116701,4921122,117116.63,100388,3295539,104808.06,180119,2453531,98503.36
29,KARNATAKA,2019,12,84215,3180236,54581.44,43269,1421514,46220.14,97395,1563700,48496.52
30,GOA,2019,12,1511,72853,1005.25,1491,51354,3559.96,6777,102250,3444.57
31,LAKSHADWEEP,2019,12,0,0,0,0,0,0,44,374,11.47
32,KERALA,2019,12,33733,1165294,16853.64,13188,164329,7566.01,47895,695412,14678.99
33,TAMIL NADU,2019,12,73205,3237917,64066.05,63962,1723096,61929.13,100364,1569380,62516.49
34,PUDUCHERRY,2019,12,941,31414,988.45,1742,102197,3088.85,5199,96083,2556.55
35,ANDAMAN AND NICOBAR,2019,12,12,187,5.91,51,153,15.2,811,8964,237.84
36,TELANGANA,2019,12,32846,1396777,27249.17,28621,622112,24766.86,55128,918515,28664.22
37,ANDHRA PRADESH,2019,12,32633,1307841,22873.91,20066,406018,27074.98,66539,923351,28266.45
97,Other Territory,2019,12,5,129,68.76,25,1848,697.9,692,8749,1713.67
1,JAMMU AND KASHMIR,2019,11,2081,85241,1558.94,1685,29108,1903.13,17280,186698,4515.89
2,HIMACHAL PRADESH,2019,11,6959,234294,4380.59,4757,258209,10032.2,20624,282829,7815.03
3,PUNJAB,2019,11,57771,1406179,29028.52,47804,951549,22287.42,62490,761231,23092.6
4,CHANDIGARH,2019,11,2047,24218,349.57,4765,72348,1265.13,8059,110322,2074.22
5,UTTARAKHAND,2019,11,10506,517989,11633.14,7554,325003,14714.8,22966,416219,12789.69
6,HARYANA,2019,11,61441,2359428,40493.52,54039,2318797,55252.9,87938,1578581,49393.99
7,DELHI,2019,11,55438,779378,28764.83,116989,1601844,36144.34,109840,1447289,41089.6
8,RAJASTHAN,2019,11,64518,1464990,29999.75,45540,1198204,27270.56,89420,1076717,32047.52
9,UTTAR PRADESH,2019,11,104967,3043028,57907,70360,1236569,46616.58,167244,2052507,61893.23
10,BIHAR,2019,11,6312,358766,7048.43,5939,58467,2120.66,51617,525178,13403.62
11,SIKKIM,2019,11,113,3721,47.26,168,9287,2399.63,1552,28593,785.14
12,ARUNACHAL PRADESH,2019,11,121,2908,44.85,216,1574,75.61,2833,29628,483.68
13,NAGALAND,2019,11,82,886,39.27,230,2150,70.14,2452,23709,537.53
14,MANIPUR,2019,11,52,4339,62.81,104,508,21.91,2382,36521,606.09
15,MIZORAM,2019,11,21,730,13.91,73,379,26.3,1778,26973,443.42
16,TRIPURA,2019,11,927,24208,416.74,388,2495,244.84,3938,34062,709.88
17,MEGHALAYA,2019,11,291,11635,209.13,376,28162,484.32,3361,40164,753.72
18,ASSAM,2019,11,10460,383039,6736.89,9125,184310,5858.22,23858,262491,8423.21
19,WEST BENGAL,2019,11,37277,1283832,35187.91,36519,649465,26087.91,58052,915398,32678.45
20,JHARKHAND,2019,11,8002,350537,7578.58,6911,177745,9699.84,23455,312776,9805.89
21,ODISHA,2019,11,11649,653303,11623.5,5147,200532,18174.04,28344,341178,12810.65
22,CHHATTISGARH,2019,11,4833,181973,4656.82,7362,162008,10358.08,21316,313059,9089.05
23,MADHYA PRADESH,2019,11,15360,373800,8112.28,18262,377397,17114.34,65167,761316,22362.9
24,GUJARAT,2019,11,111212,3001222,75753.01,114907,3226326,84076.73,117439,1417453,67216.28
25,DAMAN AND DIU,2019,11,1059,35303,975.93,1624,182014,4192.85,2205,75581,3596.61
26,DADRA AND NAGAR HAVELI,2019,11,1256,54991,1892.55,1932,251663,8446.96,2848,109473,6416.41
27,MAHARASHTRA,2019,11,115330,4671961,109734.92,99230,3067827,95914.38,178404,2269764,93175.03
29,KARNATAKA,2019,11,83251,3000476,51428.69,42870,1303704,42672.23,95818,1458964,46053.32
30,GOA,2019,11,1506,69416,977.35,1553,51634,3253.35,7092,106279,3316.58
31,LAKSHADWEEP,2019,11,0,0,0,2,2,0.73,50,386,12.96
32,KERALA,2019,11,34027,1121476,15850.98,13553,162983,7157.29,48569,613631,14079.53
33,TAMIL NADU,2019,11,72885,3245499,62908.28,64216,1679001,58915.51,98143,1386182,55856.64
34,PUDUCHERRY,2019,11,897,29829,848.23,1781,96886,2739.2,5195,91583,2395.76
35,ANDAMAN AND NICOBAR,2019,11,9,239,8,55,227,26.88,945,9077,217.62
36,TELANGANA,2019,11,29406,1212885,22219.9,27186,553189,22220.4,53818,816233,26711.73
37,ANDHRA PRADESH,2019,11,30663,1194557,19977.9,19702,385216,25577.39,64356,805431,27208.53
97,Other Territory,2019,11,3,45,160.25,23,2360,1371.3,651,8469,1884.32
1,JAMMU AND KASHMIR,2019,10,2220,86320,1628.43,1685,28228,1929.18,16767,199361,4489.65
2,HIMACHAL PRADESH,2019,10,7128,241392,4430.11,4689,248559,9562.12,21675,289848,7994.84
3,PUNJAB,2019,10,56596,1446370,29465.73,47334,977679,22795.84,63677,835529,23413.42
4,CHANDIGARH,2019,10,2104,28641,432.62,4852,75677,1295.29,8157,120323,2305.85
5,UTTARAKHAND,2019,10,10368,478405,8694.85,7181,311591,14635.93,23406,396544,12469.99
6,HARYANA,2019,10,60979,2298665,39645.9,53492,2319117,54698.86,88618,1637896,50598.92
7,DELHI,2019,10,56194,835362,29824.2,118339,1629612,35064.67,111856,1629143,42553.16
8,RAJASTHAN,2019,10,65324,1515969,29853.36,45236,1248456,26562.37,92529,1109874,31149.85
9,UTTAR PRADESH,2019,10,105089,2997615,58570.07,69961,1238049,48790.15,166400,2263717,64113.72
10,BIHAR,2019,10,6200,371253,7516.13,5633,51695,1978.56,50824,597949,12897.28
11,SIKKIM,2019,10,99,2933,36.8,156,7362,1781.75,1510,24355,683.34
12,ARUNACHAL PRADESH,2019,10,112,2258,36.91,176,1307,64.61,2704,27145,411.25
13,NAGALAND,2019,10,74,786,33.14,227,1371,53.68,2298,21052,431.21
14,MANIPUR,2019,10,47,4315,68.66,85,357,12.2,2389,34943,563.36
15,MIZORAM,2019,10,22,866,12.92,52,243,12.83,1652,25856,382.63
16,TRIPURA,2019,10,834,17628,309.97,319,1867,171.2,3424,28248,627.26
17,MEGHALAYA,2019,10,270,9748,193.22,358,24099,404.2,3178,38359,761.15
18,ASSAM,2019,10,9833,349819,6273.77,8700,165515,5333.28,22801,241191,7720.38
19,WEST BENGAL,2019,10,33871,1068672,30088.44,33616,581558,23324.32,54231,863497,30320.15
20,JHARKHAND,2019,10,7457,308857,6765.02,6082,151482,8505.92,22932,289040,8988.2
21,ODISHA,2019,10,11456,634623,11762.78,4836,169816,16645.19,26411,311977,12185.54
22,CHHATTISGARH,2019,10,4766,173009,4376.72,6962,143201,9305.46,21481,299324,9279.51
23,MADHYA PRADESH,2019,10,14985,360023,7970.98,17721,350654,15274.17,64934,771601,21595.96
24,GUJARAT,2019,10,112180,2826782,68590.49,118995,4054270,84792.89,113006,1331331,60737.41
25,DAMAN AND DIU,2019,10,1091,32644,850.49,1663,172107,3921.92,2273,69981,4936.66
26,DADRA AND NAGAR HAVELI,2019,10,1274,52898,1803.49,1937,221424,7714.42,2874,103355,6163.82
27,MAHARASHTRA,2019,10,115418,4588478,105754.28,97972,3008823,91431.37,181986,2406137,92934.65
29,KARNATAKA,2019,10,80789,2902228,50152.12,41695,1319697,40569.27,93513,1485804,46205.94
30,GOA,2019,10,1393,63343,967.84,1457,49644,3175.3,7019,97037,2990.93
31,LAKSHADWEEP,2019,10,1,2,3.48,1,1,0.01,43,333,6.84
32,KERALA,2019,10,32406,1030350,14235.27,13120,160931,6413.23,45999,592849,13221.54
33,TAMIL NADU,2019,10,72376,3147361,61058.54,62832,1615517,57124.37,99840,1477047,54515.42
34,PUDUCHERRY,2019,10,904,30410,959.64,1749,92391,2590.09,5318,94731,2245.82
35,ANDAMAN AND NICOBAR,2019,10,9,158,12.77,60,338,31.65,912,8340,210.93
36,TELANGANA,2019,10,26927,1170102,21047.23,24223,514891,19913.39,52033,814673,25599.05
37,ANDHRA PRADESH,2019,10,29167,1154969,19168.75,18854,347189,24596.28,60924,687269,25564.23
97,Other Territory,2019,10,4,49,59.34,19,1958,1215.01,648,7720,1938.38
1,JAMMU AND KASHMIR,2019,9,2376,87262,1627.65,1592,29813,2219.71,14103,147501,4017.25
2,HIMACHAL PRADESH,2019,9,6897,245509,4528.11,4795,264720,10341.52,21068,294454,7891.18
3,PUNJAB,2019,9,53120,1318286,27812.14,46160,904146,22127,62485,790358,23590.31
4,CHANDIGARH,2019,9,2102,26762,401.11,4818,74773,1299.42,8003,113068,2177.59
5,UTTARAKHAND,2019,9,10390,483854,8137.47,7362,320297,14874.51,22881,397492,11509.1
6,HARYANA,2019,9,60744,2411934,42155.29,53556,2302566,55064.14,88430,1636296,55074.09
7,DELHI,2019,9,56874,829192,27051.46,118952,1703021,35842.39,112279,1569926,42789.92
8,RAJASTHAN,2019,9,62483,1379449,26484.25,45142,1220764,26162.21,87433,1034162,30244.78
9,UTTAR PRADESH,2019,9,101837,2817118,56639.07,69359,1257516,53871.01,161214,2043834,67348.2
10,BIHAR,2019,9,6128,326733,6714.17,6063,56545,1893.53,52542,690621,13305.09
11,SIKKIM,2019,9,108,3642,42.15,167,9420,2312.99,1574,28922,719.21
12,ARUNACHAL PRADESH,2019,9,112,2409,40.4,178,1365,68.16,2732,28301,418.37
13,NAGALAND,2019,9,81,782,30.03,228,1778,72.58,2395,22581,467.11
14,MANIPUR,2019,9,50,3788,63.71,104,471,14.64,2452,35954,591.96
15,MIZORAM,2019,9,19,793,10.53,79,364,58.2,1596,24720,362.78
16,TRIPURA,2019,9,850,21208,333.47,327,1819,159.34,4054,35364,713.02
17,MEGHALAYA,2019,9,284,9833,156.45,381,26646,454.83,3274,39404,715.64
18,ASSAM,2019,9,10468,376251,6712.73,8972,174905,5374.6,25433,286316,8564.6
19,WEST BENGAL,2019,9,37613,1260269,35404.36,37378,706644,26252.23,57909,1017471,35414.77
20,JHARKHAND,2019,9,7565,353268,7017.6,6076,173066,8990.97,24496,326353,9620.55
21,ODISHA,2019,9,11649,572438,11267.82,5016,168209,16979.86,27667,357267,12659.94
22,CHHATTISGARH,2019,9,4708,154507,4248.45,7041,149737,9053.94,21694,312450,9353.61
23,MADHYA PRADESH,2019,9,13923,285545,6227.06,17704,364977,15790.56,61848,687123,19814.64
24,GUJARAT,2019,9,109954,2830146,68653.23,117120,3803358,85175.17,116440,1370147,65480.22
25,DAMAN AND DIU,2019,9,1107,34513,950.49,1650,179591,4321.11,2277,72487,3485.05
26,DADRA AND NAGAR HAVELI,2019,9,1276,56105,1783.47,1926,240521,8477.6,2836,105659,6183.82
27,MAHARASHTRA,2019,9,114219,4432991,105185.26,98186,3153604,97101.46,177988,2340624,95144.44
29,KARNATAKA,2019,9,81226,2849655,50656.94,42269,1358923,42042.23,93432,1526226,48212.98
30,GOA,2019,9,1352,52361,848.69,1430,47286,3228.62,6444,92549,2803.21
31,LAKSHADWEEP,2019,9,1,1,0.24,1,1,0.01,38,260,11.23
32,KERALA,2019,9,31165,981452,14215.58,12733,153567,6138.38,45438,548032,13698.62
33,TAMIL NADU,2019,9,73859,3172739,63983.38,63334,1635102,59145.63,101953,1700303,58648.61
34,PUDUCHERRY,2019,9,917,31633,1822.15,1767,92830,2791.35,5318,101981,2611.91
35,ANDAMAN AND NICOBAR,2019,9,9,162,5.24,67,181,21.41,886,8664,183.38
36,TELANGANA,2019,9,27340,1102042,21608.8,24298,505046,20950.6,53871,896056,27648.57
37,ANDHRA PRADESH,2019,9,29091,1084817,19024.86,18806,343309,23675.21,60597,675768,25652.09
97,Other Territory,2019,9,4,53,19.01,19,2052,903.3,540,7743,1112.94
1,JAMMU AND KASHMIR,2019,8,3351,93174,1674.56,1480,27989,2266.99,12411,107628,3520.82
2,HIMACHAL PRADESH,2019,8,6745,226419,4239.06,4704,255040,9935.23,18498,274166,7738.28
3,PUNJAB,2019,8,47904,1153924,25497.22,43150,773560,20606.38,59185,723804,22543.58
4,CHANDIGARH,2019,8,2048,26774,406.64,4676,73481,1253.33,7760,105758,2071.64
5,UTTARAKHAND,2019,8,10025,457775,8788.51,7188,314306,14599.04,21346,371250,10857.73
6,HARYANA,2019,8,58226,2244517,38898.71,51983,2081575,51305.55,84313,1482335,50607.85
7,DELHI,2019,8,54975,783944,26194.02,114460,1540366,33502.04,109145,1425951,40342.01
8,RAJASTHAN,2019,8,59501,1286055,24938.05,43219,1133443,25019.55,80492,923351,28848.11
9,UTTAR PRADESH,2019,8,98349,2796736,54106.54,66320,1166448,47743.3,151314,1802511,63728.04
10,BIHAR,2019,8,6043,341071,6756.57,5872,56995,2005.73,47597,573506,12541.88
11,SIKKIM,2019,8,108,3671,43.79,163,9449,2257.95,1479,27476,732.98
12,ARUNACHAL PRADESH,2019,8,106,2229,39.32,167,1158,58.71,2516,25290,425.98
13,NAGALAND,2019,8,71,678,20.52,234,1884,72.46,2290,21952,452.19
14,MANIPUR,2019,8,48,2968,50.94,86,288,10.21,2364,34168,562.13
15,MIZORAM,2019,8,19,666,9.92,99,883,235.13,1599,23811,355.46
16,TRIPURA,2019,8,778,18064,300.26,305,1919,177.4,4323,42235,780.04
17,MEGHALAYA,2019,8,279,9506,166.34,362,25215,422.6,3188,38462,681.05
18,ASSAM,2019,8,9991,375892,6565.97,8479,169041,5601.79,24944,304884,8484.89
19,WEST BENGAL,2019,8,37280,1226704,33806.4,36512,650330,26566.51,58169,1074585,34187.63
20,JHARKHAND,2019,8,7691,378580,7015.61,6244,157855,9532.2,23061,319252,9284.14
