State Cd,State,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21
01,Jammu and Kashmir,32.69,101.31, 144.00 , 277.35 , 238.84 , 293.85 , 401.26 , 299.75 , 311.41 ,290.92,243.67,251.49
02,Himachal Pradesh,13.61,45.92, 79.40 , 166.39 , 157.45 , 167.95 , 207.21 , 167.55 , 198.76 ,183.70,130.66,120.93
03,Punjab,54.34,273.36, 361.60 , 613.75 , 530.12 , 571.51 , 522.76 , 518.96 , 535.53 ,619.66,543.03,576.98
04,Chandigarh,4.58,21.47, 36.10 , 71.38 , 57.84 , 68.86 , 57.15 , 70.30 , 81.94 ,72.73,67.98,73.15
05,Uttarakhand,25.81,30.83, 111.40 , 63.66 , 92.26 , 113.72 , 59.45 , 85.02 , 120.20 ,110.36,118.97,82.82
06,Haryana,-15.77,345.25, 521.70 , 667.01 , 513.17 , 535.04 ," 1,368.22 ", 277.05 , 472.21 ,640.14,394.00,399.11
07,Delhi,80.07,585.58, 329.00 , 685.13 , 528.08 , 481.73 , 613.03 , 444.10 , 412.11 ,562.67,606.24,752.25
08,Rajasthan,113.55,332.77, 539.00 , 905.99 , 852.97 , 861.23 , 885.89 , 874.65 , 918.81 ,939.32,861.51,821.82
09,Uttar Pradesh,318.24,990.99," 1,218.20 "," 2,320.86 "," 1,838.22 "," 1,984.44 "," 2,018.46 "," 1,940.07 "," 2,357.26 ",2365.83,2153.64,2074.12
10,Bihar,104.59,422.53, 539.10 ," 1,057.60 ", 758.69 , 992.12 ," 1,057.78 ", 887.69 , 992.87 ,1027.56,886.63,876.30
11,Sikkim,1.54,4.96, 10.90 , 20.15 , 15.33 , 20.58 , 25.92 , 23.64 , 23.31 ,27.55,23.36,21.96
12,Arunachal Pradesh,8.41,18.39, 23.20 , 44.32 , 31.11 , 41.55 , 66.15 , 43.89 , 57.00 ,64.52,62.64,53.96
13,Nagaland,6.68,14.19, 23.50 , 38.00 , 29.27 , 39.30 , 64.52 , 40.00 , 50.37 ,49.50,51.38,44.98
14,Manipur,6.56,28.75, 25.20 , 57.43 , 27.50 , 56.36 , 82.43 , 63.11 , 74.06 ,71.91,65.40,65.17
15,Mizoram,8.32,14.21, 24.00 , 37.76 , 29.60 , 31.41 , 43.50 , 35.57 , 48.49 ,42.89,44.42,42.57
16,Tripura,4.21,23.85, 35.20 , 70.68 , 46.27 , 68.60 , 66.94 , 66.16 , 60.24 ,60.18,57.15,53.04
17,Meghalaya,4.47,12.54, 21.80 , 44.48 , 34.49 , 43.63 , 61.66 , 45.35 , 59.07 ,53.60,49.46,45.39
18,Assam,47.30,171.49, 226.80 , 324.65 , 275.84 , 395.84 , 502.41 , 432.24 , 413.67 ,483.79,428.23,451.02
19,West Bengal,155.14,438.46, 503.20 , 835.69 , 772.41 , 843.41 ," 1,083.81 "," 1,003.50 ", 922.15 ,1029.19,877.54,879.17
20,Jharkhand,44.14,108.36, 154.30 , 228.39 , 236.40 , 285.57 , 306.04 , 308.83 , 284.21 ,256.89,153.31,154.16
21,Odisha,59.76,231.25, 319.50 , 435.59 , 286.92 , 437.49 , 480.84 , 477.89 , 414.42 ,516.12,441.03,378.93
22,Chhattisgarh,92.83,136.49, 77.10 , 175.60 , 122.46 , 174.61 , 220.12 , 224.26 , 253.62 ,181.14,151.80,113.01
23,Madhya Pradesh,101.97,360.83, 455.20 ," 1,011.53 ", 785.55 , 854.66 , 979.95 , 979.35 ," 1,019.66 ",837.88,827.43,868.71
24,Gujarat,35.96,491.26, 357.40 , 613.87 , 396.57 , 452.50 , 470.52 , 456.91 , 475.48 ,748.64,788.95,708.53
25,Daman and Diu,1.41,6.18, (1.50), 2.87 , (3.45), 0.91 , (0.40), 0.34 , 0.36 ,0.76,0.22,-0.40
26,Dadra and Nagar Haveli,11.14,4.6, 5.60 , 2.59 , 6.57 , 33.77 , 12.13 , 2.89 , 6.82 ,18.63,37.68,-1.31
27,Maharashtra,-330.74,1085.29," 1,339.40 "," 2,113.70 "," 1,258.26 "," 1,412.56 "," 1,562.87 "," 1,378.53 "," 1,960.56 ",1792.99,2006.22,1989.46
29,Karnataka,264.53,724.82, 960.80 ," 1,616.12 "," 1,389.08 "," 1,478.80 "," 1,656.45 "," 1,336.70 "," 1,227.45 ",1505.31,1445.05,1390.41
30,Goa,6.21,30.62, 58.00 , 57.15 , 45.88 , 45.43 , 68.47 , 63.01 , 68.29 ,88.83,80.21,65.90
31,Lakshadweep,0.54,1.09, 0.80 , 1.81 , 1.68 , 2.51 , 1.20 , 1.67 , 1.94 ,1.96,2.05,1.44
32,Kerala,73.47,326.36, 520.60 , 872.43 , 733.74 , 938.67 ," 1,025.88 ", 865.18 , 999.09 ,1002.75,1017.79,967.09
33,Tamil Nadu,150.29,745.62, 890.10 ," 1,294.72 ", 663.69 ," 1,008.72 "," 1,115.56 ", 937.30 , 987.48 ,1488.96,946.81,983.99
34,Puducherry,-0.13,12.02, 17.50 , 31.49 , 25.53 , 33.50 , 38.65 , 35.68 , 43.29 ,40.03,36.77,33.08
35,Andaman and Nicobar Islands,2.31,7.54, 14.10 , 20.26 , 13.85 , 21.29 , 25.89 , 20.33 , 21.00 ,20.19,20.33,18.63
