State Cd,State,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22
01,Jammu and Kashmir, 364.38 , 181.41 , 246.87 , 431.26 , 378.82 , 350.45 , 337.46 , 343.88 , 305.48 , 405.97 , 304.34 ,332.06
02,Himachal Pradesh, 232.04 , 77.10 , 129.26 , 291.80 , 224.67 , 195.56 , 230.62 , 216.70 , 174.68 , 256.52 , 169.67 ,203.68
03,Punjab, 753.15 , 409.22 , 676.75 , 858.18 , 848.69 , 798.01 , 628.57 , 672.83 , 647.74 , 813.98 , 790.15 ,749.28
04,Chandigarh, 96.33 , 40.33 , 54.04 , 93.58 , 102.60 , 91.47 , 92.28 , 102.87 , 82.00 , 117.90 , 88.05 ,104.55
05,Uttarakhand, 160.69 , 88.14 , 136.92 , 208.61 , 177.29 , 150.36 , 143.34 , 190.04 , 116.75 , 179.38 , 204.85 ,175.67
06,Haryana, 827.76 , 241.32 , 988.49 , 846.85 ," 1,008.08 ", 868.60 ," 1,075.60 ", 787.78 , 631.59 , 9.25 , 724.89 ,685.83
07,Delhi, 949.77 , 366.99 , 366.51 , 637.42 ," 1,076.24 "," 1,127.32 ", 848.97 ," 1,011.18 "," 1,054.35 "," 1,123.27 ", 817.31 ,1206.10
08,Rajasthan," 1,115.94 ", 566.57 , 810.93 ," 1,307.05 "," 1,185.34 "," 1,177.36 "," 1,334.57 "," 1,287.38 "," 1,085.65 "," 1,336.73 "," 1,208.15 ",1258.40
09,Uttar Pradesh," 2,683.16 "," 1,552.77 "," 2,106.47 "," 2,849.88 "," 2,602.92 "," 2,631.73 "," 2,205.06 "," 2,587.51 "," 2,418.51 "," 2,771.14 "," 2,777.03 ",2689.38
10,Bihar," 1,090.86 ", 682.71 , 853.07 ," 1,355.19 "," 1,147.20 ", 968.13 , 997.54 ," 1,030.14 ", 919.68 ," 1,114.59 "," 1,048.97 ",1097.91
11,Sikkim, 33.51 , 19.23 , 19.87 , 32.08 , 32.26 , 36.06 , 30.69 , 31.08 , 29.03 , 39.88 , 33.07 ,40.91
12,Arunachal Pradesh, 63.21 , 44.17 , 41.48 , 81.88 , 73.25 , 58.05 , 65.40 , 57.47 , 61.54 , 82.05 , 82.24 ,78.41
13,Nagaland, 55.45 , 26.98 , 33.87 , 55.52 , 74.43 , 55.70 , 53.39 , 54.22 , 52.18 , 64.33 , 55.42 ,52.58
14,Manipur, 65.80 , 33.73 , 42.54 , 71.45 , 73.25 , 69.63 , 72.96 , 74.34 , 71.66 , 86.60 , 75.99 ,87.16
15,Mizoram, 58.35 , 21.89 , 28.56 , 53.42 , 44.00 , 38.23 , 40.57 , 49.19 , 43.11 , 63.65 , 52.78 ,62.38
16,Tripura, 79.51 , 45.36 , 55.97 , 76.33 , 70.68 , 63.29 , 70.60 , 66.78 , 66.86 , 85.20 , 77.14 ,76.84
17,Meghalaya, 60.96 , 29.80 , 33.73 , 60.09 , 70.93 , 71.66 , 64.13 , 58.89 , 57.16 , 81.28 , 71.35 ,63.70
18,Assam, 512.73 , 319.15 , 401.71 , 486.09 , 440.24 , 447.38 , 429.21 , 466.64 , 430.82 , 558.22 , 497.83 ,523.78
19,West Bengal," 1,130.54 ", 723.47 , 782.56 ," 1,047.21 "," 1,106.56 "," 1,217.68 "," 1,024.78 ", 928.66 , 862.42 ," 1,125.70 "," 1,116.06 ",1257.88
20,Jharkhand, 150.03 , 109.99 , 204.22 , 348.34 , 334.69 , 274.71 , 293.61 , 290.95 , 288.13 , 247.32 , 165.45 ,111.01
21,Odisha, 578.74 , 160.72 , 201.91 , 330.38 , 423.26 , 301.24 , 384.93 , 298.89 , 219.41 , 316.45 , 122.99 ,209.24
22,Chhattisgarh, 137.57 , 31.52 , 94.28 , 232.94 , 326.37 , 206.86 , 227.97 , 109.56 , 186.15 , 175.31 , 192.64 ,192.10
23,Madhya Pradesh," 1,051.59 ", 609.79 , 785.85 ," 1,330.32 "," 1,098.56 "," 1,008.57 "," 1,024.93 "," 1,124.02 ", 950.57 ," 1,111.42 ", 973.06 ,1013.98
24,Gujarat, 956.07 , 594.25 , 793.00 ," 1,188.75 "," 1,326.18 "," 1,162.70 "," 1,048.04 ", 798.78 ," 1,139.42 "," 1,408.84 "," 1,179.74 ",1449.46
25,Daman and Diu, 0.26 , 0.14 , 0.16 , 0.09 , 0.09 , 24.67 , 0.13 , 0.16 , (0.04), 0.27 , 0.08 ,0.21
26,Dadra and Nagar Haveli, 37.01 , (2.54), 16.91 , 41.17 , 59.12 , 53.45 , 23.50 , 24.75 , 22.83 , 13.43 , 36.29 ,79.69
27,Maharashtra," 1,978.05 ", 699.32 ," 1,930.25 "," 2,568.56 "," 2,732.93 "," 2,825.03 "," 2,531.82 "," 2,631.56 "," 3,207.45 "," 3,330.68 "," 2,273.46 ",3249.47
29,Karnataka," 2,040.48 "," 1,056.29 "," 1,250.66 "," 1,886.47 "," 2,068.21 "," 2,340.56 "," 2,159.70 "," 2,292.27 "," 1,451.79 "," 1,875.23 "," 1,857.08 ",2156.07
30,Goa, 115.88 , 49.81 , 69.17 , 89.95 , 85.60 , 93.19 , 99.15 , 99.34 , 194.47 , 122.82 , 108.91 ,114.24
31,Lakshadweep, 2.12 , 0.97 , 1.40 , 2.67 , 4.12 , 1.86 , 2.40 , 1.35 , 1.43 , 1.87 , 1.25 ,1.91
32,Kerala," 1,222.26 ", 566.13 , 670.03 ," 1,088.27 "," 1,119.91 "," 1,257.80 "," 1,050.16 "," 1,110.40 "," 1,014.90 "," 1,199.76 "," 1,196.26 ",1194.89
33,Tamil Nadu," 1,590.87 ", 846.41 ," 1,263.78 "," 1,476.07 "," 1,554.22 "," 1,499.48 "," 1,319.87 "," 1,265.79 "," 1,175.47 "," 1,533.36 "," 1,334.54 ",2027.75
34,Puducherry, 47.21 , 12.77 , 30.77 , 50.89 , 60.35 , 46.72 , 40.87 , 43.27 , 36.51 , 46.31 , 38.65 ,41.25
35,Andaman and Nicobar Islands, 20.83 , 8.71 , 10.85 , 24.09 , 17.60 , 18.54 , 19.52 , 18.57 , 21.65 , 24.24 , 20.93 ,26.01
36,Telangana," 1,254.17 ", 764.26 , 925.42 ," 1,260.63 "," 1,452.19 "," 1,301.95 "," 1,193.87 "," 1,281.30 "," 1,138.95 "," 1,254.34 "," 1,303.87 ",1496.10
37,Andhra Pradesh," 1,186.29 ", 639.26 , 852.87 ," 1,286.18 "," 1,196.98 "," 1,268.20 "," 1,169.08 "," 1,202.61 ", 912.45 ," 1,173.44 ", 883.72 ,895.18
38,Ladakh, 9.55 , 3.00 , 12.09 , 29.54 , 24.79 , 25.05 , 38.02 , 30.02 , 17.35 , 19.58 , 10.26 ,7.57
97,Other Territory, 42.91 , 31.68 , 16.02 , 20.33 , 16.54 , 12.65 , 20.35 , 12.97 , 11.51 , 9.88 , 14.73 ,19.69
