Code,State,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
1,Jammu and Kashmir,150.8,244.63,109.02,4.42,60.74,93.22,74.39,3.68,75.58,123.78,95.25,5.13,112.07,182.95,129.4,7.36,102.62,154.29,126.34,8.57,106.98,162.33,101.08,6.79,240.44,298.35,104.66,4.89,110.59,161.09,107.35,3.79,95.92,143.84,78.84,1.4,112.93,198.36,91.16,2.23,96.86,136.46,90.67,2.43,112.42,166.71,85.65,3.62
2,Himachal Pradesh,142.41,196.7,423.87,0.87,75.16,109.61,354.68,0.63,87.31,119.87,311.13,0.78,120.78,184.6,360.38,0.89,115.23,173.99,414.16,0.79,108.43,157.13,413.32,1.04,110.72,159.76,417.79,1.16,123.57,188.6,446.86,2.91,138.91,192.97,328.79,1.51,127.19,194.38,368.83,4.45,108.59,155.48,392.19,0.98,122.83,163.5,396.68,0.89
3,Punjab,466.4,728.68,708.49,20.53,288.27,462.95,493.13,21.43,274.91,410.85,407.81,17.56,398.27,597.68,516.73,20.35,363.17,529.76,502.94,18.27,338.76,518.5,526.24,18.66,410.27,606.44,560.87,17.86,463.04,704.95,655.52,21.71,381.23,563.43,616.46,11.4,422.29,659.09,583.15,25.75,367.37,516.98,584.59,11.21,412.6,596.47,545.33,17.47
4,Chandigarh,35.28,48.97,118.23,0.81,21.68,25.5,81.57,1.21,21.01,28.42,69.64,1.38,30.58,42.03,95.92,0.38,27.83,38.4,77.52,0.41,28.35,39.18,84.08,0.72,28.46,38.62,89.38,1.34,35.87,48.94,92.55,2.3,32.09,47.47,83.8,0.7,37.91,59.54,93.8,4.71,32.88,45.79,98.79,0.82,33.91,43.75,105.71,0.38
5,Uttarakhand,256.16,389.9,761.4,14.47,156.33,224.74,503.27,9.07,154.89,209.14,332.49,5.77,226.84,313.22,558.27,7.3,213.29,303.17,566.18,6.84,211.78,288.42,626.13,4.33,222.92,355.77,678.11,2.53,233.41,356.99,665.76,7.11,211.9,317.91,539.13,7.57,242.6,360.92,693.35,9.22,226.34,332.38,613.26,3.63,221.13,327.54,697.51,9.15
6,Haryana,"1,038.46","1,450.92","3,677.26",491.67,722.18,921.83,"2,591.74",427.23,678.7,870.28,"2,096.92",155.09,944.68,"1,259.80","2,700.66",424.5,941.23,"1,287.06","2,902.08",487.29,896.25,"1,197.52","3,078.68",404.64,954.53,"1,229.02","3,102.35",319.61,999.8,"1,377.16","3,197.72",440.86,946.75,"1,298.19","3,201.61",426.65,"1,038.75","1,420.77","3,470.79",489.4,"1,050.37","1,399.91","3,008.60",469.29,"1,057.60","1,403.64","3,751.21",441.08
7,Delhi,"1,146.10","1,375.87","2,449.03",82.29,538.04,624.07,"1,533.24",75.48,497.13,601.89,"1,494.28",62.32,773.76,947.34,"2,040.37",53.59,721.39,876.01,"1,926.19",81.89,695.21,849.5,"1,972.24",87.77,835.68,"1,012.64","2,106.29",90.17,877.51,"1,087.95","2,323.12",98.33,741.01,924.64,"2,002.74",85.4,870.82,"1,104.48","2,454.72",98.71,777.9,939.01,"2,103.11",101.63,817.25,985.54,"2,204.14",104.79
8,Rajasthan,"1,044.75","1,368.78","1,276.01",130.79,579.26,782.08,913.53,189.01,621.09,781.45,683.54,89.88,858.43,"1,144.63","1,006.67",119.06,797.71,"1,029.31","1,057.05",164.45,739.56,987.22,"1,070.89",161.09,925.53,"1,212.64","1,128.78",155.94,992.4,"1,312.62","1,208.90",184.51,812.64,"1,072.85",987.82,184.2,971.7,"1,289.86","1,215.70",171.41,934.17,"1,213.39","1,165.58",155.54,953.69,"1,247.73","1,219.47",166.6
9,Uttar Pradesh,"1,746.12","2,493.75","2,031.18","1,083.95","1,002.21","1,436.93","1,223.24","1,047.18","1,091.48","1,540.30","1,175.67",780.91,"1,414.22","2,030.79","1,565.30","1,000.33","1,377.19","1,903.54","1,621.48","1,043.91","1,290.71","1,826.51","1,524.47","1,050.09","1,574.74","2,114.90","2,000.73","1,084.31","1,507.60","2,157.92","1,803.14","1,167.49","1,323.86","1,892.58","1,704.26","1,108.03","1,529.52","2,178.70","2,181.83","1,095.50","1,465.09","2,022.52","1,754.00","1,277.04","1,552.93","2,167.95","1,988.90",909.98
10,Bihar,440.54,675.73,227.95,164,198.92,366.65,110.92,172.55,242.46,368.62,119.86,158.01,357.19,603.26,149.34,171.21,287.83,478.67,144.73,125.72,222.85,365.45,126.89,160.36,444.22,620.4,138.59,147.89,284.03,481.25,113.19,151.47,258.35,441.66,113.76,149.17,327.85,552.08,145.4,171.09,351.46,550.11,156.36,148.41,377.01,579.55,170.81,220.53
