Code,State,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
1,Jammu and Kashmir,176.26,273.36,104.21,6.03,103.41,165.49,93.95,8.79,96.38,162.32,103.27,9.86,117.96,185.39,118.78,8.82,112.98,178.47,133.96,8.35,106.75,172.95,141.95,6.12,114.89,179.99,126.07,4.36,129.45,194.92,102.13,3.07,125.12,185.86,97.18,1.44,148.56,234.33,87.9,3.61,143.46,199.82,88.53,2.42,,,,
2,Himachal Pradesh,166.56,225.66,423.14,2.01,119.49,171.72,447.74,1.89,126.5,186.86,377.58,2.2,136.82,198.67,407.92,2.26,135.6,183.85,387.2,1.93,127.55,183.09,400.85,0.99,133,190.77,457.53,2.74,141.84,206.79,322.52,1.22,129.96,183.35,394.39,0.63,150.15,218.31,394.33,2.33,150.59,200.61,338.65,0.9,,,,
3,Punjab,531.03,783.04,649.65,30.27,428.02,639.19,725.1,40.58,394.77,610.42,639.05,38.26,430.97,641.43,626.46,34.6,379.88,573.93,672.14,25.54,392.67,597.88,691.23,28.31,405.42,610.62,714.47,29.3,394.48,645.91,610.61,18.23,430.71,616.71,672.17,14.65,440.95,714.18,612.46,28.1,394.03,589.44,648.72,18.78,,,,
4,Chandigarh,44.92,60.8,140.73,2.18,32.27,43.39,86.68,4.77,31.9,44.71,92.04,1.04,35.99,48.47,90.78,0.65,35.6,46.48,96.58,0.41,42.38,56.07,106.61,1.01,40.28,51.2,109.59,1.43,35.03,49.97,89.35,0.8,37.37,50.02,129.82,0.39,45.77,75.28,104.27,8.37,39.16,50.81,97.32,0.44,,,,
5,Uttarakhand,426.27,584.84,863.93,11.55,257.42,358.22,680.9,12.07,257.79,369.99,642.75,10.39,269.02,389.22,722.23,9.43,223.87,335.35,527.01,7.98,237.84,362.87,688.88,10.78,280.59,404.58,918.38,9.06,243.52,387.54,639.08,9.89,250.66,375.65,616.83,9.36,291.87,412.56,795.47,11.04,261.42,384.24,749.66,10.04,,,,
6,Haryana,"1,317.87","1,717.80","4,665.07",496.62,"1,106.40","1,483.91","3,523.21",549.66,"1,141.32","1,487.39","3,577.48",507.7,"1,152.27","1,505.96","3,650.84",481.71,"1,102.80","1,466.71","3,677.51",524.54,"1,065.74","1,383.34","4,444.38",509.53,"1,190.42","1,611.92","4,332.70",526.53,"1,045.69","1,395.03","3,880.31",448.2,"1,032.62","1,371.52","3,758.63",515.21,"1,183.41","1,559.12","4,681.00",506.4,"1,161.38","1,564.05","4,075.09",509.06,,,,
7,Delhi,"1,324.21","1,578.80","2,903.97",63.8,798.73,996.34,"2,217.87",100.55,852.92,"1,018.51","2,359.73",82.19,875.79,"1,045.89","2,328.36",77.28,897.52,"1,045.26","2,321.63",84.14,"1,031.64","1,187.20","2,447.73",74.8,920.54,"1,127.58","2,537.85",84.47,930.95,"1,127.43","2,429.53",77.66,859.02,"1,040.19","2,420.66",80.85,996.45,"1,248.21","2,534.77",102.98,899.5,"1,088.49","2,690.04",91.02,,,,
8,Rajasthan,"1,309.41","1,670.42","1,412.38",155,953.06,"1,256.93","1,438.99",139.93,851.44,"1,161.85","1,201.76",170.91,934.24,"1,243.01","1,351.15",142.76,860.14,"1,123.27","1,249.59",108.11,861.06,"1,141.36","1,189.66",114.44,915.86,"1,235.12","1,493.92",116.13,996.05,"1,314.23","1,183.48",124.68,"1,043.89","1,336.98","1,302.59",105.36,"1,135.72","1,483.88","1,418.04",116.8,"1,019.07","1,260.30","1,559.16",101.99,,,,
9,Uttar Pradesh,"2,038.59","2,781.78","2,542.98","1,170.76","1,494.83","2,188.80","1,869.99","1,116.43","1,601.09","2,271.78","1,785.04","1,176.60","1,652.90","2,257.86","1,980.46","1,182.80","1,587.81","2,136.96","2,008.59","1,048.01","1,539.94","2,073.87","2,222.74","1,167.77","1,530.50","2,136.75","2,944.71","1,226.76","1,533.66","2,076.16","2,444.21","1,200.45","1,587.50","2,174.10","2,036.29","1,380.51","1,802.40","2,522.01","2,339.76","1,091.22","1,645.73","2,280.25","2,033.08","1,471.94",,,,
10,Bihar,456.79,767.19,179.25,67.4,313.8,546.19,149.81,167.77,314.79,541.69,187.93,187.65,336.69,584.56,166.7,175.6,371.52,573.8,181.49,143.79,341.37,554.05,382.82,187.69,328.06,542.11,302.52,171.48,378.25,605.03,163.53,169.78,358.84,592.73,169.85,187.8,427.89,702.78,161.84,161.26,444.99,668.09,191.3,194.94,,,,
