Code,State,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
1,Jammu and Kashmir,0,0,0,0,49.55,103.16,95.47,17.15,71.31,136.54,107,4.92,63.39,113.18,108.06,3.09,66.27,120.32,99.53,12.83,86.14,143.67,83.97,0.92,92.21,144.58,65.21,4.37,71.58,124.99,71.13,1.59,65.77,114.29,75.89,2.03,,,,,,,,,,,,
2,Himachal Pradesh,0.09,0.09,0,0,88.12,133.8,600.73,1.1,90.25,134.94,518.72,1.67,70.77,133.42,494.68,1.53,70.49,117.78,460.08,1.05,74.24,109.68,432.62,1.27,78.44,125.25,394.38,1.59,70.65,106.81,382.81,1.46,72.56,119.87,417.97,0.56,,,,,,,,,,,,
3,Punjab,0.1,0.65,1.97,0,313.61,578.15,619.12,12.51,276.49,491.66,507.03,13.87,263.8,477.63,522.09,13.49,246.03,442.97,504.93,11.14,225.9,390.41,455.69,5.62,240.49,425.1,410.98,12.65,241.12,386.25,428.55,7.67,255.47,411.9,444.9,10.28,,,,,,,,,,,,
4,Chandigarh,0.02,0.03,0.33,0,39.72,58.96,76.2,0.29,31.94,43.68,70.99,1.03,29.25,42.09,72.23,1.03,30.33,45.77,68.62,0.58,26.8,37.62,67.46,0.62,27.06,41.57,77.64,1.35,28.08,40.66,71.95,0.42,25.71,36.04,74.28,0.18,,,,,,,,,,,,
5,Uttarakhand,0.07,0.07,0.04,0,150.42,285.75,1244.55,15.13,150.13,307.53,998.81,14.95,143.5,278.72,1240.62,22.97,143.53,306.87,763.45,24.27,132.39,263.5,778.49,11.8,153.59,268.71,825.16,14.27,140.69,274.45,730.57,20.67,162.31,303.42,777.73,21.04,,,,,,,,,,,,
6,Haryana,0.2,0.2,0.51,0,804.35,1276.56,2260.54,342.69,747.95,1148.03,3181.09,363.26,700.03,1144.46,2849.56,369.15,641.97,1063.17,2589.71,373.72,603.43,968.2,2168.49,340.26,609.78,965.79,2376.42,310.94,602.17,942.47,2471.39,340.46,666.3,1032.51,2219.06,354.05,,,,,,,,,,,,
7,Delhi,0.66,0.64,2.04,0.01,733.93,1052.54,1382.66,90.12,745.28,1021.2,1535.09,103.21,760.16,1069.15,1588.95,108.57,678.45,951.49,1489.96,111.64,646.27,859.81,1450.77,93.61,825.38,1099.63,1596.31,81.45,703.34,930.12,1402.38,85.14,807.24,982.01,1387.35,72.63,,,,,,,,,,,,
8,Rajasthan,1.29,1.23,2.4,0,523.05,807.14,1085.16,126.74,518.84,774.15,833.48,157.78,530.78,808.66,759.75,156.55,537.64,764.66,738.85,141.36,546.29,746.48,723.17,132.05,599.43,858.55,781.42,154.81,565.23,763.72,835.5,142.93,579.32,789.77,845.34,131.79,,,,,,,,,,,,
9,Uttar Pradesh,0.67,0.65,1.8,0,931.58,1570.3,1469.26,757.93,934,1438.64,1381.1,1085.93,928.42,1477.13,1340.51,930.65,838.12,1358.37,1197.48,774.11,843.28,1318.66,1220.75,1007.36,929.92,1454.04,1339.67,957.32,852.21,1357.44,1267.84,1129.15,997.42,1524.18,1338.55,939.09,,,,,,,,,,,,
10,Bihar,0.02,0.02,0.47,0.04,180.55,379.08,85.9,141.03,130.25,260.97,79.17,203.85,140.8,307.71,65.02,131.63,142.18,285.17,76.03,88.93,139.58,264.52,87.8,174.71,136.38,280.74,78.45,146,145.59,270.19,127.62,223.39,168.72,314.02,90.95,183.97,,,,,,,,,,,,
11,Sikkim,0.02,0.02,0,0,5.09,24.81,130.09,0.04,4.09,7.18,144.99,0.02,10.16,13.36,116.72,0.08,10.36,13.75,121.74,0.1,6.53,10.19,147,0.02,6.67,11.45,133.58,0.01,5.5,8.58,108.64,0.02,8.91,16.13,119.65,0.43,,,,,,,,,,,,
12,Arunachal Pradesh,0,0,0,0,3.46,6.19,3.21,0.02,2.55,4.29,2.5,0.03,4.16,6.05,2.22,0.21,2.98,4.86,3.37,0,3.33,6.27,2.14,0.15,4.72,8.57,3.03,0.14,3.98,6.59,2.49,0.4,9.98,17.65,4.8,0.01,,,,,,,,,,,,
13,Nagaland,0,0,0,0,2.65,5.57,5.41,0.1,2.97,5.67,4.4,0.13,3.73,5.69,5.17,0.12,3.48,5.46,3.44,0.06,2.62,4.27,3,0.44,4.04,6.19,4.82,0.38,3.67,4.92,3.29,0.28,2.59,5.52,3.85,0.5,,,,,,,,,,,,
14,Manipur,0,0,0.04,0,3.66,9.24,0.89,0.16,4.6,7.91,1.03,0.18,6.31,12.26,0.92,0.01,4.14,6.37,0.92,0.01,4.39,8.52,0.73,0.08,3.71,7.59,0.84,0.16,3.71,7.59,1.23,0.32,7.4,16.38,1.21,0.07,,,,,,,,,,,,
15,Mizoram,0,0,0,0,1.59,4.17,0.26,0.03,2.46,4.46,0.6,0,3.93,5.55,0.99,0,2.87,4.83,0.74,0.04,2.04,3.55,0.91,0.08,2.1,3.69,2.03,0.02,2.18,4.72,1.14,0.17,2.88,7.28,1.3,0.01,,,,,,,,,,,,
16,Tripura,0,0,0,0,11.34,18.71,2.8,4.24,11.13,19.08,3.29,0.49,23.62,30.54,2.89,0.16,12.88,19.43,2.7,0.28,9.91,16.66,2.79,0.44,11.45,16.95,3.66,0.17,11.21,19.16,3.84,0.13,15.22,22.74,7.31,0.15,,,,,,,,,,,,
17,Meghalaya,0.01,0.03,0,0,12.1,20.59,37.93,6.86,8.46,14.05,39.94,0.09,10.6,16.69,38.04,0.1,11.9,16.32,32.72,0.09,8.82,15.12,46.26,0.18,12.89,21.25,51.61,4.72,12.66,18.41,74.72,9.45,12.32,18.95,69.45,4.7,,,,,,,,,,,,
18,Assam,0.02,0.02,0.21,0.07,162.29,271.3,245.27,26.27,155.97,250.95,234.04,31.81,147.93,237.68,200.29,38.66,150.31,227.85,226.84,49.07,135.81,196.87,207.13,49.7,141.4,222.15,175.96,38.46,132.72,203.33,164.07,27.94,156.1,228,179.35,55.11,,,,,,,,,,,,
19,West Bengal,0.57,0.57,1.54,0.11,754.74,1123.7,866.37,280.42,829.96,1183.08,670.45,259.31,693.87,1042.51,708.67,339.52,592.9,1000.51,654.31,210.19,635.12,957.5,703.87,252.01,669.53,990.88,714.51,282.96,923.9,1183.22,711.35,355.03,1199.22,1494.38,765.23,297.05,,,,,,,,,,,,
