Code,State,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
20,Jharkhand,0.07,0.07,0.01,0,202.69,335.36,686.03,359.61,210.01,295.25,697.34,437.86,230.02,347.48,715.45,453.73,206.72,333.96,830.19,437.43,216.83,328.45,739.07,425.18,242.2,354.27,883.4,394.44,260.06,341.27,795.16,360.7,293.03,414.01,875.05,461.59,,,,,,,,,,,,
21,Odisha,0.15,0.11,0.16,0,317.75,471.85,555.96,564.81,332,450.53,468.11,465.56,321.88,529.86,481.14,468.05,308.62,444.02,523.61,508.13,301.57,400.68,505.74,496.85,355.36,470.56,542.25,590.33,356.59,486.43,517.43,621.79,391.08,515.13,559.94,525.31,,,,,,,,,,,,
22,Chattisgarh,0.58,0.58,0,0.01,246.78,328.51,473.25,581.68,237.28,330.84,396.97,634.34,220.93,306.23,479.93,547.99,209.82,302.4,467.79,523.72,233.07,303.7,445.13,600.4,279.03,367.35,530.4,597.23,307.61,389.14,546.64,290.24,368.85,454.44,684.55,321.19,,,,,,,,,,,,
23,Madhya Pradesh,0.25,0.25,0.39,0,404.28,626.48,655.57,426.32,391.63,567.31,533.07,414.14,355.14,577.07,587.78,407.24,363.71,586.46,498.79,425,416.88,599.09,491.69,365.85,416.18,613.8,489.92,369.97,424.06,578,560.63,397.57,450.41,615.62,556.98,376.81,,,,,,,,,,,,
24,Gujrat,0.2,0.19,2.2,0,1333.72,1873.77,2613.01,213.3,1402.05,1877.55,2143.81,298.11,1400.77,1880.76,2286.68,314.58,1330.46,1748.09,1984.66,324.13,1386.72,1790.23,1894.13,301.14,1532.26,2060.81,1876.07,309.57,1590.6,2030.58,1808.78,392.78,1594.42,2015.64,2006.19,305.98,,,,,,,,,,,,
25,Daman and Diu,0,0,0,0,7.83,11.67,107.35,0.06,8.5,12.86,89.71,0.04,8.51,14.51,105.41,0.04,7.96,13.34,110.39,0.03,7.15,11.94,70.14,0.01,9.77,12.31,80.16,0.06,6.77,10.52,79.35,0.04,8.29,12.31,115.97,0.02,,,,,,,,,,,,
26,Dadra and Nagar Haveli,0,0,0.01,0,10.13,21.16,126.44,0.22,12.11,19.88,149.27,0.17,13.6,19.91,130.74,0.17,12.07,17.98,123.08,0.24,12.85,19.08,112.17,0.05,14.65,21.59,112.85,0.24,12.45,18.66,105.97,0.14,12.56,19.17,98.46,0.33,,,,,,,,,,,,
27,Maharastra,1.21,1.31,5.12,0,3509.43,4866.64,4392.22,847.2,3381.99,4557.71,4162.28,945.88,3559.82,4938.9,4765.38,1056.37,3206.99,4347.12,3866.25,852.76,3359.87,4361.44,4151.07,937.74,3264.22,4450.62,4657.86,984.98,3265.82,4296.97,3849.35,1036.79,3660.13,4586.25,4139.43,944.32,,,,,,,,,,,,
29,Karnataka,0.42,0.4,1.61,0,1405.02,2117.25,2595.15,880.65,1363.6,1996.55,1941.22,838.44,1283.33,1921.92,2232.16,811.09,1151.04,1709.72,1755.08,580.25,1219.43,1684.99,1760.64,903.43,1257.76,1810.44,2049.01,873.84,1252.86,1713.99,2063.63,988.01,1299.12,1750.59,2203.71,743.68,,,,,,,,,,,,
30,Goa,0.06,0.06,0,0,76.09,105.61,221.49,1.75,76.39,109.27,163.56,2.58,69.24,105.51,168.52,2.94,81.77,114.97,145.41,2.48,73.48,111.94,128.19,1.72,82.76,116.78,103.7,2.27,93.29,127.22,134.43,2.31,92.8,127.21,123.66,2.81,,,,,,,,,,,,
31,Lakshadweep,,,,,0.17,0.17,0.01,0,0.4,0.4,0.03,0,0.28,0.3,0.02,0,0.79,0.8,0.06,0,0.37,0.38,0.05,0,0.3,0.35,0.03,0,0.57,0.59,0.13,0,0.36,0.41,0.07,0,,,,,,,,,,,,
32,Kerala,0.03,0.03,0.17,0,478.65,808.67,251.81,10.05,483.3,802.58,243.71,13.55,458.24,736.9,254.35,7.65,410.37,611.52,215.74,11.9,395.69,608.46,238.66,6.28,413.66,698.46,244.36,11.29,388.95,621.16,191.15,5.6,403.41,613.05,228.06,4.7,,,,,,,,,,,,
33,Tamil Nadu,0.39,0.38,4.98,0,1506.15,2474.41,2219.98,429.37,1487.89,2220.71,1972.81,503.27,1457.13,2132.29,1913.92,589.61,1288.16,1912.97,1494.64,539.94,1229.73,1796.31,1460.75,527.75,1282.38,1889.47,1556.03,588.31,1250.03,1900.97,1649.87,562.25,1337.05,1874.17,1760.95,507.11,,,,,,,,,,,,
34,Puducherry,0,0,0,0,19.69,35.55,152.16,0.54,19.83,32.57,131.51,0.41,19.87,31.53,91.34,1.49,20.59,31.73,121.94,0.15,16.9,27.79,116.37,0.09,20.57,30.9,109.73,1.57,17.93,28.22,92.17,0.6,19.64,28.03,94.94,0.92,,,,,,,,,,,,
35,Andaman and Nicobar Island,0,0,0,0,3.33,3.98,0.37,0.02,12.07,13.37,0.74,0,8,9.85,0.7,0.04,10.2,11.63,1.27,0.03,5.59,8.15,1.02,0.05,5.66,7.95,0.87,0.03,8.25,11.07,0.9,0.02,16.02,19.88,1.36,0.01,,,,,,,,,,,,
36,Telangana,0.28,0.26,2.07,0,544.21,841.83,930.17,445.13,565.54,803.42,863.21,484.68,565.15,847.61,853.96,492.04,496.81,750.62,806.47,394.1,520.44,741.21,714.8,513.29,586.36,856.59,768.04,525.74,572.31,794.59,748.07,526.47,642.1,903.66,846.66,407.19,,,,,,,,,,,,
37,Andhra Pradesh,2.6,2.59,4.32,0,448.22,661.22,756.09,24.43,428.46,634.92,718.73,19.93,435.16,701.86,670.84,20.72,389.38,588.89,669.29,20.01,390.5,572.88,608.72,12.84,489.06,713.84,697.32,20.58,415.89,581.44,742.9,18.25,445.96,618.96,783.06,17.44,,,,,,,,,,,,
97,Other Territory,,,,,,,,,0,0,10.85,0,19.87,19.76,23.55,0,8.05,11.44,21.65,0,7.92,11.78,26.75,0,73.15,113.97,36.94,0,18.88,36.52,26.83,0,14.41,30.98,33.03,9.42,,,,,,,,,,,,
99,CBIC,,,,,,,,,,,,,,,,,,,,,,,,,0,0,18.75,0,0,0,5.34,0,0,0,55.9,0,,,,,,,,,,,,
,,9.98,10.45,32.39,0.24,15285.94,23313.85,26948.88,6607.97,15131.68,21979.73,25000.65,7301.49,14962.15,22344.73,25879.25,7291.27,13690.34,20293.61,22671.73,6419.77,13927.88,19700,22048.13,7163.99,14874.52,21542.74,23793.37,7282.22,14763.11,20620.96,22779.24,7550.18,16265.08,22054.55,23992.14,6702.48,,,,,,,,,,,,
