Code,State,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
15,Mizoram,5.88,9.41,1.96,0.04,3.15,6.47,4.14,0,3.25,6.24,0.74,0.03,3.05,5.65,1.52,0,3.47,6.68,0.63,0.02,5.3,7.56,0.46,0.07,2.42,5.01,2.77,0,4.65,7.6,3.4,0.14,3.58,6.07,3.31,0.11,7.1,11.91,7.26,0.14,6.22,10.45,5.46,0,16.3,24.59,8.86,0.01
16,Tripura,16.95,25.48,3.22,0.06,16.9,25.84,2.68,0.24,12.06,19.46,3.68,0.06,17.41,24.48,3.51,0.58,14.18,20.12,3.9,0.1,18.24,25.94,4.63,0.68,15.31,23.78,4.95,0.27,15.39,21.59,4.28,0.1,17.29,25.65,4.89,0.14,18.73,26.75,6.45,0.23,16.67,23.58,5.65,0.21,24.31,32.97,6.3,0.32
17,Meghalaya,23.66,32.8,92.31,3.64,13.72,19.92,89.94,3.02,14.92,20.95,76.04,4.27,15.42,22.28,74.74,1.41,15.66,21.27,64.73,0.68,13.41,19.91,57.73,1.49,16.26,25.76,52.4,1.18,13.2,20.36,66.3,1.43,14.05,20.98,72.87,0.14,16.61,23.74,62.76,0.81,18.3,23.92,85.71,0.95,22.19,32.14,70.31,2.14
18,Assam,172.5,276.94,176.89,52.98,314.08,399.26,185.11,25.99,171.4,250.08,195.99,44.81,162.93,259.53,197.37,41.19,172.95,246.78,201.88,24.35,184.27,256.84,223.82,31.82,203.19,288.75,227,37.85,203.03,275.19,218.37,42.9,198.43,270,231.22,43.52,206.59,318.59,214.71,47.01,221.65,311.16,170.13,33.63,277.75,407.62,228.19,42.16
19,West Bengal,1017.06,1359.85,925.64,388.16,869.32,1171.3,786.37,281.4,857.59,1188.24,747.79,318.08,875.78,1195.39,866.14,351.42,883.31,1178.5,768.88,293.85,870.93,1150.44,799.75,309.05,921.37,1223.78,811.6,278.66,873.78,1125.81,755.08,280.11,937.4,1230.53,737.12,324.94,996.6,1262.49,866.97,369.3,1006.31,1320.63,781.04,381.73,1160.83,1480.52,877.78,321.7
20,Jharkhand,348.7,489.66,1045.35,504.82,251.3,358.42,893.7,454.38,273.33,385.02,849.82,470.87,300.68,429.5,710.62,407.15,256.19,364.84,664.51,383.7,264.31,367.6,755.85,347.83,359.99,469.16,894.17,368.01,310.09,425.2,872.31,408.15,298.32,411.15,855.44,430.57,319.85,447.26,755.72,441.95,325.78,432.28,877.14,485.84,368.3,498.7,825.82,456.63
21,Odisha,449.89,640.16,495.94,583.71,361.06,500.22,637.7,395.16,405.51,533.96,786.36,421.95,400.58,546.84,651.11,460.35,400.97,525.89,837.7,477.2,403.92,527.58,808.73,446.53,423.29,555.94,755.75,454.71,424.62,551.02,895.26,503.4,443.58,572.38,823.6,507.03,448.85,596.19,821.84,471.15,526.2,673,725.24,449.63,605.71,782.99,766.85,470.36
22,Chattisgarh,338.43,415.64,633.35,502.24,299.94,378.1,662.44,529.11,303.48,383.21,693.19,521.86,337.88,420.32,550.55,601.32,309.88,398.68,576.67,535.74,287.07,361.02,509.3,513.6,321.97,423.92,523.27,467.54,322.52,410.95,721.94,549.88,314.84,409.71,554.25,573.2,347.93,453.9,702.93,559.34,405.91,514.55,649.04,498.23,416.76,526.23,563.09,636.92
23,Madhya Pradesh,525.89,717.05,646.84,454.56,383.89,555.28,527.63,396.84,418.54,609.99,543.58,432.46,455.35,657.97,554.41,400.88,414.22,596.15,573.92,378.26,400.14,572.94,528.69,397.17,435.69,640.66,514.66,401.5,477.85,651.17,580.91,414.15,478.27,663.38,560.78,391.92,548.05,756.42,656.76,452.89,541.89,734.59,588.15,426.81,638.84,877.63,715.82,391.47
24,Gujrat,1701.28,2133.4,2190.05,303.9,1726.58,2177.27,2016.55,341.56,1634.99,2075.48,2251.42,400.6,1543.92,1997.23,2189.68,348.87,1413.49,1815.81,1701.42,321.54,1547.8,1999.97,2229.57,322.81,1591.84,1998.92,2260.97,307.48,1626.01,2124.82,1960.7,352.18,1514.07,1971.88,1850.79,282.38,1722.12,2227.25,1932.56,302.92,1730.17,2257.16,2108.52,412.91,1824.12,2446.07,1972.83,278.09
