,,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
15,Mizoram,3.35,4.16,1.73,0,3.74,5.47,1.43,0,7.42,11.85,4.82,0.11,5.34,9.03,1.64,0,3.94,6.74,1.44,0.02,5.51,8.23,3.07,0.08,10.56,17.7,3.19,0.2,5.66,8.71,2.34,0.01,7.61,11.55,6.22,0.01,9.69,14.62,13.27,0.03,6.05,9.8,5.18,0.03,10.84,14.7,9.28,0.1
16,Tripura,7.99,9.71,1.95,0.01,36.4,42.11,16.34,0.19,22.51,35.85,5.47,0.7,18.76,25.23,3.94,0.05,15.8,22.07,5.16,0.11,18.56,26.33,5.37,0.12,22.09,29.44,5.6,0.06,20.15,29.15,7.19,0.23,27.68,39.97,6.48,0.15,25.15,35.35,9.53,0.44,22.75,30.76,9.12,0.62,35.34,44.48,7.9,0.18
17,Meghalaya,8.2,9.09,3.4,0.01,13.98,16.7,62.43,0.21,15.57,20.84,79.23,0.31,18.25,23.54,78.63,0.01,16.46,21.38,70.21,0.13,15.47,20.49,63.65,0.04,21.22,28.61,67.18,0.38,19.9,25.11,73.61,0.41,19.31,27.79,58.45,0.33,24.91,36.61,75.38,0.12,25.55,30.54,88.22,2.2,23.27,34.13,94.28,0.28
18,Assam,80.2,100.64,78.54,5.1,166.96,190.7,105.87,44.46,279.84,359.86,298.87,27.87,200.86,270.63,231.3,20.03,201.16,270.35,232.11,5.35,275.34,362.07,257.69,17.26,302.64,410.39,290.72,12.9,270.44,345.51,278.09,33.98,286.89,393.94,271.43,31.54,309.06,406.6,290.97,43.6,288.4,374.3,244.37,38.77,319.07,399.89,257.79,27.89
19,West Bengal,220.64,260.61,149.1,3.11,549.45,702.23,405.94,298.82,858.86,"1,102.15",834.58,332.79,850.43,"1,151.54",727.54,280.04,896.77,"1,162.76",754.09,239.32,"1,046.00","1,325.71",768.96,252.6,"1,100.14","1,427.97",906.27,303.26,"1,109.42","1,394.02",918.11,277.7,"1,221.65","1,555.13","1,042.92",294.5,1278.23,1604.54,1003.56,312.53,1291.89,1563,1105.93,374.17,1342.62,1665.1,1093.86,285.22
20,Jharkhand,74.63,89.09,44.95,35.04,202.92,241.14,359.03,438.84,328.95,398.96,371.62,543.75,274.12,361.54,360.85,343.07,278.98,360.14,514.74,344.16,286.36,366.88,624.67,377.64,312.7,415.86,646.37,396.23,315.48,420.44,752.34,414.61,350.62,492.96,871.09,435.43,383.54,522.58,975.91,412.2,427.79,552.95,941.19,399.09,498.21,640.27,846.43,431.22
21,Odisha,310.12,360.36,101.36,2.45,349.8,440.64,381.15,552.58,574.01,759.16,452.09,908.48,641.76,794.02,444.01,468.62,538.91,686.15,630.14,493.08,497.18,631.08,763.24,492.49,523.72,660.09,731.65,503.81,530.55,678.09,786.94,524.85,589.41,765.25,965.75,539.78,609.93,777.71,1158.77,591.04,624.17,781.06,1345.79,589.55,762.99,954.62,1036.59,531.09
22,Chattisgarh,82.62,93.38,171.36,3.49,278.02,314.73,665.48,564.68,472.27,546.33,744.26,785.71,375.37,456.29,561.93,438.73,378.44,443.94,697.35,474.7,341.1,413.23,640.09,447.05,383.31,450.12,698.7,441.84,394.78,465.1,796.6,513.63,466.66,551.62,795.42,535.69,475.6,558.04,923.28,570.18,456.04,524.01,868.97,604.07,542.2,622.47,890.17,489.29
23,Madhya Pradesh,149.04,176.19,104.08,33.62,301.48,368.55,298.5,370.57,596.53,762.02,617.27,765.81,523.76,713.93,584.35,466.81,520.69,698.85,560.57,428.73,484.64,639.25,598.18,454.36,547,754.35,642.01,459.89,564.68,737.89,693.88,481.41,628.4,823.31,651.4,511.15,660.78,863.64,719.97,511.92,657.2,832.56,712.09,589.72,669.54,847.35,755.99,455.61
24,Gujrat,411.21,464.24,325.7,94.95,854.96,"1,022.52","1,015.65",184.32,"1,747.35","2,068.28","1,973.09",235.71,"1,560.84","1,888.69","1,689.87",481.27,"1,591.61","1,902.69","2,079.76",455.73,"1,646.56","2,003.99","2,048.02",391.68,"1,752.79","2,230.65","2,403.14",399.8,"1,922.90","2,414.54","2,675.33",474.7,"1,997.55","2,464.53","2,491.71",514.78,2175.58,2664.01,2612.96,514.35,2217.59,2727.93,2645.02,630.69,2310.43,2815.06,2629.04,442.51
25,Daman and Diu,1.37,1.6,10.34, -   ,5.62,7.53,23.52,0.02,8.01,11.18,54.17,0.01,8.04,12,56.54,0.01,8.34,11.28,50.75,0,2.8,3.85,8.32,0,1.21,1.41,4.48,0,0.57,0.57,0.81,0,0.97,0.99,1.99,0.01,0.29,0.31,0.54,0,0.72,0.63,1.27,0,0.45,0.49,2.35,0
26,Dadra and Nagar Haveli,4.15,4.34,16.93,0.02,7.49,9.17,44.84,0.02,12.59,16.34,89.91,0.1,12.88,17.1,100.15,0.22,13.39,16.46,115.51,0.03,23.9,30.59,170.21,0.22,30.29,37.13,215.61,0.23,29.45,41.87,223.24,0.04,35.26,45.85,177.58,0.08,34,43.72,202.89,0.34,32.11,41.58,161.19,0.22,38.1,50.39,199.93,0.07
27,Maharastra,"1,059.94","1,231.44","2,256.87",38.48,"2,060.78","2,483.03","3,374.13",552.93,"4,269.63","4,924.04","5,250.02",543.19,"3,235.22","3,831.92","4,811.57",628.82,"2,993.00","3,690.06","4,197.79",720.92,"3,786.63","4,463.92","4,699.53",596.06,"4,188.93","4,975.65","5,808.30",825.98,"3,953.29","4,831.74","5,117.50",987.93,"5,098.36","5,916.53","5,760.90",923.06,4858.35,5856.33,6320.26,932.49,4469.9,5426.54,5095.79,1111.27,4833.74,5669.22,5444.22,1091.31
29,Karnataka,484.21,576.9,930.72,36.71,"1,058.54","1,296.00","1,532.28",621.19,"1,795.58","2,221.70","2,033.28",659.17,"1,412.93","1,841.26","2,055.78",703.8,"1,440.66","1,848.19","1,717.39",495.75,"1,548.22","1,989.73","1,974.56",537.92,"1,597.31","2,086.96","2,549.51",764.14,"1,632.40","2,119.33","2,422.44",670.68,"1,752.69","2,274.82","2,785.19",646.42,1813.82,2346.21,3101.01,716.34,1747.06,2230.65,2759.87,843.86,1878.91,2377.71,2834.15,824.2
30,Goa,19.08,24.33,23.82,0.01,39.25,52.64,58.11,0.85,75.83,102.63,141.36,4.13,60.14,80.71,114.89,1.04,41.92,60.52,110.19,0.61,55.66,75.35,107.92,1.34,59.7,84.46,164.53,0.97,56.7,82.04,153.46,1.8,80.28,114.33,145.04,2.05,95.64,135.23,144.55,2.34,97.41,128.38,116.41,1.59,98.18,136.06,108.26,1.78
31,Lakshadweep,0.21,0.21,0.07, -   ,1.21,1.24,0.03, -   ,0.36,0.63,0.03, -   ,0.78,0.86,0.02, -   ,0.16,0.17,0.07, -   ,0.19,0.42,0.1, -   ,0.36,0.66,0.1, -   ,0.16,0.29,0.03, -   ,0.19,0.25,0.09,0,1.22,1.32,0.02,0,0.21,0.22,0.02,0,0.64,0.82,0.08,0
32,Kerala,93.56,127.46,57.98,1.18,277.8,365.74,216.63,1.97,506.92,746.14,246.57,30.29,417.07,662.03,234.77,4.41,407.97,598.63,219.71,2.93,520.45,778.08,249.44,4.1,541.86,798.87,319.97,3.82,503.31,734.43,302.26,2.56,585.02,847.81,339.72,3.8,628.46,946.46,345.32,13.38,599.27,856.89,344.42,5.52,637.29,863.89,322.1,4.66
33,Tamil Nadu,371.71,451.05,594.51,2.78,793.88,"1,064.65","1,217.97",446.28,"1,347.13","1,723.16","1,607.53",297.64,"1,262.30","1,687.55","1,379.61",305.27,"1,381.18","1,868.69","1,534.78",458.82,"1,709.46","2,229.88","2,004.02",509.65,"1,745.07","2,402.54","2,284.78",468.45,"1,693.35","2,346.84","2,362.33",567.52,"1,814.88","2,427.41","2,148.97",513.6,1865.72,2589.41,2370.99,567.1,1770.87,2459.52,2109.49,668.33,1914.53,2568.17,2315.88,780.59
34,Puducherry,4.25,5.33,21.94,0.01,14.74,17.2,67.03,0.02,18.1,28.51,93.72,0.25,17.55,26.91,91.45,0.42,15.9,24.73,95.98,0.18,20.81,33.92,93.49,0.07,20.12,30.95,109.66,0.21,17.64,27.59,106.35,0.17,19.45,30.17,109.13,0.23,19.92,34.28,100.46,1.78,19.22,29.09,109.61,0.14,21.33,31.68,107.9,0.13
35,Andaman and Nicobar Island,4.02,4.56,2.59,0.01,2.86,3.91,1.05,0.01,23.65,26.73,3.74,0.07,6.42,8.82,2.27,0.02,4.44,6.96,1.16,0.02,6.86,9.27,2.91,0.02,6.16,10.28,1.96,0.14,9.46,11.64,1.92,0.04,6.98,10.61,4.29,0.02,7.67,10.94,1.88,0.03,7.44,12.77,2.97,0.08,9.72,12.93,2.9,0.11
36,Telangana,214.09,252.67,318.55,142.83,432.72,543.22,685.39,227.06,813.46,"1,073.53",899.09,489.99,633.3,923.48,882.42,436.79,660.9,904.43,792.54,435.01,678.08,919.75,801.48,397.06,835.91,"1,122.48","1,001.24",423.76,760.59,"1,069.52",910.17,415.47,869.79,"1,154.46","1,032.49",486.5,958.19,1307.47,1109.53,508.3,900.57,1173.41,986.92,575.54,1057.65,1343.76,1142.66,622.35
37,Andhra Pradesh,181.93,211.97,145.57,9.3,294.69,379.44,373.5,180.22,627.4,846.9,805.05,87.66,546.45,755.22,701.47,135.03,501.82,675.06,636.28,141.75,533.12,724.75,700.34,182.41,573.46,805.34,832.63,268.78,592.21,806.04,809.07,249.41,606.96,817.22,925.1,231.36,673.6,922.79,1102.74,180.77,592.55,814.07,1016.49,229.47,590.25,803.24,1075.06,216.54
38,Ladakh, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.24,0.34,0.15, -   ,1.52,1.98,0.82,0.24,3.09,3.93,1.88,0.03,5.5,6.67,1.88,0,2.8,4.41,1.73,0,2.53,3.84,1.71,0.02,4.94,8.03,1.99,0.13,3.48,4.32,1.25,0.02,5.67,6.37,1.59,0.04
97,Other Territory,8.47,10.48,30.75,0,10.21,12.97,94.48,0.01,8.23,9.95,155.21,0,15.12,18.53,63.15,0,25.69,28.86,124.99,0,13.74,14.18,82.52,0,4.99,5.68,80.35,0,4.2,5.83,67.77,0,6.74,8.31,73.38,0,6.17,6.94,81.37,0,19.33,23.95,91.04,0,6.68,9,106.71,0
99,CBIC, -   , -   ,121.32, -   , -   , -   ,109.37, -   , -   , -   ,59.19, -   , -   , -   ,178.75, -   , -   , -   ,160.66, -   , -   , -   ,120.75, -   , -   , -   ,113.01, -   , -   , -   ,136.57, -   , -   , -   ,124.76, -   ,0,0,142.32,0,0,0,129.03,0,0,0,141.12,0
