Code,State,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
20,Jharkhand,460.76,620.06,1212.22,473.63,298.91,433.23,668.49,487.16,279.47,407.09,684.69,439.49,306.29,431.11,693.92,424.17,320.7,435.54,608.37,405.67,279.61,374.93,462.73,391.67,289.19,400.17,412.68,334.69,327.69,468.65,560.12,363.33,342.41,470.34,684.36,445.74,344.13,472.23,730.18,480.78,367.84,476.85,755.25,470.93,388.64,499.95,666.91,493.93
21,Odisha,672.03,927.65,770.01,586.01,434.78,589.31,591.62,524.68,603.39,804.49,970.69,544.9,518.11,702.44,742.21,531.61,534.68,698.47,815.17,448.91,473.85,610.19,577.1,353.9,486.86,627.73,559.47,319.78,514.52,700.96,786.53,345.02,529.78,726.29,696.04,431.18,563.85,744.33,674.18,521.61,618.78,804.85,792.59,573.94,583.79,776.28,731.77,541.04
22,Chattisgarh,415.86,516.55,731.8,634.71,341.05,434.66,695.13,528.1,394.74,497.44,654.17,546.31,379.32,482.19,641.28,499.58,344.14,430.56,604.33,493.71,295.31,375.2,438.94,380.14,312.64,395.21,496.85,364.94,356.7,484.53,871.38,463.5,385.57,472,784.3,494.25,400.26,495.05,672.36,587.58,402.09,497.24,775.67,599.41,418.63,500.24,595.26,579.03
23,Madhya Pradesh,623.51,841.43,709.08,451.68,485.89,699.13,643.84,422.43,473.94,700.56,603.48,434.47,517.41,741.58,573.41,449.28,507.87,690.58,609.21,447.2,445.86,613.71,585.57,441.96,464.13,639.02,559.53,389.93,568.92,777.07,640.92,465.63,552.41,742.4,629.95,509.44,611.56,828.18,707.23,526.64,620.12,820.25,667.92,512.74,541.53,746.66,645.04,474.16
24,Gujrat,1849.64,2393.41,2276.61,355,1815.08,2316.95,2145.97,330.84,1783.61,2273.63,2020.84,346.26,1691.37,2214.21,2143.84,361.95,1668.29,2100.58,2072.55,343.14,1543.19,1932.12,1901.53,363.69,1634.86,2016.4,1850.61,385.66,1800.38,2318.23,2271.03,415.29,1831.51,2335.85,2047.13,406.96,2012.05,2476.08,2408.58,433.02,1983.73,2534.41,2208.14,489.26,1886.25,2359.55,2218.04,356.62
25,Daman and Diu,9.21,13.41,80.31,0.04,8.61,11.67,63.96,0,9.12,13.75,64.12,0.01,9.51,12.86,82.73,0.01,10.42,16.26,76.52,0.01,8.78,11.97,67.94,0.01,7.66,11.3,64.2,0.03,10.32,15.79,74.72,0,9.4,14.31,70.06,0.02,10.24,15.13,91.36,0.02,9.75,14.37,70.35,0,10.45,15.97,68.49,0.01
26,Dadra and Nagar Haveli,19.34,25.89,128.66,0.03,13.48,24.93,105.89,0.19,15.56,25.01,123.96,0.13,15.59,22.98,95.87,0.1,16.09,21.99,120.73,0.12,16.17,21.86,87.32,0.03,16.23,20.8,92.68,0.08,17.79,24.13,102.6,0.07,17.58,22.47,114.26,0.04,19.16,28.06,117.34,0.14,17.64,24.7,103,0.07,18.96,24.29,125.44,0.19
27,Maharastra,4717.86,5860.83,6369.72,1176.18,3946.86,4885.77,4341.59,959.94,4246.18,5208.05,4702.24,986.64,3816.41,4802.5,5458.42,1024.49,3716.21,4690.58,4181.44,819.09,3609.68,4405.43,4647.06,916.78,3947.74,4818.42,5484.49,858.82,4446.55,5507.82,5122.94,890.54,4768.78,5738.44,5106.85,915.44,4797.02,5787.61,6423.32,1077.15,4437.56,5443.23,4853.54,1000.33,4232.4,5126.62,4755.47,887.61
29,Karnataka,1913.67,2483.07,2651.14,957.2,1490.51,2002.48,2223.47,692.27,1514.8,2050.07,2236.47,857.89,1609.44,2152,2354.19,972.87,1526.77,2096.53,1921.32,656.19,1522.24,2061.76,1985.98,779.88,1613.99,2142.73,2089.67,828.63,1612.74,2262.25,2387.6,709.75,1688.89,2220.84,2239.29,736.77,1787.49,2388.76,2673.76,755.18,1826.93,2380.61,2516.95,689.34,1716.85,2230.64,2386.8,810.01
30,Goa,107.64,157.34,146.9,3.34,87.54,128.43,128.6,4.17,80.64,120.45,133.55,3.57,76.87,119.44,162.32,2.63,74.47,106.23,142.58,1.25,71.63,109.5,127.58,2.76,76.16,107.51,126.48,1,85.37,122.41,132.1,1.64,93.77,134.74,132.66,2.2,111.53,163.17,157.51,4.84,107.93,148.28,151.18,3.22,77.18,111.96,125.14,2.2
31,Lakshadweep,1.26,1.43,0.09,0,0.16,0.16,0.01,0,0.32,0.33,0.04,0,0.91,1.19,0.02,0,0.37,1.04,0.03,0,0.74,0.84,0.09,0,1.05,1.38,0.04,0,0.81,1.05,0.08,0,0.35,0.4,0.03,0,1.1,1.54,0.06,0,0.99,1.11,0.04,0,0.13,1.18,0.03,0
32,Kerala,509.11,843.69,408.83,4.55,451.85,720.85,257.42,3.24,495.48,806.73,260.06,5.3,474.14,757.52,265.63,15.08,496.8,764.03,308.1,12.96,441.28,687.19,258.97,5.72,490.3,765.85,281.07,11.97,567.32,817.62,299.21,7.26,527.05,801.83,311.54,10.27,576.61,931.32,327.44,23.51,574.63,845.43,320.53,13.53,476.03,714.6,277.68,6.95
33,Tamil Nadu,1678.89,2415.18,2122.18,554.93,1515.31,2149.68,1664.19,489.12,1522.35,2180.29,1648.53,529.78,1552.98,2270.62,1746.29,514.27,1600.37,2318.38,1688.08,366.51,1475.53,2135.15,1541.56,463.37,1526.61,2128.55,1876.37,577.1,1703.86,2368.05,1961.07,416.29,1632.19,2302.4,1928.96,558.27,1694.05,2318.12,2103.93,586.77,1702.54,2332.04,1988.5,403.41,1580.73,2223.19,1939.88,434.02
34,Puducherry,20.56,32.02,119.67,0.99,17.76,27.81,98.45,0.18,17.55,29.16,88.45,0.1,19.36,30.18,94.75,0.24,19.66,31.7,108.05,1.11,18.51,30.95,99.6,0.36,19.57,30.73,94.56,0.87,21.54,35.5,99.98,0.15,22.56,34.19,108.58,0.12,24.77,39.76,121.33,1.7,22.56,34.37,100.99,0.94,20.53,30.34,98.08,0.37
35,Andaman and Nicobar Island,14.46,20.11,3.06,0.09,14.28,22.52,2.37,0.25,6.74,10.15,3.8,0.14,7.94,11.91,2.42,0.13,9.97,17.11,3.26,0.14,6.58,10.02,2.15,0,12.73,16.09,2.91,0.01,8.36,13.52,2.99,0.04,10.26,17.05,2.28,0.19,10.5,16.05,3.34,0.11,13.62,18.88,3.45,0.06,15.87,19.61,3.04,0.06
36,Telangana,834.39,1144.88,997.19,533.7,680.2,953.57,874.77,542.81,710.83,980.45,875.75,598.58,696.92,1003.27,884.5,578.4,734.68,993.63,853.87,476.47,655.52,916.21,781.15,501.2,765.32,1010.33,980.65,474.13,774.95,1173.02,905.84,495.59,844.09,1135.82,877.37,563.19,930.73,1317.66,974.94,563.64,932.54,1208.6,933.38,592.61,846.3,1139.9,996.38,579.99
37,Andhra Pradesh,677.65,924.04,925.25,32.27,528.4,776.9,803.85,33.23,538.82,760.43,898.66,33.64,514.29,746.63,847.83,29.65,499.97,700.28,892.84,22.04,473.74,660.46,746.16,104.61,470.07,656.57,716.4,131.85,496.73,767.3,746.75,218.82,540.13,768.81,719.76,236.23,609.78,860.74,776.19,108.83,623.51,854.02,801.81,283.99,561.24,789.01,896.06,301.83
38,Leh & Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.71,0.09,2.96,0.22,0.22,0.15,0.25
97,Other Territory,16.34,36.78,125.88,0,12.98,17.39,103.07,0,14.57,26.01,125.85,0,13.17,24.94,120.14,0,11.79,14.65,143.2,0,4.73,7.06,119.86,0,7.69,9.71,109.52,0,6.82,9.63,136.8,0,7,9.61,101.58,0,8.15,10.59,119.93,0,8.7,12.71,123.7,0,9.72,11.97,110.8,0
99,Central Jurisdiction,0.11,0,128.94,0,0,0,50.85,0,0,0,60.56,0,0,0,59.42,0,0,0,99.5,0,0,0,34.8,0,0,0,97.33,0,0,0,94.93,0,0,0,75.33,0,0,0,119.28,0,0,0,100.14,0,0,0,81.48,0
