Code,State,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS,CGST,SGST,IGST,CESS
1,Jammu and Kashmir,116.35,198.78,63.97,3.04,80.04,147.32,78.16,5.77,85.25,148.83,82.84,5.47,90.81,164.29,102.02,5.52,65.89,111.46,119.84,4.83,62.12,99.43,117.47,2.7,77.09,122.63,109.58,3.22,105.86,166.03,89.01,2.54,109.24,198.77,99.5,1.64,103.92,176.53,87.96,2.32,93.82,144.4,76.08,1.87,69.89,126,77.12,3.16
2,Himachal Pradesh,111.09,169.26,418.78,0.99,85.45,129.98,423.2,1.28,97.18,152.92,445.98,1.22,103.16,154.75,414.01,5.29,97.09,145.62,431.75,1.47,89.32,135.04,383.62,0.91,96.95,143.43,427.68,1.04,109.88,173.09,416.58,1.52,109.53,168.12,420.5,0.81,114.36,165.74,392.26,2.41,102.18,140.37,376.8,1.34,91.2,135.87,367.61,1.21
3,Punjab,365.44,553.87,438.87,16.1,308.26,499.8,516.2,23.6,262.43,481.57,480.14,23.89,293.59,498.6,456.23,22.97,294.92,494.53,450.65,15.26,275.28,473.05,370.67,14.36,281.52,480.1,412.49,15.24,329.79,581.36,448.84,15.1,309.73,512.24,455.18,13.08,343.21,569.36,409.72,18.02,308.58,503.82,403.5,13.04,301.44,484.36,374.6,20.41
4,Chandigarh,34.63,48.24,116.66,0.43,28.63,41.79,75.65,0.6,30.05,43.29,84.18,0.45,31.09,49.17,74.53,1.17,32.9,44.49,82.29,0.4,28.68,41.26,86.47,0.1,27.89,40.42,88.35,0.36,32.92,50.6,80.44,1.21,33.74,47.19,86.51,0.52,40,59.25,91.82,3.56,36.32,49.4,85.2,1.45,30.03,41.32,79.41,2.5
5,Uttarakhand,218.8,369.64,1004.96,23.89,192.43,345.23,694.98,15.09,191.21,350.15,669.5,20.75,194.08,339.75,736.23,18.84,187.71,316.23,423.05,14.1,185.89,286.29,533.98,10.48,204.31,316.07,620.92,12.03,228.97,356.18,680.44,14.61,230.01,330.15,638.86,14.09,234.39,326.37,677.86,18.03,229.59,310.31,723.23,17.8,221.45,277.36,686.08,9.84
6,Haryana,743.44,1122.35,3168.73,337.54,781.03,1125.4,2418.14,299.44,855.06,1182.2,2525.82,325.75,719.55,1070.46,2535.34,291.39,785.37,1138.24,2269.82,280.51,720.31,1053.43,2053.93,281.99,752.47,1088.38,2437.39,299.81,876.98,1262.38,3442.08,323.02,814.05,1205.87,3045.72,299.26,892.27,1329.74,2963.13,301.67,883.07,1269.36,2868.45,245.55,736.47,1074.14,2678.42,385.26
7,Delhi,912.34,1146.03,2205.04,78.43,765.47,966.73,1840.84,90.85,728.97,938.35,1838.09,89.97,717.24,948.19,1651.55,89.25,731.94,943.45,1736.99,104.81,707.03,924.2,1667.67,86.97,717.56,959.76,1720.77,86.07,872.56,1145.27,1888.71,88.72,800.07,1030.19,1780.31,86.95,832.83,1110.76,1919.54,103.55,782.09,993.45,1965.09,94.12,680.88,881.72,1617.06,93.33
8,Rajasthan,816,1073.27,878.1,128.7,712.74,988.26,913.26,133.71,698.94,984.4,859.72,139.94,733.64,997.01,842.17,125.75,717.18,954.28,756.57,122.08,621.8,839.73,660.62,131.16,654.87,909.57,750.12,110.47,848.59,1196.75,895.24,130.88,768,1049.64,781.85,113.8,843.71,1149.98,923.23,113.15,801.02,1046.69,968.05,116.33,729.83,1007.84,978.25,104.51
9,Uttar Pradesh,1395.61,2160.25,1650.51,1103.45,1103.31,1709.38,1246.24,1037.27,1163.48,1861.6,1270.01,1071.33,1208.79,1899.73,1184.68,1128.75,1131.84,1724.6,1206.34,912.67,1056.04,1616.07,1253.91,1147.41,1080.61,1655.63,1309.48,1056.86,1228.64,2003.13,1421.59,1024.31,1223.64,1809.33,1319.96,1136.55,1253.55,1939.59,1443.6,1061.74,1229.3,1869.38,1478.92,1198.31,1182.98,1794.75,1432.72,883.26
10,Bihar,318.48,566.98,120.01,161.33,232.46,466.72,119.37,163.06,227.22,487.81,114.06,174.24,260.33,529.73,146.36,224.02,255.93,453.33,115.14,156.95,246.12,447.66,107.12,184.8,248.99,402.7,107.15,181.22,278.04,509.6,136.64,182.29,266.06,476.79,121.28,151.5,306.43,505.55,140.42,169.73,309.21,498.48,134.29,178.52,305.76,496.81,118.13,135.25
11,Sikkim,16.77,27.5,121.13,0.19,13.74,20.35,158.94,0.05,11.02,15.85,166.32,0.11,14.57,21.08,164.86,0.18,11.11,14.41,137.88,0.01,11.26,16.23,181.41,0.1,9.74,13.14,163.18,0.06,10.44,16.74,129.76,0.23,10.7,15.37,187.72,0.12,14.01,19.4,160.22,0.53,9.76,15.98,156.85,0.06,12.23,16.15,160.88,0.07
12,Arunachal Pradesh,23.28,29.15,4.22,0.05,12.87,17,6.18,0.49,19.03,24.4,4.64,0.01,18.34,25.68,4.43,0.26,16.45,20.53,7.76,0.02,17.57,23.08,3.44,0.22,15.7,20.74,4.2,0.34,13.09,17.07,5.28,0.17,22.71,29.53,5.78,0.2,18.35,24.5,9.1,0.2,18.63,24.75,4.56,0.42,27.5,33.23,5.96,0.01
13,Nagaland,8.03,12.78,6.22,1.89,6.85,10.34,5.17,1.27,4.9,8.71,4.99,1.26,7.01,9.48,5.66,0.72,9.37,11.84,4.63,1.01,6.42,9.28,4.51,0.42,7.9,10.4,6.11,0.09,7.46,10.76,3.86,0.48,9.92,15.49,4.33,1.41,9.8,15.98,5.92,0.4,8.26,11.31,4.36,1,14.1,18.32,5.9,0.44
14,Manipur,14.09,20.57,2.56,0.02,10.68,16.95,1.69,0.06,8.34,15.36,1.64,0.11,12.24,19.61,1.55,0.18,13.15,20.92,2.36,0.12,15.11,23.34,2.9,0.15,16.25,24.59,2.13,0.1,11.92,20.31,2.85,0.2,16.27,25.85,2.28,0.01,11.74,20.79,2.17,0.34,13.97,20.44,2.79,0.16,13.67,20.35,1.73,0.14
15,Mizoram,9.87,13.68,11.52,0,6.81,11.99,3.33,0,5.22,8.88,9.84,0.03,3.73,7.2,8.05,0.05,6.18,12.96,8.61,0.06,6.32,10.04,12.8,0.1,5.24,9.93,3.04,0.17,5.44,8.71,2.55,0.14,6.53,11.22,3.12,0.05,7.4,10.67,6.26,0.04,7.42,12.99,4.3,0.13,11.65,17,4.51,0.02
16,Tripura,20.28,34.68,5.92,0.13,17.13,26.09,6.89,0.17,17.52,33.64,6.64,0.13,17.07,25.66,5.82,0.11,21.57,30.57,5.77,0.24,18.37,26.58,6.52,0.23,20.41,29.09,4.87,0.05,17.64,26.58,6.87,0.27,21.56,31.55,5.98,0.15,19.96,30.54,5.81,0.09,22.55,33.57,6.92,0.22,23.46,36.67,6.74,0.25
17,Meghalaya,30.78,41.57,95.17,0.87,18.58,27.39,84.55,0.43,18.38,29.68,75.48,0.69,17.21,26.5,60.3,0.37,19.71,26.67,70.2,0.32,15.07,20.82,68.23,1.77,18.38,27.13,67.37,0.01,17.93,25.5,73.7,0.27,18.19,27.04,77.67,0.08,18.85,29.33,79.92,0.26,19.98,29.18,107.18,0.23,18.44,23.82,90.4,0.07
18,Assam,276.69,406.66,193.47,55.54,225.32,326.59,192.11,25.6,212.47,309.8,228.69,46.62,227.27,321.71,207.08,38.59,216.08,290.45,229.63,32.05,242.51,324.17,245.09,36.68,262.51,357.34,221.86,46.42,268.96,375.17,272.68,40.76,296.42,386.54,267.32,40.4,252.49,343.31,197.58,27.09,280.49,381.43,213.22,48.73,288.87,389.2,213.26,40.39
19,West Bengal,1190.29,1549.7,1031.36,438.22,1065.59,1389.55,767.24,354.48,1021.66,1371.96,767.27,352.65,1021.81,1371.31,796.16,396.41,1025.01,1356.46,831.64,290.12,961.51,1263.37,745.38,285.23,940.17,1264.25,718.87,339.75,1005.41,1332.06,883.73,238.74,1091.77,1473.38,869.74,313.35,1113.53,1501.6,812.89,318.84,1140.54,1539.89,910.58,350.53,1035.42,1401.37,829.19,316.27
